station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BUS;01.01.1985 00:00;8.4;33.8;-23.4;8.2;39.1;-29.4;79.1;9.5;971.9;;;;;1.5;22.4;80.6;6.1;763;124;;;;96010;41;636.7;80.2;3755;1995;396.4
BUS;01.01.1986 00:00;8.7;34.6;-15.6;8.8;40;-22;78.3;9.5;972;;;;;1.5;25.2;90.7;6.1;1151;116;;;;83318;35;613.4;110.2;3607.6;1863.6;791.7
BUS;01.01.1987 00:00;8.8;31.7;-23.1;8.9;38.3;-21.7;79.3;9.7;972;;;;;1.6;24.6;88.6;5.8;1073.7;110;;;;73056;31;615.1;102.8;3669.8;1813.8;759.8
BUS;01.01.1988 00:00;9.7;33.8;-11;10;41.8;-17.5;79.8;10.1;971.8;;;;;1.6;23.8;85.7;6.8;1134.1;114;;;;84792;36;635.4;69.9;3224.8;1512.8;786.4
BUS;01.01.1989 00:00;9.6;33;-7.9;9.5;36.9;-12.2;78.7;9.8;973.6;;;;;1.5;25.7;92.5;5.8;884.4;122;;;;93840;40;660.3;69.8;3335;1543;490
BUS;01.01.1990 00:00;9.9;34.4;-7;9.4;40.5;-11.7;77.9;9.8;973.4;;;;;1.6;27.1;97.6;6.1;1048.8;121;;;;94387;40;669.7;102.2;3140;1468;634.3
BUS;01.01.1991 00:00;9;33.4;-16.8;8.8;40.4;-21.4;78.4;9.5;973.3;1019.9;;;;1.5;20.2;72.7;5.8;859.8;121;;;;90431;38;655.7;130.3;3699.8;1819.8;455.7
BUS;01.01.1992 00:00;9.7;33.8;-12.9;9.6;41.5;-20.2;79.3;10.1;973.2;1019.7;;;;1.6;22.2;79.9;6.1;1071.8;117;;;;81591;34;653;147;3367.8;1655.8;719.4
BUS;01.01.1993 00:00;9.3;31.7;-11.9;9.5;35.1;-14;79;9.9;972.9;1019.5;;;;1.6;21.2;76.3;6.5;1138.1;115;;;;82187;35;638.7;76.7;3360.3;1616.3;794.2
BUS;01.01.1994 00:00;10.8;34.5;-6.5;11.1;40.2;-8.8;79.6;10.9;972.2;1018.4;;;;1.5;26.2;94.3;6.1;1174.3;113;;;;79719;34;650;186.7;2982.1;1270.1;852
BUS;01.01.1995 00:00;9.7;35.2;-14;9.7;39.8;-20.6;78.2;10;971.6;1018;;;;1.6;24.9;89.6;6.1;1260.8;118;;;;85116;36;649.3;147.5;3293.3;1557.3;899.2
BUS;01.01.1996 00:00;8.7;31.4;-12.4;8.6;36.9;-16;77.4;9.3;970.1;1016.6;;;;1.5;19.4;69.8;5.4;999.7;117;;;;85768;36;633.3;75.1;3682.1;1778.1;619.6
BUS;01.01.1997 00:00;10;31.6;-9.4;10;36.8;-12.4;76.1;9.9;972.5;1018.9;;;;1.5;20.9;75.2;5.8;914.4;125;;;;97750;41;683.5;106.6;3158;1486;503.5
BUS;01.01.1998 00:00;9.7;34.9;-11.8;9.2;40.3;-20.5;76;9.6;972.4;1018.8;;;;1.6;22.9;82.4;6.1;995.7;120;;;;91201;38;675.7;131.6;3314.8;1594.8;592.2
BUS;01.01.1999 00:00;9.7;32.1;-15.1;9.3;37.5;-25.1;79.2;10.2;971.1;1017.5;;;;1.5;25.3;91.1;6.1;1293.5;114;;;;81372;34;635.5;91.7;3216.1;1600.1;970.8
BUS;01.01.2000 00:00;10.6;32.9;-12.9;10.1;37.5;-15.8;77;10.2;971.5;1017.7;;;;1.4;18;64.8;5.4;948.6;121;;;;92796;39;667.4;100.7;2931.6;1307.6;554.9
BUS;01.01.2001 00:00;10;32.1;-14.2;9.4;35.9;-20.3;77.4;10.1;971.4;1017.7;;;;1.6;23.2;83.5;6.1;1224.4;117;;;;88535;37;659.6;128.7;3133.3;1477.3;841.1
BUS;01.01.2002 00:00;10.6;35.1;-9.4;10.3;41.5;-13.3;76.8;10.2;971.2;1017.4;;;;1.6;25;90;6.1;1115.4;118;;;;90243;38;670.1;115.2;3021;1269;721.4
