station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CEV;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1904.3;;;;;;;;;;;
CEV;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1598.7;;;;;;;;;;;
CEV;01.01.1903 00:00;;;;;;;;;;;;;;;;;;2064.5;;;;;;;;;;;
CEV;01.01.1904 00:00;;;;;;;;;;;;;;;;;;1294;;;;;;;;;;;
CEV;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1781.6;;;;;;;;;;;
CEV;01.01.1906 00:00;;;;;;;;;;;;;;;;;;1340.7;;;;;;;;;;;
CEV;01.01.1907 00:00;;;;;;;;;;;;;;;;;;2003.6;;;;;;;;;;;
CEV;01.01.1908 00:00;;;;;;;;;;;;;;;;;;1536.5;;;;;;;;;;;
CEV;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1733.4;;;;;;;;;;;
CEV;01.01.1910 00:00;;;;;;;;;;;;;;;;;;2095.7;;;;;;;;;;;
CEV;01.01.1911 00:00;;;;;;;;;;;;;;;;;;1486;;;;;;;;;;;
CEV;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1426.7;;;;;;;;;;;
CEV;01.01.1913 00:00;;;;;;;;;;;;;;;;;;1724.2;;;;;;;;;;;
CEV;01.01.1914 00:00;;;;;;;;;;;;;;;;;;2022.9;;;;;;;;;;;
CEV;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1421.8;;;;;;;;;;;
CEV;01.01.1916 00:00;;;;;;;;;;;;;;;;;;2399.9;;;;;;;;;;;
CEV;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1788.5;;;;;;;;;;;
CEV;01.01.1918 00:00;;;;;;;;;;;;;;;;;;2288.4;;;;;;;;;;;
CEV;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1581.6;;;;;;;;;;;
CEV;01.01.1920 00:00;;;;;;;;;;;;;;;;;;1932.5;;;;;;;;;;;
CEV;01.01.1921 00:00;;;;;;;;;;;;;;;;;;957.3;;;;;;;;;;;
CEV;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1873.1;;;;;;;;;;;
CEV;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1788.5;;;;;;;;;;;
CEV;01.01.1924 00:00;;;;;;;;;;;;;;;;;;2007;;;;;;;;;;;
CEV;01.01.1925 00:00;;;;;;;;;;;;;;;;;;1935.4;;;;;;;;;;;
CEV;01.01.1926 00:00;;;;;;;;;;;;;;;;;;2409.6;;;;;;;;;;;
CEV;01.01.1927 00:00;;;;;;;;;;;;;;;;;;2368.9;;;;;;;;;;;
