station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CGI;01.01.1965 00:00;9;31.5;-13.4;;;;74.4;9.2;;;;;;2.7;;;9.7;1403.5;;;;;88296;36;;;3583.4;;
CGI;01.01.1966 00:00;10.1;31.6;-13.9;;;;69.9;9.2;;;;;;3.1;;;11.2;1016;;;;;93540;38;;;3037.3;;
CGI;01.01.1967 00:00;9.8;31.4;-11.4;;;;72.3;9.3;;;;;;3.1;;;11.2;1025.9;;;;;103524;43;;;3240.8;;
CGI;01.01.1968 00:00;9.4;31.6;-16.3;;;;82.5;10.5;;;;;;3.1;;;11.2;1162.4;;;;;90342;36;;;3188.3;;
CGI;01.01.1969 00:00;9.2;31;-10.5;;;;79.1;10.2;;;;;;3.1;;;11.2;797.8;;;;;91512;38;;;3458.7;;
CGI;01.01.1970 00:00;9.3;32;-12.5;;;;78.7;10;;;;;;2.7;;;9.7;1064.9;;;;;93864;38;;;3483.3;;
CGI;01.01.1971 00:00;9.3;31.3;-16;;;;79;10.2;;;;;;2.6;;;10.1;714.6;;;;;114618;46;;;3440.7;;
CGI;01.01.1972 00:00;9.1;30.6;-9;;;;76.4;9.2;;;;;;2.6;;;10.1;707;;;;;95082;38;;;3562.7;;
CGI;01.01.1973 00:00;9.2;31.2;-11.1;;;;72.5;9.2;;;;;;2.9;;;11.2;742.2;;;;;105804;43;;;3586.7;;
CGI;01.01.1974 00:00;9.8;31.2;-4.9;;;;73;9.2;;;;;;2.8;;;10.8;1072.9;;;;;93138;38;;;3284;;
CGI;01.01.1975 00:00;9.8;30.5;-5.5;;;;78.3;10.1;;;;;;2.9;;;10.8;1049.9;;;;;91668;37;;;3315.7;;
CGI;01.01.1976 00:00;9.9;33.6;-9.6;;;;74.1;9.5;;;;;;2.8;;;10.8;960.6;;;;;114846;46;;;3298.1;;
CGI;01.01.1977 00:00;9.7;28;-6;;;;78.8;9.9;;;;;;2;;;8.3;1282.8;;;;;91524;37;;;3166.9;;
CGI;01.01.1978 00:00;9;29.6;-9.7;;;;75.6;9.2;;;;;;1.8;;;7.9;1032;;;;;88626;34;;;3548.1;;
CGI;01.01.1979 00:00;9.7;32.6;-10.9;;;;75.8;9.7;;;;;;2.3;;;8.6;1038.6;;;;;98106;38;;;3319.8;;
CGI;01.01.1980 00:00;8.9;30.5;-9.1;;;;75.9;9.2;;;;;;2.1;;;7.9;1035.8;;;;;97350;38;;;3511.9;;
CGI;01.01.1981 00:00;9.5;32.1;-10.8;9.5;76.7;-15;72.6;9.2;;;;;;2.2;26.1;94;7.9;1199.3;134;;;;93462;38;;81.1;3274.1;1594.1;752.8
CGI;01.01.1982 00:00;10.3;30.7;-5.3;10.3;35.5;-8.7;73.4;9.6;;;;;;2.2;25.4;91.4;8.3;1047.4;138;;;;99655;41;;112.1;3151.8;1391.8;562.4
CGI;01.01.1983 00:00;10.1;35.2;-7;10.1;39.9;-10.7;74.9;9.7;;;;;;2.3;32.7;117.7;8.6;1029.7;137;;;;96205;39;;216.7;3393.1;1577.1;580.6
CGI;01.01.1984 00:00;9.4;33.6;-6.5;9.2;38.7;-10.1;73.9;9.1;;;;;;2.8;26.6;95.8;10.4;920.9;140;;;;98968;40;;88;3485.7;1605.7;433.9
CGI;01.01.1985 00:00;9.2;32.8;-18.8;9;36.6;-22.9;72;8.9;;;;;;2.6;26.4;95;9.4;927.5;145;;;;115794;47;;109.7;3450.1;1794.1;377
CGI;01.01.1986 00:00;9.7;32;-11.5;9.5;36.8;-15.6;73;9.3;;;;;;2.5;33.7;121.3;9;1008.9;137;;;;97583;40;;154.5;3286.8;1654.8;510.3
