station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CHA;01.01.1981 00:00;2.8;21.6;-16.1;;;;83.2;6.7;;;;;;;;;;1645.8;137;;;;85272;33;;0;6071.1;3423.1;1333.3
CHA;01.01.1982 00:00;3.7;21.5;-14.5;;;;80.8;6.9;836.7;;;;;8.5;57;205.2;31.3;1587.3;143;;;;98287;38;;0;5683.1;3123.1;1266.8
CHA;01.01.1983 00:00;4.1;28;-13.8;;;;78.7;6.9;837.3;;;;;6.9;57.5;207;24.8;1452.5;142;;;;100945;39;640.4;20;5483.4;3027.4;936
CHA;01.01.1984 00:00;2.6;24;-14.5;;;;78.7;6.2;834.9;;;;;7;57.1;205.6;26.6;1436.2;144;;;;95268;36;602.9;2.2;6173;3477;1050.4
CHA;01.01.1985 00:00;2.9;21.9;-24.2;;;;79.4;6.5;835.1;;;;;7.8;39.6;142.6;29.5;948.2;152;;;;108820;42;637.9;0;5948.8;3428.8;522.5
CHA;01.01.1986 00:00;3.2;23.4;-22.9;;;;79.5;6.7;835.4;;;;;7.6;53.5;192.6;28.8;1333.6;141;;;;101468;39;614.3;2;5804.6;3292.6;904.3
CHA;01.01.1987 00:00;3.4;22.1;-26.8;;;;79.1;6.7;835.5;;;;;8.7;42.2;151.9;31.7;1255.9;133;;;;92162;35;577;2.9;5881.2;3289.2;943.5
CHA;01.01.1988 00:00;3.7;22.2;-15.6;;;;82.4;7;835.7;;;;;8.5;42.6;153.4;31.7;1443;136;;;;90462;35;577.5;0;5771.4;3115.4;1113.9
CHA;01.01.1989 00:00;5;22.2;-10.8;;;;73;6.7;837.6;;;;;9;41.3;148.7;32;811;149;;;;123187;47;715.4;0;5235.3;2643.3;367.2
CHA;01.01.1990 00:00;4.2;23.1;-12;;;;78.7;6.8;837.3;;;;;9.8;53.9;194;34.6;1392.6;146;;;;110294;42;666.7;0.3;5510.6;2942.6;928.5
CHA;01.01.1991 00:00;3.6;22.4;-18.4;;;;77.7;6.6;836.7;;;;;8.6;41;147.6;30.6;864.1;151;;;;114371;44;641.5;1;5602.9;3178.9;411.5
CHA;01.01.1992 00:00;4.4;22.8;-17;;;;77.4;6.9;837.1;;;;;9.1;44;158.4;33.1;1268.9;137;;;;95924;37;655.7;2.1;5484.1;2916.1;927.9
CHA;01.01.1993 00:00;3.6;21.9;-17.1;;;;79.2;6.8;836.6;;;;;8.8;44.5;160.2;32.4;1218.7;144;;;;97959;38;603.9;0;5748.1;3132.1;901.7
CHA;01.01.1994 00:00;4.6;23.1;-13;;;;81.6;7.4;836.6;;;;;9.1;55.7;200.5;32.4;1239.7;133;;;;87825;34;615.8;4.5;5340.2;2860.2;887.4
CHA;01.01.1995 00:00;3.4;23.2;-17.6;;;;82.4;6.9;835.7;;;;;9.5;59.4;213.8;34.2;1190.8;142;;;;94871;36;565.3;2.6;5793;3233;881.8
CHA;01.01.1996 00:00;3.2;20.5;-15.3;;;;80;6.6;833.8;;1474.5;;;8.5;38.8;139.7;30.6;924.5;145;;;;100725;38;608.4;0;5939.2;3267.2;590.7
CHA;01.01.1997 00:00;4.8;20.9;-10.4;;;;76.1;7;836.6;;;;;8.4;49.5;178.2;29.9;984.1;151;;;;116111;44;663.6;0;5215.7;2719.7;592
CHA;01.01.1998 00:00;3.8;23.9;-15.3;;;;77.8;6.7;836.3;;;;;9;46.8;168.5;32;1291.5;149;;;;104790;40;652.7;10.8;5676.4;3124.4;918.5
CHA;01.01.1999 00:00;3.7;22.1;-16.7;;;;82.2;7.1;835.3;;;;;8.4;49.9;179.6;31;1790.4;141;;;;93455;36;584.9;0.8;5647.9;3095.9;1478.9
CHA;01.01.2000 00:00;4.3;22.7;-14.9;;;;81.9;7.1;835.9;;;;;8.6;36.7;132.1;30.2;1208.3;147;;;;100229;38;616.2;0;5503.7;2951.7;845.6
CHA;01.01.2001 00:00;3.7;22.8;-19.7;;;;82.8;7.1;835.4;;;;;9;36.9;132.8;32.4;1491.2;142;;;;97071;37;583.3;0.1;5673.2;3137.2;1128.6
CHA;01.01.2002 00:00;4.4;24.6;-11.5;;;;81.2;7.1;835.7;;1492.1;;;8.9;40.1;144.4;31;1430.8;140;;;;99951;38;605.7;5.8;5525.5;2885.5;1085.8
