station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CHD;01.01.1879 00:00;;;;;;;;;;;;;;;;;;1238.7;;;;;;;;;5266.8;;
CHD;01.01.1880 00:00;;;;;;;;;;;;;;;;;;1116.5;;;;;;;;;;;
CHD;01.01.1881 00:00;;;;;;;;;;;;;;;;;;1236.6;;;;;;;;;4931.8;;
CHD;01.01.1882 00:00;;;;;;;;;;;;;;;;;;1464.5;;;;;;;;;4786;;
CHD;01.01.1883 00:00;;;;;;;;;;;;;;;;;;1148.6;;;;;;;;;5049.6;;
CHD;01.01.1884 00:00;;;;;;;;;;;;;;;;;;971.7;;;;;;;;;4716.7;;
CHD;01.01.1885 00:00;;;;;;;;;;;;;;;;;;1227.1;;;;;;;;;4729.1;;
CHD;01.01.1886 00:00;;;;;;;;;;;;;;;;;;1125.1;;;;;;;;;4651.8;;
CHD;01.01.1897 00:00;;;;;;;;;;;;;;;;;;1207.6;;;;;;;;;;;
CHD;01.01.1898 00:00;;;;;;;;;;;;;;;;;;1001.8;;;;;;;;;;;
CHD;01.01.1899 00:00;;;;;;;;;;;;;;;;;;1162;;;;;;;;;;;
CHD;01.01.1900 00:00;;;;;;;;;;;;;;;;;;1087.6;;;;;;;;;;;
CHD;01.01.1901 00:00;5.2;;;;;;;;;;;;;;;;;1264.5;;;;;;;;;;;
CHD;01.01.1902 00:00;5.7;;;;;;;;;;;;;;;;;1325.4;;;;;;;;;;;
CHD;01.01.1903 00:00;5.9;;;;;;;;;;;;;;;;;1251.1;;;;;;;;;;;
CHD;01.01.1904 00:00;6.4;;;;;;;;;;;;;;;;;1230;;;;;;;;;;;
CHD;01.01.1905 00:00;5.5;;;;;;;;;;;;;;;;;1292.9;;;;;;;;;4899.4;;
CHD;01.01.1906 00:00;5.8;;;;;;;;;;;;;;;;;1004.7;;;;;;;;;4827.4;;
CHD;01.01.1907 00:00;5.7;;;;;;;;;;;;;;;;;1096.1;;;;;;;;;;;
CHD;01.01.1908 00:00;5.8;;;;;;;;;;;;;;;;;1072.6;;;;;;;;;;;
CHD;01.01.1909 00:00;5.1;;;;;;;;;;;;;;;;;1179.2;;;;;;;;;;;
CHD;01.01.1910 00:00;6;;;;;;;;;;;;;;;;;1856.9;;;;;;;;;4634.5;;
CHD;01.01.1911 00:00;6.8;;;;;;;;;;;;;;;;;971.1;;;;;;;;;;;
CHD;01.01.1912 00:00;5.7;;;;;;;;;;;;;;;;;1385.6;;;;;;;;;4865.6;;
CHD;01.01.1913 00:00;6.4;;;;;;;;;;;;;;;;;1072.1;;;;;;;;;4496.5;;
CHD;01.01.1914 00:00;5.7;;;;;;;;;;;;;;;;;1491.1;;;;;;;;;4818;;
CHD;01.01.1915 00:00;5.7;;;;;;;;;;;;;;;;;1436.1;;;;;;;;;4713.8;;
CHD;01.01.1916 00:00;6.1;;;;;;;;;;;;;;;;;1467.8;;;;;;;;;4680.4;;
CHD;01.01.1917 00:00;4.9;;;;;;;;;;;;;;;;;1362.8;;;;;;;;;4839.6;;
CHD;01.01.1918 00:00;6.3;;;;;;;;;;;;;;;;;1334.9;;;;;;;;;4531.9;;
CHD;01.01.1919 00:00;5.3;;;;;;;;;;;;;;;;;1533.2;;;;;;;;;4918.2;;
CHD;01.01.1920 00:00;6.8;;;;;;;;;;;;;;;;;894.2;;;;;;;;;4395.2;;
CHD;01.01.1921 00:00;7;;;;;;;;;;;;;;;;;975.3;;;;;;;;;4149.6;;
CHD;01.01.1922 00:00;5.4;;;;;;;;;;;;;;;;;1644.9;;;;;;;;;4784.4;;
CHD;01.01.1923 00:00;6.4;;;;;;;;;;;;;;;;;1398.4;;;;;;;;;;;
CHD;01.01.1924 00:00;5.8;;;;;;;;;;;;;;;;;1208.8;;;;;;;;;;;
CHD;01.01.1925 00:00;6.3;;;;;;;;;;;;;;;;;1129.7;;;;;;;;;4299;;
CHD;01.01.1926 00:00;6.5;;;;;;;;;;;;;;;;;1322.9;;;;;;;;;4299.4;;
CHD;01.01.1927 00:00;6.2;;;;;;;;;;;;;;;;;1514.7;;;;;;;;;4397.7;;
CHD;01.01.1928 00:00;6.7;;;;;;;;;;;;;;;;;1373.4;;;;;;;;;4360;;
CHD;01.01.1929 00:00;5.7;;;;;;;;;;;;;;;;;1090.4;;;;;;;;;4536.8;;
CHD;01.01.1930 00:00;6.6;;;;;;;;;;;;;;;;;1687.7;;;;;;;;;4284.2;;
CHD;01.01.1931 00:00;5.9;;-19.2;;;;61.8;6.2;902.6;;;;;;;;;1312.4;;;;;;;;;4833.5;;
CHD;01.01.1932 00:00;6.2;;-21;;;;60.4;6.5;904;;;;;;;;;1166.3;;;;;;;;;4550.4;;
CHD;01.01.1933 00:00;5.9;;-21.5;;;;71.1;7.8;902.8;;;;;;;;;1128.9;;;;;;;;;4657.2;;
CHD;01.01.1934 00:00;6.8;;-18.5;;;;78;8.5;903.4;;;;;;;;;1041.6;;;;;;;;;4201.5;;
CHD;01.01.1935 00:00;6.1;;-19.5;;;;77.7;8.2;902.2;;;;;;;;;1501.8;;;;;;;;;4652.5;;
CHD;01.01.1936 00:00;6.5;;-16.2;;;;81.2;8.6;900.9;;;;;;;;;1448.2;;;;;;;;;4439.9;;
CHD;01.01.1937 00:00;6.6;29;-16.5;;;;77.2;8.1;899;;;;;;;;;1116.7;;;;;;;;;4399.5;;
CHD;01.01.1938 00:00;6.2;31.6;-19.5;;;;76.3;7.9;902.2;;;;;;;;;1152.5;;;;;;;;;4568.8;;
CHD;01.01.1939 00:00;5.7;29.5;-18.7;;;;78.5;7.9;899.7;;;;;0.6;;;2.2;1524.8;;;;;;;;;4749.2;;
CHD;01.01.1940 00:00;5.3;26.6;-22.3;;;;75.8;7.5;899.9;;;;;0.6;;;2.2;1641.6;;;;;;;;;4902.4;;
