station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CHZ;01.01.1994 00:00;10.6;34;-7.2;;;;83.4;11.2;966.7;;;;;1.6;57;205.2;;;;;;;;;;;;1336.9;
CHZ;01.01.1995 00:00;9.5;33.4;-12.7;;;;82.1;10.4;966.7;;;;;1.5;32.8;118.1;;;;;;;;;;;;;
CHZ;01.01.1996 00:00;9.7;36.2;-8.6;;;;80.8;10.4;;;;;;1.4;23.6;85;5;;;;;;;;;;;1585.9;
CHZ;01.01.1997 00:00;10.7;31.2;-47.3;;;;81.6;11.1;;;;;;1.4;28;100.8;;896.1;;;;;;;;;;1238.2;
CHZ;01.01.1998 00:00;9.8;34.3;-10.5;;;;82.2;;967.1;;;;;1.4;26.5;95.4;5;;;;;;;;;;;1570.7;
CHZ;01.01.1999 00:00;9.7;31.5;-15.2;;;;83.8;;966;;;;;1.3;39.3;141.5;4.7;;;;;;;;;;;1630.1;
CHZ;01.01.2000 00:00;10.6;36.3;-10.7;;;;80.8;;966.3;;;;;1.3;23.5;84.6;;;;;;;;;;;;;
CHZ;01.01.2001 00:00;9.8;31.3;-12.8;;;;79.3;;966.2;;;;;1.6;24.2;87.1;;;;;;;;;;;;1551.7;
CHZ;01.01.2002 00:00;10.3;33.4;-10.7;;;;79.1;;966;;;;;1.5;24.1;86.8;5.4;1143.8;;;;;;;;;;1364.8;
CHZ;01.01.2003 00:00;10.2;35.3;-10.6;;;;75.4;;967.2;;;;;1.5;35.8;128.9;5.4;875.1;;;;;;;;;;1754;
CHZ;01.01.2004 00:00;9.8;30;-10.5;;;;76.5;9.5;966.4;1018.9;;;;1.5;24;86.4;5.4;931.7;;;;;;;;;;1585.9;
CHZ;01.01.2005 00:00;9;33.2;-14.7;;;;;;967.2;;;;;1.4;21.3;76.7;5;1002.9;;;;;;;;;;;
CHZ;01.01.2006 00:00;10.1;34.4;-8;;;;75;10.1;967;1019.5;;;1019.2;1.4;23.2;83.5;5;939.8;;;;;;;;;;1606.4;
CHZ;01.01.2007 00:00;10.3;32.8;-8.8;;;;76.2;10.1;966.9;1019.4;;;1019.1;1.5;23.6;85;5.4;1130.2;;;;;;;;;;1401.6;
CHZ;01.01.2008 00:00;9.8;31.7;-8.1;;;;79;10.2;965.8;1018.4;;;1018;1.4;26.1;94;5;1060.1;;;;;;;;;;1593.9;
CHZ;01.01.2009 00:00;10;31.7;-15.1;;;;80.1;10.6;964.7;1017.1;;;1016.9;1.4;31.7;114.1;5;910;;;;;;;;;;1614.7;
CHZ;01.01.2010 00:00;9.1;33.7;-12.4;;;;79.7;10;963;1015.5;;;1015.1;1.4;26.6;95.8;5;899.8;;;;;;;;;;;
CHZ;01.01.2011 00:00;10.8;33.7;-9.7;;;;78;10.7;967.5;1019.9;;;1019.8;1.3;28;100.8;4.7;827.5;;;;;;;;;;1324.7;
CHZ;01.01.2012 00:00;10.2;32.2;-15.8;;;;78.1;10.5;966.2;1018.7;;;1018.5;1.5;25.5;91.8;5.4;1014.1;;;;;;;;;;1522;
