station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CIM;01.01.1982 00:00;4.8;23.3;-14.6;;;;66.2;6.3;;;;;;2.5;33.3;119.9;;1629.8;156;;;;129048;50;;2.5;5031.8;2687.8;
CIM;01.01.1983 00:00;5.4;25.4;-11.9;;;;63;6.1;835.9;;;;;2.6;38.6;139;9.4;1652;153;;;;130932;51;719;22.6;5019;2611;863.9
CIM;01.01.1984 00:00;3.5;20.1;-12.7;;;;64.1;5.4;833.4;;;;;2.6;31.5;113.4;9.4;1756.9;151;;;;122328;48;674.5;0;5759.4;3159.4;1044.3
CIM;01.01.1985 00:00;4.4;20.2;-19.3;;;;63;5.7;833.6;;;;;2.5;30.3;109.1;9.4;1446;158;;;;127833;50;727.3;0;5302;2918;674.9
CIM;01.01.1986 00:00;4.2;21.8;-18.7;;;;66.2;6.1;834.2;;;;;2.7;33.2;119.5;9.7;1587.1;149;;;;121869;48;675.6;0.5;5374.3;2926.3;963
CIM;01.01.1987 00:00;4.7;22.7;-17.6;;;;63;5.9;834.2;;;;;2.7;30;108;9.7;1930.6;153;;;;124586;49;708.7;9;5270.1;2798.1;1297.6
CIM;01.01.1988 00:00;5;20.2;-11.4;;;;67.9;6.6;834.3;;;;;2.7;30.7;110.5;9.7;1737.2;147;;;;122590;48;662.5;0;5183.5;2687.5;1210.7
CIM;01.01.1989 00:00;6;20.2;-8.6;;;;64.2;6.4;836.4;;;;;2.4;30.5;109.8;9;1130.8;161;;;;144864;57;726.5;0;4746.7;2298.7;499.6
CIM;01.01.1990 00:00;5.7;21.1;-9.1;;;;66.2;6.6;835.7;;;;;2.5;31.7;114.1;9.4;1279.7;160;;;;136180;53;736.7;0.5;4891.5;2419.5;707.2
CIM;01.01.1991 00:00;4.8;23.4;-15.4;;;;67.7;6.5;835.1;;;;;2.5;33.6;121;9.4;1339;157;;;;136707;53;707.2;0.4;5184.3;2824.3;712.4
CIM;01.01.1992 00:00;5.6;23.1;-11.8;;;;68.3;6.8;836;;;;;2.6;27.9;100.4;9.4;1385.5;149;;;;120021;47;680.9;3.1;4979.7;2531.7;892
CIM;01.01.1993 00:00;5;21;-14.4;;;;69;6.6;835.7;;;;;2.6;33.8;121.7;9.7;1990.1;147;;;;123584;48;657.5;0;5186.4;2682.4;1428.4
CIM;01.01.1994 00:00;6.1;23.2;-13.6;;;;67.9;6.9;835.6;;;;;2.9;32.4;116.6;10.4;1569.7;152;;;;129550;51;727.8;4.1;4648.2;2384.2;965.9
CIM;01.01.1995 00:00;4.8;21.6;-12.3;;;;67.8;6.5;834.7;;;;;2.7;33;118.8;9.7;1299.3;157;;;;134760;53;697.9;0.7;5144.8;2752.8;757.2
CIM;01.01.1996 00:00;4;21;-16.9;;;;72.6;6.4;832.2;;1476.3;;;2.5;29.6;106.6;9;1569.7;149;;;;118024;46;638.6;0;5615.7;2991.7;1031
CIM;01.01.1997 00:00;5.8;21;-8.8;;;;66.5;6.7;835;;;;;2.6;33.5;120.6;9.4;1448.2;163;;;;145342;57;719.1;0;4724;2388;877.5
CIM;01.01.1998 00:00;5.4;23.6;-12.4;;;;64;6.4;834.5;;;;;2.6;32.4;116.6;9.4;1660.3;160;;;;144340;56;722.2;6.1;4956.1;2620.1;1055.9
CIM;01.01.1999 00:00;5;19.7;-13.5;;;;69;6.9;833.5;;;;;2.7;33.2;119.5;9.7;1919.8;148;;;;124014;48;656.7;0;5015.1;2631.1;1457.4
CIM;01.01.2000 00:00;5.6;22.5;-13.7;;;;69.7;6.9;834.4;;;;;2.7;26.8;96.5;9.7;2012;149;;;;127550;50;687.4;1.7;4926.8;2486.8;1432.8
CIM;01.01.2001 00:00;5.2;21.9;-13.2;;;;65.9;6.5;833.5;;;;;2.5;33.6;121;9;1437.3;158;;;;139946;55;713.3;0.4;4984.8;2648.8;734.4
CIM;01.01.2002 00:00;5.7;22.5;-9.9;;;;69.4;6.9;833.9;;1490.9;;;2.5;35.5;127.8;9.4;2129.7;151;;;;127361;50;688;1.8;4893.7;2429.7;1629.6
CIM;01.01.2003 00:00;5.9;26.2;-12.3;;;;63.9;6.7;835.1;;1503.7;;;2.4;31.6;113.8;8.3;878.7;170;;;;152836;60;794.7;34.3;4751;2607;113.3
CIM;01.01.2004 00:00;5.2;23;-10.6;;;;66.2;6.5;833.7;;1490.1;;;2.6;28.6;103;9;1590.9;155;;;;126987;49;704.5;1.6;5041.3;2617.3;1023.5
CIM;01.01.2005 00:00;4.8;22.7;-15.9;;;;65.7;6.5;834.1;;1494.7;;;2.4;31.8;114.5;8.6;932.5;161;;;;139803;55;715.9;3.5;5207.3;2799.3;311.8
CIM;01.01.2006 00:00;5.7;23.3;-13.2;;;;;6.7;835.1;;;;;2.4;30.3;109.1;8.6;1339.7;165;;;;142913;56;;7.7;4858.8;2514.8;
CIM;01.01.2007 00:00;6.1;21.6;-10;;;;65.9;6.7;834.6;;1498;;1018.2;2.5;36.5;131.4;9;1324.9;164;;;;146199;57;752.8;0.4;4689.8;2289.8;670.8
CIM;01.01.2008 00:00;5.3;21.8;-11.1;;;;71.6;7;833.7;;;;;2.4;30.3;109.1;8.6;2139.5;152;;;;123123;48;671.9;0.2;4975.9;2599.9;
CIM;01.01.2009 00:00;5.5;22.2;-13.7;;;;67.5;6.9;832.1;;1476.5;;1015.6;2.4;34.2;123.1;8.6;1641.6;165;;;;137806;54;740.1;1.3;4776.1;2560.1;
CIM;01.01.2010 00:00;4.2;23.8;-13.9;;;;72.4;6.8;829;;1458.8;;1013.4;2.2;29.2;105.1;7.9;1854.2;154;272;;;116498;47;670;1;5407.9;2991.9;
CIM;01.01.2011 00:00;6.7;24.3;-11.2;;;;68.3;7.3;834;;1505.9;;1019.3;2.1;32.2;115.9;7.6;1521.7;167;272;;;142457;57;744.5;8.4;4352.4;2176.4;931.3
CIM;01.01.2012 00:00;5.9;;;;;;68.3;7.1;832.1;;;;;2.3;;;8.3;1701.2;161;;;;127966;51;;;;;
CIM;01.01.2013 00:00;5.4;24.3;-12.2;;;;68.9;6.9;831.1;;1478.8;;1015.9;2.2;34.5;124.2;7.9;1905;158;276;;;120310;48;714.6;5.3;4873;2593;1309.6
CIM;01.01.2014 00:00;6;23;-9.2;;;;72.9;7.3;831.7;;1484.4;;1016.5;2.4;32;115.2;8.6;2614;152;283;;;110417;44;689;0.6;4768.6;2280.6;
CIM;01.01.2015 00:00;7;25.3;-8.7;;;;65.3;7.2;834.5;;1510.7;;1019.8;2.4;39.1;140.8;8.6;1416.3;167;275;;;140770;56;780.4;19.9;4409.5;2137.5;827.7
CIM;01.01.2016 00:00;6.2;22.9;-11.3;;;;69;7.2;832.9;;1495.8;;1018;2.4;38.8;139.7;8.6;1572.7;160;276;;;125926;50;735.4;0.7;4621.8;2373.8;991.7
CIM;01.01.2017 00:00;6.4;25;-12.3;;;;63.9;6.8;833.5;;1501.3;;1018.7;2.4;35.4;127.4;8.6;1508;175;270;;;148545;59;820.5;18.1;4482.9;2346.9;848.1
CIM;01.01.2018 00:00;6.4;25.6;-17.8;;;;72.5;7.7;832.2;;1489.3;;1017.2;2.3;34.9;125.6;8.3;1269.9;166;282;;;132091;52;773.1;8;4373.7;2341.7;664.8
CIM;01.01.2019 00:00;6.5;29.7;-9.4;;;;67.3;7.3;832.3;;1489.4;;1017.3;2.8;34.2;123.1;10.1;1781.4;167;275;;;139623;55;793.3;17.3;4463.3;2311.3;
CIM;01.01.2020 00:00;6.6;26;-9.6;;;;68.4;7.2;833.5;;;;;3.2;34.1;122.8;11.5;1516.8;170;;;;145116;57;822;6.9;4491;2251;
CIM;01.01.2021 00:00;5.7;23.4;-13.3;;;;68;6.9;832.6;;1493.1;;1017.6;3.3;32.1;115.6;11.9;1640.2;167;272;;;139316;55;777.9;5.1;4731.1;2483.1;1074.1
CIM;01.01.2022 00:00;7.3;25.1;-9.8;;;;65.4;7.4;834.5;;1510.1;;1019.8;2.5;35.8;128.9;9;1199.7;177;274;;;156420;62;853;12.4;4034.3;2098.3;493.5
CIM;01.01.2023 00:00;7.1;27;-12.4;;;;68.3;7.7;832.7;;;;;2.4;28.5;102.6;8.6;1831.8;166;279;;;138955;55;780.4;22.6;4225.7;2121.7;
