station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CMA;01.01.1994 00:00;0.3;18.6;-17.7;;;;;;;;;;;4.5;40.5;145.8;16.2;;;;;;;;;;7085.2;4245.2;
CMA;01.01.1995 00:00;-1.1;17.9;-22.3;;;;;;;;;;;4.5;38.8;139.7;16.2;;;;;;;;;;7627.4;4763.4;
CMA;01.01.1996 00:00;;15.5;-20.9;;;;;;;;;;;4.1;33;118.8;14.8;;;;;;;;;;;;
CMA;01.01.1997 00:00;0;15.2;-15.4;;;;;;;;;;;4.3;38.6;139;15.5;;;;;;;;;;7292.4;4380.4;
CMA;01.01.1998 00:00;-0.7;18.9;-19.8;;;;;;;;;;;4.4;41.8;150.5;15.8;;;;;;;;;;7367.7;4551.7;
CMA;01.01.1999 00:00;-0.9;16.2;-23.3;;;;;;;;;;;4.6;43.6;157;16.6;;;;;;;;;;7556.2;4668.2;
CMA;01.01.2000 00:00;-0.2;51.8;-18.9;;;;;;;;;;;4.6;35.6;128.2;16.6;;;;;;;;;;;;
CMA;01.01.2001 00:00;-0.8;17.2;-23.3;;;;;;;;;;;4.6;35.4;127.4;16.6;;;;;;;;;;;;
CMA;01.01.2002 00:00;-0.2;18;-18.2;;;;;;;;;;;4.4;34.9;125.6;15.8;;;;;;;;;;7317.1;4445.1;
CMA;01.01.2003 00:00;0.1;18.4;-21.2;;;;;;;;;;;4.4;38.9;140;15.8;;;;;;;;;;7101.9;4357.9;
CMA;01.01.2004 00:00;-1.5;;;;;;;;;;;;;4.7;;;16.9;;;;;;;;;;;;
CMA;01.01.2005 00:00;-1.2;17.6;-23.7;;;;;;;;;;;4.3;38.1;137.2;15.5;;;;;;;;;;7679.1;4807.1;
CMA;01.01.2006 00:00;0;17.8;-22.2;;;;71.8;4.9;;;;;;4.2;29.9;107.6;15.1;;;;;;;;;;7199.5;4367.5;
CMA;01.01.2007 00:00;0.1;17.2;-20.2;;;;74.4;4.9;;;;;;4.5;40.8;146.9;16.2;;;;;;;;;;7215.6;4343.6;
CMA;01.01.2008 00:00;;;;;;;;;;;;;;4.3;39;140.4;;;;;;;;;;;;;
CMA;01.01.2009 00:00;-0.6;17.8;-22.7;;;;74.5;4.9;;;;;;;41.5;149.4;;;;;;;;;;0;7444.6;4556.6;
CMA;01.01.2012 00:00;;18.8;-24.8;;;;;;751.9;;;;1017.9;5;51.4;185;18;;170;;;;110938;44;;;;;
CMA;01.01.2013 00:00;-0.9;18.8;-21.2;;;;76.2;4.8;750.8;;;3042;1016.5;4.9;40.9;147.2;17.6;;167;;;;104437;41;554.5;0;7533.8;4693.8;
CMA;01.01.2014 00:00;0;17.3;-17.4;;;;78;5.1;751.5;;;3050.4;1017.3;4.9;48.4;174.2;17.6;;157;;;;90235;36;517.3;0;7268.6;4372.6;
CMA;01.01.2015 00:00;;20.5;-17.4;;;;;;754.3;;;;1020.9;;45.8;164.9;;;171;;;;118372;47;;;;;
CMA;01.01.2016 00:00;-0.3;17.7;-20.9;;;;75.8;5;752.6;;;3062.1;1018.8;4.7;40;144;16.9;;158;;;;99897;40;531.7;0;7342.4;4494.4;
CMA;01.01.2017 00:00;-0.1;18.2;-20.8;;;;73;4.9;753.2;;;3068.3;1019.5;5.4;43.6;157;19.4;;168;;;;114608;46;599.3;0;7216;4424;
CMA;01.01.2018 00:00;;18.6;-27.3;;;;;;751.9;;;;1017.9;4.8;49.6;178.6;17.3;;166;;;;110893;44;;;;;
CMA;01.01.2019 00:00;0.1;20.7;-18.6;;;;74.1;5;752;;;3056.7;1018;5.2;44.4;159.8;18.7;;167;;;;109525;43;;0;7120.4;4320.4;
CMA;01.01.2020 00:00;0.7;17.6;-16.6;;;;73;5.1;753.2;;;3069.9;1019.5;4.4;46;165.6;15.8;;165;;;;119827;47;;0;6974.8;4150.8;
CMA;01.01.2021 00:00;-0.5;17.6;-17.6;;;;73.4;4.8;752.1;;;3056.4;1018.1;4.6;42;151.2;16.6;;167;;;;110982;44;556.3;0;7449.3;4569.3;
CMA;01.01.2022 00:00;1.1;19.9;-18.3;;;;70.4;5.2;754.2;;;3081.8;1020.8;4.5;45.2;162.7;16.2;;171;;;;124381;49;650.6;0;6776.9;3968.9;
CMA;01.01.2023 00:00;0.8;20.3;-17.8;;;;73.2;5.2;752.6;;;3064.6;1018.8;5;46.7;168.1;18;;167;;;;110320;44;615.9;0;6807;4103;
CMA;01.01.2024 00:00;1.2;19.9;-16.9;;;;75;5.4;753.1;;;3070.2;1019.4;4.9;42.8;154.1;17.6;;156;;;;96062;38;572.6;0;6750;3974;
