station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
COV;01.01.1980 00:00;-6.7;12.1;-27.4;;;;69.3;2.8;676.3;;;;;4.3;;;15.8;632.2;;;;;120408;47;;;9776.8;;
COV;01.01.1981 00:00;-6;;-28.4;;;;67.5;2.9;677;;;3037.9;;3.6;;;13;898.2;164;;;;120113;46;;;;;
COV;01.01.1982 00:00;-5;9.5;-25;;;;69;3.2;678.9;;;3058.7;;3.3;34.5;124.2;12.2;942.3;173;;;;126274;48;507.8;0;9123.9;6203.9;
COV;01.01.1983 00:00;-4.6;13.1;-23.5;;;;69.1;3.3;679.6;;;3067.2;;2.4;38.8;139.7;9.7;948.6;173;;;;125370;48;540.3;0;8956.4;6036.4;
COV;01.01.1984 00:00;-6.3;11.3;-26.2;;;;71.8;3;676.9;;;3036.4;;4.7;39.7;142.9;16.9;794.1;179;;;;125141;48;492.6;0;9632;6704;
COV;01.01.1985 00:00;-5.7;10.5;-32.6;;;;66.1;2.9;677.7;;;3046.4;;4.6;42.7;153.7;16.6;896;178;;;;133806;51;532.2;0;9389.2;6469.2;
COV;01.01.1986 00:00;-5.5;9.7;-33;;;;68.3;3.1;677.9;;;3048.6;;3.4;48.9;176;12.2;920.3;175;;;;125503;48;515;0;9286.9;6366.9;
COV;01.01.1987 00:00;-5.4;11.2;-31.1;;;;69.3;3.2;678.1;;;3050.4;;3.4;43.3;155.9;13;923.6;172;;;;114200;44;493.2;0;9269.1;6349.1;
COV;01.01.1988 00:00;-5.4;12.2;-26.2;;;;71.2;3.3;678.4;;;3053.1;;4.4;36.2;130.3;15.5;930;170;;;;110753;42;503.1;0;9266;6338;
COV;01.01.1989 00:00;-4.3;9.5;-20;;;;64;3.1;680.5;;;3076.4;;3.9;48.4;174.2;14;720.4;176;;;;136353;52;524.8;0;8854.7;5934.7;
COV;01.01.1990 00:00;-4.9;11.9;-24.8;;;;69.6;3.2;679.8;;;3069.1;;3.9;50.3;181.1;14;858.8;175;;;;137418;53;529.7;0;9084;6164;
COV;01.01.1991 00:00;-5.4;11.9;-27.8;;;;68.5;3.2;679;;;3060.4;;4.2;32.8;118.1;14.4;726.7;177;;;;137329;53;523;0;9242.6;6322.6;
COV;01.01.1992 00:00;-4.3;11.3;-25.3;;;;70;3.5;679.9;;;3069.7;;4.5;35.1;126.4;15.8;964.4;173;;;;120174;46;533.9;0;8867.8;5939.8;
