station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CRM;01.01.1992 00:00;;31.7;-10.9;;;;;;;;;;;;;;;;;;;;;;;;;;
CRM;01.01.1993 00:00;;32;-10.6;;;;;;;;;;;;;;;;;;;;;;;;;;
CRM;01.01.1994 00:00;;32.8;-6.6;;;;;;;;;;;;29.2;105.1;;;;;;;;;;;;;
CRM;01.01.1995 00:00;9.5;32;-15.1;;;;;;967.6;;;;;2.6;36.5;131.4;;;;;;;;;;127.9;3359.8;1551.8;
CRM;01.01.1996 00:00;8.7;29.4;-12.5;;;;;;966.1;;;;;2.5;23.7;85.3;9;;;;;;;;;55.8;3680;1760;
CRM;01.01.1997 00:00;9.6;30.2;-7.8;;;;;;968.5;;;;;2.3;29.2;105.1;;;;;;;;;;76.7;3273.8;1529.8;
CRM;01.01.1998 00:00;10.7;37.3;-13.3;;;;;;968.3;;;;;2.6;35.1;126.4;9.4;;;;;;;;;216;2986.5;1346.5;
CRM;01.01.1999 00:00;9.6;30.7;-10;;;;;;967.2;;;;;2.7;32.6;117.4;9.7;;;;;;;;;74.4;3263.6;1615.6;
CRM;01.01.2000 00:00;10.1;30.3;-12.1;;;;;;967.5;;;;;2.2;25;90;7.9;;;;;;;;;;;;
CRM;01.01.2001 00:00;9.7;30.4;-13.8;;;;;;967.3;;;;;2.6;26.2;94.3;9.4;;;;;;;;;113.3;3276.2;1524.2;
CRM;01.01.2002 00:00;10.1;32;-9.5;;;;;;967.2;;;;;2.4;30.5;109.8;8.6;;;;;;;;;95.1;3188.2;1364.2;
CRM;01.01.2003 00:00;10.2;34.7;-12.2;;;;;;968.4;;;;;2.3;30.6;110.2;8.3;;;;;;;;;284.7;3318.9;1670.9;
CRM;01.01.2004 00:00;9.9;32.6;-15.4;;;;;10;967.8;1019.2;;;;2.5;30.6;110.2;9;;;;;;;;;102;3181.4;1525.4;
CRM;01.01.2005 00:00;9.5;33.4;-16;;;;75.9;9.7;968.6;1020.2;;;;2.2;27.3;98.3;7.9;;;;;;;;;147.1;3454.1;1694.1;
CRM;01.01.2006 00:00;10;34.2;-11.2;;;;78;10.4;968.4;1019.8;;;1019.5;2.3;24.2;87.1;8.3;;;;;;;;;188.1;3141.5;1573.5;
CRM;01.01.2007 00:00;10.5;31;-7.5;;;;75.8;10.1;968.4;1019.8;;;1019.5;2.6;32.6;117.4;9.4;;;;;;;;;81.4;2902.7;1326.7;
CRM;01.01.2008 00:00;9.9;30.3;-10.3;;;;76.7;9.9;967.3;1018.7;;;1018.4;2.4;28.8;103.7;8.3;;;;;;;;;109;3253.7;1525.7;
CRM;01.01.2009 00:00;10.3;32.4;-13.8;;;;75.5;10.1;966.1;1017.4;;;1017.2;2.2;43.1;155.2;7.9;;;;;;;;;144.3;3074.4;1530.4;
