station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
DAV;01.01.1864 00:00;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1865 00:00;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1866 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1867 00:00;2.2;;;;;;;;832.5;;;;;;;;;981.8;;;;;;;;;6262;;
DAV;01.01.1868 00:00;2.5;;;;;;;;834.2;;;;;;;;;1021.3;;;;;;;;;6087.6;;
DAV;01.01.1869 00:00;2.2;;;;;;;;835.5;;;;;;;;;840.5;;;;;;;;;6272.9;;
DAV;01.01.1870 00:00;1.6;;;;;;;;835.2;;;;;;;;;714.1;;;;;;;;;6471.7;;
DAV;01.01.1871 00:00;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1872 00:00;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1873 00:00;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1874 00:00;2.2;;;;;;;;831.1;;;;;;;;;809.9;;;;;;;;;6158.3;;
DAV;01.01.1875 00:00;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAV;01.01.1876 00:00;2.9;;;;;;;;840.2;;;;;;;;;1027.3;;;;;;;;;5955.4;;
DAV;01.01.1877 00:00;2.5;25.3;-21.7;;;;;;840.7;;;;;;;;;1151.2;;;;;;;;0;6036.7;;
DAV;01.01.1878 00:00;1.9;25;-26.3;;;;;;840.6;;;;;;;;;1279.1;;;;;;;;0;6350.3;;
DAV;01.01.1879 00:00;1.9;;;;;;;;840.2;;;;;;;;;893.2;;;;;;;;0.1;6326.4;;
DAV;01.01.1880 00:00;3.7;;;;;;;;842.7;;;;;;;;;1163.5;;;;;;;;0;5676.4;;
DAV;01.01.1881 00:00;3.5;30;-26;;;;;;843.4;;;;;;;;;811.5;;;;;;;;8.8;5742;;
DAV;01.01.1882 00:00;3.7;;;;;;;;844.1;;;;;;;;;1163;;;;;;;;0;5688.7;;
DAV;01.01.1883 00:00;2.6;;;;;;;;843.5;;;;;;;;;842.2;;;;;;;;0.8;6106.9;;
DAV;01.01.1884 00:00;3.5;;;;;;;;844.7;;;;;;;;;590.2;;;;;;;;2.7;5782.3;;
DAV;01.01.1885 00:00;3.6;;;;;;;;843.7;;;;;;;;;847.7;;;;;114552;;;0;5558.4;;
DAV;01.01.1886 00:00;3.2;;;;;;;;842.6;;;;;;;;;761.8;;;;;106092;;;3.2;5757.9;;
DAV;01.01.1887 00:00;2.3;;;;;;;;842.7;;;;;;;;;626.6;;;;;112536;;;0;6033;;
DAV;01.01.1888 00:00;3.2;;;;;;;;842.1;;;;;;;;;867.7;;;;;106854;;;0;5876.7;;
DAV;01.01.1889 00:00;3.8;;;;;;;;841.1;;;;;;;;;938;;;;;97752;;;6.2;5497.7;;
DAV;01.01.1890 00:00;2.4;26.8;-25.7;;;;;;843.1;;;;;;;;;936.3;;;;;110106;;;0;6175;;
DAV;01.01.1891 00:00;2.4;27.8;-31.4;;;;;;844.1;;;;;;;;;1009.3;;;;;110580;;;0;6137.1;;
DAV;01.01.1892 00:00;3;29;-25.7;;;;;;843.2;;;;;;;;;873.4;;;;;109752;;;0.6;5948.9;;
DAV;01.01.1893 00:00;3.2;29.5;-26.5;;;;;;844.4;;;;;;;;;792.3;;;;;113286;;;0;5777.3;;
DAV;01.01.1894 00:00;3.2;28;-24.5;;;;;;843.7;;;;;;;;;786.8;;;;;111264;;;1.1;5858;;
DAV;01.01.1895 00:00;3;26.5;-26.4;;;;;;842.6;;;;;;;;;779.9;;;;;113166;;;0.7;5844.9;;
DAV;01.01.1896 00:00;2.5;25.7;-23;;;;;;844.3;;;;;;;;;1133.7;;;;;96930;;;0;6205;;
DAV;01.01.1897 00:00;3.6;28.4;-20.6;;;;;;844.9;;;;;;;;;817.2;;;;;106350;;;0;5649.9;;
DAV;01.01.1898 00:00;3.9;27.2;-20.2;;;;;;845;;;;;;;;;922.8;;;;;108252;;;0.3;5544;;
DAV;01.01.1899 00:00;3.5;26.6;-23;;;;;;845.3;;;;;;;;;861.2;;;;;112422;;;0;5708.4;;
DAV;01.01.1900 00:00;4;29.1;-23;;;;;;843.2;;;;;;;;;830.6;;;;;99936;;;1.3;5497.8;;
DAV;01.01.1901 00:00;3;27;-29.6;;;;83.2;7.3;841.1;;;;;0.2;;;0.7;1093.9;;;;;104472;52;;;5809.1;;
DAV;01.01.1902 00:00;3.3;26.2;-20.1;;;;80.9;6.9;841.9;;;;;0.6;;;2.2;943.7;;;;;104940;52;;;5810.6;;
DAV;01.01.1903 00:00;3;25.1;-22.5;;;;81.4;7;842.5;;;;;0.6;;;2.2;946.9;;;;;109398;55;;;5929.8;;
DAV;01.01.1904 00:00;3.8;25;-21;;;;80.4;7.3;842.6;;;;;0.6;;;2.2;1026.5;;;;;109680;54;;;5501.7;;
DAV;01.01.1905 00:00;2.8;27.7;-32;;;;73.7;6.2;842.4;;;;;0.4;;;1.4;1195.6;;;;;103860;51;;;5958.8;;
DAV;01.01.1906 00:00;2.9;25;-25.8;;;;75.1;6.3;842.2;;;;;0.4;;;1.4;996.3;;;;;109596;53;;;5896.6;;
DAV;01.01.1907 00:00;3.2;25.5;-24.3;;;;75;6.4;842.6;;;;;0.4;;;1.4;1130.7;;;;;106470;52;;;5783.4;;
DAV;01.01.1908 00:00;3;22.5;-22.8;;;;74.7;6.3;843;;;;;0.4;;;1.4;963.5;;;;;116898;59;;;5906.6;;
DAV;01.01.1909 00:00;2.1;23;-24.2;;;;73.8;5.9;840.7;;;;;0.6;;;2.2;884.9;;;;;107592;53;;;6324.5;;
DAV;01.01.1910 00:00;2.6;25.3;-23.1;;;;79.4;6.5;840.5;;;;;0.4;;;1.4;1136.1;;;;;96336;47;;;6174.8;;
DAV;01.01.1911 00:00;3.3;25.5;-22;;;;71.8;6.2;843.3;;;;;0.2;;;0.7;935.6;;;;;120654;59;;;5713.8;;
DAV;01.01.1912 00:00;2.5;23.4;-23.3;;;;74.4;5.9;841.7;;;;;0.6;;;2.2;1072.3;;;;;91644;46;;;6254.6;;
DAV;01.01.1913 00:00;3;22;-20.3;;;;70;5.7;842.8;;;;;0.6;;;2.2;1003.7;;;;;101466;51;;;6014.7;;
DAV;01.01.1914 00:00;2.7;23.4;-24;;;;70.6;5.8;841.5;;;;;0.6;;;2.2;991.1;;;;;102606;51;;;6069;;
DAV;01.01.1915 00:00;2.7;22.7;-24.4;;;;75.2;6.2;839.4;;;;;0.6;;;2.2;913.3;;;;;98370;47;;;6048.5;;
DAV;01.01.1916 00:00;2.9;21.8;-21.5;;;;75.2;6.1;840.2;;;;;0.6;;;2.2;1258;;;;;100866;49;;;6099.5;;
DAV;01.01.1917 00:00;2;24;-25.1;;;;73.7;6;841;;;;;0.4;;;1.4;896.1;;;;;113802;56;;;6213.1;;
DAV;01.01.1918 00:00;3.1;25.1;-24.9;;;;72.7;6.1;842.7;;;;;0.4;;;1.4;927.8;;;;;106482;53;;;5910.3;;
DAV;01.01.1919 00:00;1.8;23.9;-28.7;;;;76.4;6;840.3;;;;;0.4;;;1.4;984.5;;;;;103818;50;;;6354.8;;
DAV;01.01.1920 00:00;3.7;24.8;-17.8;;;;75.3;6.5;843.5;;;;;0.4;;;1.4;973.2;;;;;104286;53;;;5687.4;;
DAV;01.01.1921 00:00;3.8;25.9;-18.1;;;;75.7;6.7;843.9;;;;;0.6;;;2.2;760.3;;;;;114864;57;;;5533.6;;
DAV;01.01.1922 00:00;2.4;24;-26.1;;;;81.3;6.5;840.7;;;;;1.1;;;4;1216.6;;;;;91326;44;;;6170.6;;
DAV;01.01.1923 00:00;3.2;26.9;-21;;;;80;6.6;841.1;;;;;1.1;;;4;943.4;;;;;102936;48;;;5880.8;;
DAV;01.01.1924 00:00;2.7;23.5;-22.5;;;;78.2;6.4;841.7;;;;;0.8;;;2.9;871.5;;;;;106296;54;;;6088;;
DAV;01.01.1925 00:00;2.8;25.1;-22.6;;;;75.9;6.2;841.5;;;;;0.6;;;2.2;807.5;;;;;98244;48;;;5987.4;;
