station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
DIA;01.01.1993 00:00;;34;-25.9;;;;;;;;;;;;;;;;;;;;;;;;;;
DIA;01.01.1995 00:00;-2.1;44.9;-22.9;;;;;;;;;;;5.5;38.9;140;;;;;;;;;;;;5131.2;
DIA;01.01.1996 00:00;-4;12.6;-24;;;;;;;;;;;5.4;38.3;137.9;19.4;;;;;;;;;;;;
DIA;01.01.1997 00:00;;;;;;;;;;;;;;5.3;35.5;127.8;;;;;;;;;;;;;
DIA;01.01.1998 00:00;;;;;;;;;;;;;;;38.8;139.7;;;;;;;;;;;;;
DIA;01.01.1999 00:00;;;;;;;;;;;;;;;51.1;184;;;;;;;;;;;;;
DIA;01.01.2003 00:00;;;;;;;;;;;;;;;40;144;;;;;;;;;;;;;
DIA;01.01.2004 00:00;;13.5;-22.6;;;;;;;;;;;;36.2;130.3;;;;;;;;;;;;;
DIA;01.01.2006 00:00;;;;;;;;;;;;;;;45.8;164.9;;;;;;;;;;;;;
DIA;01.01.2007 00:00;;12.8;-20.8;;;;;;;;;;;6.5;46.7;168.1;23.4;;;;;;;;;;;;
DIA;01.01.2008 00:00;;;;;;;;;;;;;;6.9;44.6;160.6;24.8;;;;;;;;;;;;
DIA;01.01.2009 00:00;-2.8;15.4;-25.1;;;;71.9;4;;;;;;6.6;45.1;162.4;23.8;;;;;;;;;;;5355.1;
DIA;01.01.2010 00:00;-4;15.7;-24.1;;;;74.7;3.8;;;;;;6.5;41.2;148.3;23.4;;;;;;;;;;;5820.4;
DIA;01.01.2011 00:00;-1.5;16.7;-20.2;;;;67.7;3.9;;;;;;5.7;42.2;151.9;20.5;;;;;;;;;;;;
DIA;01.01.2012 00:00;;;;;;;;;;;;;;;46.9;168.8;;;;;;;;;;;;;
DIA;01.01.2015 00:00;-0.8;18.1;-17.9;;;;67.2;4.1;710.6;;;3089.1;1021.8;;41.4;149;;;172;;;;;;;;;;
DIA;01.01.2016 00:00;;;;;;;;;;;;;;;38.6;139;;;;;;;;;;;;;
DIA;01.01.2018 00:00;;;;;;;;;708.2;;;;1018.6;6;45.5;163.8;21.6;;171;;;;;;;;;;
DIA;01.01.2019 00:00;;20.3;-21.6;;;;;;708.4;;;;1018.9;6.5;44.4;159.8;23.4;;177;;;;;;;;;;
DIA;01.01.2020 00:00;-1.2;16.8;-18.5;;;;72.6;4.3;709.6;;;3074;1020.4;5.6;46.8;168.5;20.2;;174;;;;;;;0;7713.8;4801.8;
DIA;01.01.2021 00:00;-2.6;15;-22;;;;72.9;4;708.3;;;3059.9;1018.7;5.8;36.4;131;20.9;;173;;;;;;579.3;0;8259.1;5339.1;
DIA;01.01.2022 00:00;-0.9;16.9;-20.5;;;;67.8;4.2;710.7;;;;;5.3;35;126;19.1;;179;;;;;;;;;;
DIA;01.01.2023 00:00;-1.4;18.9;-22.2;;;;73;4.3;709.2;;;3071.4;1019.9;6.2;40.1;144.4;22.3;;166;;;;;;611.9;0;7720.4;4888.4;
DIA;01.01.2024 00:00;-1.2;17.3;-18;;;;73.5;4.4;709.3;;;3072.3;1020.2;6.5;41.5;149.4;23.4;;161;;;;;;584.9;0;7742.3;4838.3;
