station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
DIS;01.01.1959 00:00;7.9;28.8;-12.3;;;;68.6;7.8;883.6;;;;;;;;;925.2;;;;;114144;;;;3860.1;;
DIS;01.01.1960 00:00;6.9;26.6;-19;;;;73.1;7.7;881;;;;;;;;;1467.9;;;;;98094;;;;4306.2;;
DIS;01.01.1961 00:00;7.8;27.4;-10;;;;70.5;7.9;884.2;;;;;1.1;;;4;988.6;;;;;114822;54;;;3984.6;;
DIS;01.01.1962 00:00;6;28;-19.2;;;;72.4;7.5;882.9;;;;;1.1;;;4;996.8;;;;;114486;53;;;4658.4;;
DIS;01.01.1963 00:00;6;26.9;-21.5;;;;72.3;7.6;881.7;;;;;1.1;;;4;1344.9;;;;;99312;48;;;4609.2;;
DIS;01.01.1964 00:00;7.3;28.8;-12.7;;;;70.7;7.8;884.2;;;;;0.8;;;2.9;1015.7;;;;;108480;50;;;4187.2;;
DIS;01.01.1965 00:00;5.9;28.3;-15;;;;71;7.1;881.6;;;;;1.4;;;5;1308;;;;;98370;45;;;4785.9;;
DIS;01.01.1966 00:00;6.7;28.6;-17.6;;;;71.9;7.6;881.6;;;;;1.1;;;4;1367;;;;;95022;43;;;4284.7;;
DIS;01.01.1967 00:00;6.7;29.2;-16.2;;;;75.1;8.1;884.1;;;;;1.1;;;4;1277;;;;;105072;50;;;4431.9;;
DIS;01.01.1968 00:00;6.5;29.9;-16.9;;;;74.4;7.7;882.4;;;;;0.8;;;2.9;1493.5;;;;;100890;48;;;4469.9;;
DIS;01.01.1969 00:00;6.5;28.1;-14.3;;;;71.9;7.6;881.9;;;;;0.8;;;2.9;1035.6;;;;;102132;49;;;4464;;
DIS;01.01.1970 00:00;6.2;28.2;-13.2;;;;73.3;7.5;882.7;;;;;0.8;;;2.9;1174.9;;;;;92436;44;;;4620.7;;
DIS;01.01.1971 00:00;7;29.2;-18.8;;;;71.9;7.4;884;;;;;1.6;;;5.8;773.4;;;;;110010;53;;;4277;;
DIS;01.01.1972 00:00;7.1;28.4;-9.2;;;;71.4;7.2;883.3;;;;;1.8;;;6.1;772.3;;;;;92706;44;;;4401.9;;
DIS;01.01.1973 00:00;6.6;28.2;-16.8;;;;72.7;7.3;884.6;;;;;1.6;;;5.8;993.4;;;;;102804;48;;;4392.9;;
DIS;01.01.1974 00:00;6.2;29.7;-11.5;;;;75.4;7.1;882.1;;;;;1.4;;;5;1061.4;;;;;89670;40;;;4579.1;;
DIS;01.01.1975 00:00;6.1;28.8;-10.8;;;;72;6.8;883.5;;;;;1.1;;;4;1168.2;;;;;99588;48;;;4603.9;;
DIS;01.01.1976 00:00;6.2;29.1;-17.2;;;;68.1;6.4;882.1;;;;;2.1;;;7.6;1071.8;;;;;104706;47;;;4627.7;;
DIS;01.01.1977 00:00;6.3;28;-11.4;;;;70.6;6.7;882.1;;;;;2;;;7.2;1353;;;;;85212;41;;;4560;;
DIS;01.01.1978 00:00;5.7;27;-14.6;;;;69.6;6.3;881.3;;;;;1.6;;;5.8;1099.7;;;;;93588;45;;;4807.8;;
DIS;01.01.1979 00:00;6;28.3;-16.3;;;;69.4;6.5;881.1;;;;;1.8;;;6.1;1375.2;;;;;91854;42;;;4657.9;;
DIS;01.01.1980 00:00;5.2;27.5;-15.7;;;;73.5;6.7;881.6;;;;;1.2;;;5.4;891.2;;;;;86238;43;;;5126.7;;
DIS;01.01.1981 00:00;5.6;27.3;-17.6;;;;69.5;6.6;882.2;;;;;1.2;;;;1379.8;140;;;;86395;42;;8.2;4870.1;2598.1;812.1
DIS;01.01.1982 00:00;6.7;28.5;-12.4;6.1;32;-17.5;64.7;6.7;883.6;;;;;1.2;19.7;70.9;4.3;982.9;147;;;;95249;46;677.9;12;4320.8;2256.8;315.7
DIS;01.01.1983 00:00;6.6;32.9;-12.9;6;38.8;-19.9;66.5;6.8;884.2;;;;;1;18.5;66.6;4.7;1149.8;139;;;;89582;44;633.5;52.7;4433.9;2345.9;515.2
DIS;01.01.1984 00:00;5.6;28.5;-16.5;5.3;39.2;-19.3;69.4;6.6;882.2;;;;;1.2;16.2;58.3;4.3;1014.6;143;;;;88939;43;622.2;15.4;4946.9;2562.9;460.7
DIS;01.01.1985 00:00;5.6;28.8;-22.6;5.5;35.3;-29.2;68.1;6.6;882.9;;;;;1.1;17.5;63;4.7;848.3;149;;;;98773;48;656.9;12.8;4794.2;2634.2;193.8
DIS;01.01.1986 00:00;5.9;27.8;-20.1;6;37.1;-24.1;66.7;6.5;883.2;;;;;1.2;16.6;59.8;5;1093.8;144;;;;95845;47;654.2;7.6;4672.9;2512.9;420.3
DIS;01.01.1987 00:00;6;29.2;-24.8;5.4;37.4;-28.1;70;6.9;883.2;;;;;1.1;16.3;58.7;4.3;1281.7;137;;;;87306;43;618.2;22.7;4721.9;2513.9;742.1
DIS;01.01.1988 00:00;6.5;27.4;-13.1;6.4;35.2;-17.9;71.4;7.3;883.3;;;;;1.2;17;61.2;4.7;1167.6;140;;;;84310;41;632.3;10;4397.2;2285.2;659.5
DIS;01.01.1989 00:00;7.4;27;-8.5;7;35.2;-11.7;65.5;7.1;885.1;;;;;1.1;20.5;73.8;4.7;888.7;147;;;;108007;53;659;4.1;4056.4;1952.4;277.1
DIS;01.01.1990 00:00;7.2;28.5;-14.6;6.9;36.1;-16.9;67;7.1;884.9;;;;;1.1;19.3;69.5;4.7;983.8;144;;;;101630;50;671.1;19.4;4233;2073;352.8
DIS;01.01.1991 00:00;6.4;28.7;-18.2;6.3;38;-24.4;68.1;7.1;884.4;;;;;1.1;18;64.8;4.7;1104.3;149;;;;105992;52;665.2;29.1;4554.4;2450.4;450.9
DIS;01.01.1992 00:00;7;29.4;-14.7;6.6;36.8;-19.7;70;7.4;884.7;;;;;1;15.5;55.8;4.3;1085.8;141;;;;91394;44;646.1;50;4310.1;2230.1;522.4
DIS;01.01.1993 00:00;6.5;27.2;-16.8;6.4;35.2;-20.2;70.6;7.3;884.4;;;;;1.1;22.3;80.3;4.3;1341.3;138;;;;87509;43;610.6;8.7;4522.2;2282.2;877.9
DIS;01.01.1994 00:00;7.7;31.2;-10.7;7.6;39.8;-15.3;71;7.8;883.8;;;;;1.1;20.2;72.7;4.3;982.2;140;;;;88662;43;655.7;42.9;4086.2;2014.2;430.8
DIS;01.01.1995 00:00;6.5;30.6;-17.4;6.6;38.3;-20.7;70.6;7.3;882.8;;;;;1.1;16.5;59.4;4.3;1205.3;143;;;;90191;44;637.8;22.4;4547.4;2339.4;663.3
DIS;01.01.1996 00:00;6.3;26.8;-15.5;6.4;36.3;-18.8;70.3;7.1;881.2;;1475.8;;;1.1;16.3;58.7;4;1284.5;145;;;;92858;45;644.3;5.5;4656.5;2352.5;744.4
DIS;01.01.1997 00:00;7.4;27.4;-10.5;7.2;35.1;-14.9;68.6;7.4;883.9;;;;;1.1;15;54;4.3;922.4;148;;;;101594;49;655.2;3.7;4105.6;2009.6;372
DIS;01.01.1998 00:00;6.7;30.2;-14;6.6;39.2;-18.2;68.7;7.2;883.7;;;;;1.1;16.6;59.8;4.7;1171.5;148;;;;92844;45;661.8;32.8;4447.5;2295.5;622.6
DIS;01.01.1999 00:00;6.5;28.5;-17.8;6.3;37.8;-21.9;72.9;7.6;882.7;;;;;1;19.9;71.6;3.6;1471.8;141;;;;80263;39;624.2;6.2;4404;2316;1019.4
DIS;01.01.2000 00:00;7.1;27.2;-15.6;6.7;35.3;-23.2;71.8;7.6;883.4;;;;;1;15.2;54.7;4;1315.3;141;;;;85651;42;641.5;16.4;4218.5;2122.5;782.8
DIS;01.01.2001 00:00;6.6;28.8;-15.1;6.2;37.5;-20.4;71.9;7.5;883;;;;;1;15.7;56.5;4.3;1145.7;144;;;;89574;44;637.1;21;4432.6;2304.6;585
DIS;01.01.2002 00:00;7.4;30.1;-13.4;7.1;37.8;-16.7;70.6;7.6;883;;1493.5;;;1;16.6;59.8;4;1578.3;143;;;;88315;43;644.1;26.3;4127.6;2015.6;1072
DIS;01.01.2003 00:00;7.8;32.6;-14.8;7.4;41.9;-20.4;63.5;7.2;884.3;;1505.4;;;1.1;17.7;63.7;4;731.1;161;;;;115364;56;745.5;106.1;4126.5;2182.5;-33.7
DIS;01.01.2004 00:00;6.7;28;-14.2;6.9;40.3;-20.1;69.9;7.3;883.1;;1493.9;;;1;13.8;49.7;3.6;855.3;146;;;;92027;45;651.1;14.8;4417.5;2305.5;273.9
DIS;01.01.2005 00:00;6.2;29.9;-17.8;6;37.7;-23.4;69.3;7.2;883.7;;1498.2;;;1;19.1;68.8;3.6;785.5;150;;;;99629;48;650.7;34.3;4572.1;2476.1;198.5
DIS;01.01.2006 00:00;7.5;30.8;-16.6;;;;68;7.6;883;;1498.7;;1018.4;1;17.1;61.6;3.6;837.6;148;;;;95155;46;663;60.1;4147.7;2099.7;246.9
DIS;01.01.2007 00:00;7.3;27.9;-12;7.7;42.5;-17.3;71.6;7.6;881.9;;1501.1;;1018.4;0.9;16.8;60.5;3.2;1072.9;154;;;;104998;53;665.8;19.8;4137.3;2057.3;533.5
DIS;01.01.2008 00:00;6.9;27.9;-11.8;7;40.5;-16.5;73.5;7.7;881.1;;1492.7;;1017.4;0.9;20.1;72.4;3.2;1204.7;146;;;;88066;44;630.6;10.6;4341.4;2213.4;732.1
DIS;01.01.2009 00:00;7;29.4;-17.7;7.4;47.3;-21.8;71.6;7.7;880.1;;1485;;1016.4;0.9;16.5;59.4;3.2;1050.2;155;;;;94894;48;675.4;24.8;4229.2;2269.2;496.7
DIS;01.01.2010 00:00;5.9;30.6;-14;6.6;42.1;-21.1;73.2;7.4;878.3;;1467;;1014.4;0.9;16.3;58.7;3.2;1084.4;145;;;;82034;41;620.1;32.8;4771.3;2571.3;
DIS;01.01.2011 00:00;8;30.2;-12.2;8.4;41.7;-16;67.6;7.7;883;;1512.4;;1019.7;0.9;13.3;47.9;3.2;1075;155;;;;109459;55;679.7;30.3;3799.1;1831.1;490.3
DIS;01.01.2012 00:00;6.8;29.9;-22;7.3;42.6;-27.4;73.4;7.9;881.6;;1498;;1018.1;0.9;21.8;78.5;3.2;1211.7;152;;;;95736;48;659.4;28.6;4346.8;2322.8;692.2
DIS;01.01.2013 00:00;6.6;29.2;-15.2;7;43.2;-22;72.4;7.6;880.4;;1487.3;;1016.8;0.9;18.3;65.9;3.2;1182.8;150;;;;89258;45;648.3;33.6;4444.8;2332.8;673.7
DIS;01.01.2014 00:00;7.8;29.4;-12.1;;;;73.2;8;880.6;;;;;1.1;16.1;58;4;1336.8;145;;;;85699;43;651.1;9.9;3908.9;1788.9;
DIS;01.01.2015 00:00;7.9;31.8;-10.2;8.5;43.3;-15.1;70;7.9;883.8;;1519.3;;1020.5;1.1;15.9;57.2;4;1038.5;154;;;;102864;51;689;90.1;4071;1951;440
DIS;01.01.2016 00:00;7.5;29.6;-14.1;8.9;41.7;-19.4;71.8;7.9;882.2;;1503.6;;1018.7;1.1;15.6;56.2;4;984.9;149;;;;91021;45;667.3;30.3;4188.7;2068.7;463.3
DIS;01.01.2017 00:00;7.2;31;-14.5;8.3;43.9;-20;71.7;7.7;882.9;;1510.6;;1019.6;1;18.8;67.7;3.6;1124.8;156;;;;100925;50;698.3;54.4;4325.1;2205.1;
DIS;01.01.2018 00:00;8.2;31.1;-19.2;8.1;43.7;-21.4;70.1;8;881.2;;1495.4;;1017.6;1.1;18.3;65.9;4;1094.9;157;;;;98763;49;743;44.7;3689;1953;441
DIS;01.01.2019 00:00;7.7;33.3;-12.4;7.4;38.6;-16.2;71.4;7.9;881.5;;1497.5;;1017.9;1.2;17.3;62.3;4.3;1366.9;153;;;;97687;48;709.1;61.3;4065;2073;
DIS;01.01.2020 00:00;8.2;29.4;-10;8;39.2;-13;68.6;7.8;882.5;;1507.6;;1019.1;1.3;18.9;68;4.7;1115.5;157;;;;109054;54;737.4;26.3;3881;1841;516.4
DIS;01.01.2021 00:00;6.8;28.4;-12.8;;;;72.1;7.6;882;;;;;1.2;16;57.6;4.3;1244;153;;;;95978;48;667.7;23;4342.7;2254.7;
DIS;01.01.2022 00:00;8.6;29.8;-12.3;8.5;41.6;-17.3;68.2;8.1;883.5;;1517.2;;1020.2;1.3;20.1;72.4;4.7;814.7;164;;;;114812;57;770;50.2;3664.1;1824.1;162.2
DIS;01.01.2023 00:00;8.4;33.5;-11.4;8.4;44.4;-15.4;71.4;8.2;881.8;;1501.5;;1018.3;1.3;17.5;63;4.7;1118.3;156;;;;100728;50;741;81.3;3788.1;1940.1;508.5
DIS;01.01.2024 00:00;8.4;30.6;-12.1;8.5;40.3;-15.5;72.8;8.4;882.2;;1505.3;;1018.8;1.2;18.5;66.6;4.3;1108.3;139;;;;81365;40;660.6;58.3;3818.2;1826.2;634.8
