station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
EVO;01.01.1987 00:00;3.8;24.1;-23.8;;;;;5.9;;;;;;1.4;27.8;100.1;5.4;695.6;155;;;;102606;51;;1.3;5614.5;3086.5;
EVO;01.01.1988 00:00;4.1;23.5;-17;;;;66.4;5.9;816.2;;;;;1.4;27.4;98.6;5.4;738.2;157;;;;93161;46;651.5;0;5582.9;2990.9;220.8
EVO;01.01.1989 00:00;5.1;24.2;-10.3;;;;59.5;5.6;818;;;;;1.5;22.4;80.6;6.1;586.4;165;;;;113659;56;697.9;0.1;5193.1;2601.1;7.1
EVO;01.01.1990 00:00;4.6;23.8;-13.7;;;;61.9;5.7;817.8;;;;;1.5;35.8;128.9;5.8;780.9;164;;;;112213;56;692.4;0;5360.1;2816.1;171
EVO;01.01.1991 00:00;4;24.6;-19.1;;;;62.7;5.6;817;;;;;1.4;26;93.6;5.8;680.3;166;;;;112782;56;687.6;0.9;5414.2;3070.2;43.4
EVO;01.01.1992 00:00;4.7;24.3;-13.9;;;;64.5;5.9;817.6;;;;;1.3;18.3;65.9;5.4;823.4;154;;;;101383;50;659.2;0.7;5353.5;2825.5;310.9
EVO;01.01.1993 00:00;4.2;24;-18.3;;;;64.8;5.7;817.1;;;;;1.4;22.5;81;5.8;758.9;159;;;;107710;53;665.7;0;5513.8;2961.8;234.5
EVO;01.01.1994 00:00;5.1;24.7;-13.2;;;;65.8;6.2;817.2;;;;;1.5;28.6;103;5.8;847.9;157;;;;103770;51;684;2.1;5126.5;2694.5;311.9
EVO;01.01.1995 00:00;3.8;26.5;-17.9;;;;67.3;5.9;816.1;;;;;1.4;20.6;74.2;5.4;860.3;160;;;;102051;51;645.7;2.2;5682.3;3098.3;371
EVO;01.01.1996 00:00;3.5;24.2;-15.4;;;;67.1;5.7;813.9;;1475.1;;;1.4;24.4;87.8;5;692.4;162;;;;103989;51;661;0;5778.2;3170.2;182.3
EVO;01.01.1997 00:00;5;21.4;-12;;;;62.2;5.9;817;;;;;1.5;25.4;91.4;5.8;679;166;;;;119081;59;693.7;0;5121.7;2641.7;128.3
EVO;01.01.1998 00:00;4.4;26.2;-13.9;;;;63.2;5.7;816.6;;;;;1.5;20.9;75.2;5.8;596.5;164;;;;114113;57;695.1;5.4;5358.5;2926.5;27.8
EVO;01.01.1999 00:00;4;23.3;-19;;;;68.6;6.1;815.6;;;;;1.3;;;4.7;892.9;158;;;;98611;49;;0.6;5525.1;2981.1;421.3
EVO;01.01.2000 00:00;4.8;24.7;-15.2;;;;64.3;5.9;816.4;;;;;1.4;21.5;77.4;5;720.1;163;;;;105742;52;688;1.1;5271.8;2767.8;148.7
EVO;01.01.2001 00:00;4.2;24.2;-16.1;;;;66.6;5.9;815.8;;;;;1.3;32.3;116.3;5;756.9;165;;;;108014;54;669.7;0.1;5451.8;2963.8;191.5
EVO;01.01.2002 00:00;4.7;24.9;-13.2;;;;67.2;6.1;816;;1494;;;1.3;24.2;87.1;4.7;898.6;160;;;;104132;52;659.6;2.9;5373.7;2757.7;419.3
EVO;01.01.2003 00:00;5.2;27.2;-18.2;;;;59.7;5.8;817;;1504.5;;;1.4;36.9;132.8;5;497.1;177;;;;127642;63;776.6;21.7;4978.9;2794.9;-227.7
