station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
FRE;01.01.1978 00:00;4.9;24.4;-12.6;;;;80.8;7.6;;;;;;;;;;1413.7;;;;;90582;38;;;5225.3;;
FRE;01.01.1979 00:00;5.1;24.5;-18;;;;80;7.7;;;;;;1.6;;;6.5;1390.4;;;;;83364;34;;;5016;;
FRE;01.01.1980 00:00;4.2;24.4;-16.2;;;;81.1;7.3;;;;;;1.6;;;5.8;1442.1;;;;;82680;35;;;5505.1;;
FRE;01.01.1981 00:00;5;26.1;-13.6;5;31.2;-20.2;77.9;7.4;;;;;;1.9;22.9;82.4;6.5;1425.7;122;;;;80808;34;;2.4;5112.1;2720.1;1041
FRE;01.01.1982 00:00;6;25.2;-12.8;5.9;32.3;-20.8;77.4;7.8;;;;;;1.8;26.8;96.5;;1282.9;135;;;;91537;38;;5.1;4673.9;2409.9;861.6
FRE;01.01.1983 00:00;6.1;28.2;-13.9;5.9;35.8;-19.3;76.8;7.7;;;;;;1.9;24.4;87.8;6.8;1431.3;131;;;;98409;41;;43;4649.2;2473.2;924.8
FRE;01.01.1984 00:00;5;26.4;-13.3;;;;75.4;7;;;;;;2;32;115.2;7.6;1081.2;131;;;;100585;42;;8;5196;2724;546.7
FRE;01.01.1985 00:00;5.1;25.1;-21.9;5.1;33.2;-26.9;74.9;7.2;;;;;;2.1;25.1;90.4;7.6;1124.7;139;;;;111837;47;;5.2;5018.1;2754.1;546.9
FRE;01.01.1986 00:00;5.3;26.9;-20.3;5.2;36.2;-25.3;77.7;7.6;;;;;;2.2;32.7;117.7;7.6;1303.7;127;;;;94125;39;;12.3;4971.8;2675.8;805.5
FRE;01.01.1987 00:00;5.3;26.4;-24.7;5.1;32.1;-27.9;78.4;7.7;;;;;;2.1;28.7;103.3;7.2;1523.7;122;;;;83157;35;;17.4;5063.2;2679.2;1134.3
FRE;01.01.1988 00:00;6;25.9;-13.1;5.7;31.1;-18.4;79.5;8;879.2;;;;;2.2;26.1;94;7.9;1419.3;125;;;;92087;38;576.9;4.8;4679.9;2391.9;989
FRE;01.01.1989 00:00;7;25.9;-9.8;6.4;34.7;-13.2;72.8;7.7;880.6;;;;;2.2;33.7;121.3;7.9;902.3;136;;;;120891;50;638.6;4.2;4240.1;2048.1;344.6
FRE;01.01.1990 00:00;6.4;25.2;-9.5;6;31.7;-16.1;78.3;7.9;880.3;;;;;2.3;29.7;106.9;8.3;1410.3;133;;;;107638;45;613.3;7.9;4609.5;2265.5;880.1
FRE;01.01.1991 00:00;5.6;25.1;-17.7;5.5;36.9;-26.2;78.1;7.7;879.6;;;;;2.1;30;108;7.6;1205.9;137;;;;112871;47;603.4;6;4840.1;2624.1;677.3
FRE;01.01.1992 00:00;6.3;25.2;-14.8;6;32;-21.1;79.1;8.1;879.8;;;;;2.2;32.1;115.6;7.6;1360;126;;;;98165;41;585.8;27;4663.3;2367.3;928.4
FRE;01.01.1993 00:00;5.8;26.3;-16.5;5.9;35.5;-20.6;79;7.8;879.3;;;;;2.1;29.1;104.8;7.9;1424.7;130;;;;98358;41;589.4;3.4;4850.3;2458.3;984
FRE;01.01.1994 00:00;6.9;26.6;-11.7;6.9;37.4;-17.4;80.6;8.6;878.9;;;;;2.2;33.8;121.7;7.9;1393.2;124;;;;86101;36;591.9;27.1;4387.5;2179.5;985.5
FRE;01.01.1995 00:00;5.8;26.5;-14.3;5.8;34.6;-21;80.9;8;879.1;;;;;2.3;31.5;113.4;8.3;1615.7;129;;;;92734;39;576;13.5;4812.1;2500.1;1198.6
FRE;01.01.1996 00:00;5.2;23.3;-16.1;5.1;33.1;-19;79.8;7.5;877.8;;1473.1;;;2.1;28.1;101.2;7.6;1249.9;132;;;;95832;40;570.1;0.7;5088.1;2648.1;814.9
FRE;01.01.1997 00:00;6.6;23.8;-9.3;6.5;32.7;-13.1;78;8.2;880.4;;;;;2.2;26.4;95;7.9;1308.3;138;;;;109431;46;618.1;1.4;4431.2;2199.2;868.9
FRE;01.01.1998 00:00;6;28.2;-11.5;5.8;32.5;-17.4;76.5;7.6;880.2;;;;;2.3;32;115.2;8.3;1218.4;134;;;;100452;42;629.2;30.2;4777;2457;696.5
FRE;01.01.1999 00:00;6;25.1;-14.1;5.9;31.5;-20.8;81.3;8.2;879.1;;;;;2.4;35.8;128.9;8.6;1544.8;126;;;;91017;38;581.7;4.8;4610.4;2418.4;1152.1
FRE;01.01.2000 00:00;6.6;25.1;-15.3;6.4;31.1;-19.7;78.4;8.1;879.6;;;;;2.2;34.3;123.5;7.9;1331.8;136;;;;104916;44;629.7;7.6;4496.3;2240.3;835.6
FRE;01.01.2001 00:00;5.9;25.1;-17;5.9;33.4;-22.7;81.3;8.1;879.2;;;;;2.3;29.3;105.5;8.3;1646;130;;;;94179;39;590.7;10;4777.3;2505.3;1174.2
FRE;01.01.2002 00:00;6.6;26.8;-10.6;6.5;35.1;-16.9;80;8.2;879.3;;1488;;;2.1;25.5;91.8;7.6;1455.3;130;;;;95180;40;599;20.8;4506.7;2186.7;1014.6
FRE;01.01.2003 00:00;7.1;29.8;-15.6;7;38.5;-23.5;73.2;7.9;880.2;;1497.6;;;2.1;31.5;113.4;7.2;1042.9;150;;;;124778;52;712.9;95.4;4443.3;2363.3;353.3
FRE;01.01.2004 00:00;5.9;26.1;-11.7;6.2;39.4;-18.4;78.9;7.9;879.4;;1488.8;;;2.2;30.3;109.1;7.9;1374;132;;;;98792;41;594.7;7.9;4811.7;2475.7;883.3
FRE;01.01.2005 00:00;5.7;28.1;-16.1;;;;79.4;8;880.3;;1494.2;;;2;27.3;98.3;7.2;1197.1;138;;;;109043;46;;25.2;4755.2;2563.2;680.5
FRE;01.01.2006 00:00;6.8;26.2;-12.3;;;;77.8;8.3;880.9;;1494.7;;1017.7;1.9;23;82.8;6.8;1436.9;138;;;;107001;45;613;28.5;4425.7;2257.7;933.3
FRE;01.01.2007 00:00;6.5;25.2;-13;7;36.4;-17.6;79.8;8.2;881;;1500.3;;1018.4;2;25.3;91.1;7.2;1684.5;144;;;;115377;49;617.3;5.5;4456.3;2224.3;1263.3
FRE;01.01.2008 00:00;6;24.7;-10.7;6.4;39.1;-17.3;80;8;879.8;;1489.1;;1017.1;2;26.2;94.3;7.2;1218;136;;;;104595;44;591.8;4.5;4707.8;2419.8;776.8
FRE;01.01.2009 00:00;6.3;27.7;-16.7;6.7;;;79.2;8.1;878.9;;1481.2;;1016.1;1.9;25.4;91.4;6.8;1063.5;145;;;;108580;46;644.4;18.2;4586.2;2386.2;546.8
FRE;01.01.2010 00:00;5;27.2;-14.3;5.4;36.8;-17.6;81.7;7.8;877;;1462.4;;1013.9;1.9;23.3;83.9;6.8;955.5;138;;;;85592;36;595.2;18.5;5119.9;2807.9;
FRE;01.01.2011 00:00;7.4;26.2;-11.6;7.6;35.2;-16.8;76.2;8.3;881.8;;1508.5;;1019.3;1.7;22.4;80.6;6.1;1006.5;160;;;;118376;50;672.6;20.4;4130.3;1954.3;491.1
FRE;01.01.2012 00:00;6.2;27.4;-19.9;6.4;34.3;-25.3;80.1;8.2;880.4;;1493.9;;1017.7;2;22.5;81;7.2;1496.7;147;;;;99604;42;636.5;24.8;4584;2400;1046.2
FRE;01.01.2013 00:00;5.6;27.2;-12.7;5.8;33.8;-19.1;82.3;8.1;879.2;;1482.8;;1016.3;1.8;26.3;94.7;6.5;1319.5;137;;;;87217;37;582.3;26.2;4866.8;2618.8;898.2
FRE;01.01.2014 00:00;7;25.3;-10.6;7.1;31.6;-16.8;81;8.5;879.2;;1484.4;;1016.4;2;30.5;109.8;7.2;1218.9;142;;;;91989;39;615.9;9.2;4308;1996;834.6
FRE;01.01.2015 00:00;7.3;29.9;-9.9;7.2;34.6;-15.9;75.9;8.2;882.6;;;;1020.2;2.1;24.2;87.1;7.6;1254.3;156;;;;114545;48;694;69.3;4359.2;2079.2;649.9
FRE;01.01.2016 00:00;6.8;26.6;-11.2;6.7;35.3;-13.8;78.7;8.2;880.9;;1499.2;;1018.2;2.1;25.6;92.2;7.6;1320.9;138;;;;93564;39;614.1;24.1;4477.6;2237.6;854.2
FRE;01.01.2017 00:00;6.9;26.9;-13.6;6.7;32;-17.3;76.6;8.2;881.8;;1508.3;;1019.3;2;26.9;96.8;7.2;1047;153;;;;107268;45;681.7;44.1;4388.9;2252.9;515.9
FRE;01.01.2018 00:00;7.6;26.4;-16.5;7.4;32.5;-20.8;78.1;8.6;879.8;;1490.2;;1017;2.1;26.8;96.5;7.6;1255.3;150;;;;103595;44;707.4;34.5;3899.6;2051.6;670
FRE;01.01.2019 00:00;7.2;29.7;-10.7;6.8;34.8;-17.8;76;8.2;880.2;;1493.4;;1017.5;2.3;27.4;98.6;8.3;1364.8;155;;;;109229;46;707.2;60;4310;2166;791.2
FRE;01.01.2020 00:00;7.8;28.9;-8.5;7.4;32.7;-12.3;75.1;8.3;881.3;;1504.4;;1018.7;2.3;26.8;96.5;8.3;1155.2;154;;;;111549;47;712.6;30.8;4085.5;1941.5;566.6
FRE;01.01.2021 00:00;6.4;25.7;-13.9;6.2;33;-21.6;78.7;8.1;880.7;;1497.5;;1018.1;2.2;25.6;92.2;7.9;1439.3;147;;;;98576;42;634.1;10.2;4510.2;2302.2;1026.8
FRE;01.01.2022 00:00;8.4;29.2;-11.9;8;34;-15.5;73.9;8.6;882.3;;1514.1;;1019.8;2.2;24.2;87.1;7.9;1167.2;164;;;;123247;52;771.8;61.6;3763;1859;470.1
FRE;01.01.2023 00:00;8;30.4;-10;7.8;39;-17.4;76.3;8.6;880.8;;1499.6;;1018.1;2.4;27.6;99.4;8.6;1406.8;152;;;;102577;43;731.8;70.5;3924.1;2028.1;781.2
FRE;01.01.2024 00:00;7.9;27.2;-8.5;7.8;35.6;-12.6;78.8;9;880.7;;1498.8;;1018;2.2;27.6;99.4;7.9;1405.5;137;;;;89699;38;633.9;34.6;4048.5;1896.5;1011.9
