station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GIH;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1477.2;;;;;;;;;;;
GIH;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1329.5;;;;;;;;;;;
GIH;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1667.1;;;;;;;;;;;
GIH;01.01.1980 00:00;;;;;;;;;;;;;;;;;;1263.5;;;;;;;;;;;
GIH;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1583.1;;;;;;;;;;;
GIH;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1430.5;;;;;;;;;;;
GIH;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1232.8;;;;;;;;;;;
GIH;01.01.1984 00:00;;;;;;;;;;;;;;;;;;1279;;;;;;;;;;;
GIH;01.01.1985 00:00;;;;;;;;;;;;;;;;;;1088.7;;;;;;;;;;;
GIH;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1361.4;;;;;;;;;;;
GIH;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1257.1;;;;;;;;;;;
GIH;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1278.5;;;;;;;;;;;
GIH;01.01.1989 00:00;;;;;;;;;;;;;;;;;;1013;;;;;;;;;;;
GIH;01.01.1990 00:00;;;;;;;;;;;;;;;;;;1348.1;;;;;;;;;;;
GIH;01.01.1991 00:00;;;;;;;;;;;;;;;;;;1146.1;;;;;;;;;;;
GIH;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1389.5;;;;;;;;;;;
GIH;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1316.5;;;;;;;;;;;
GIH;01.01.1994 00:00;;;;;;;;;964.3;;;;;1.3;29.7;106.9;;1402.3;;;;;;;;;;;
GIH;01.01.1995 00:00;;;;;;;;;964.1;;;;;1.4;37;133.2;;1561.3;;;;;;;;;;;
GIH;01.01.1996 00:00;;;;;;;;;962.5;;;;;1.2;34.6;124.6;4.3;1314.1;;;;;;;;;;;
GIH;01.01.1997 00:00;;;;;;;;;965;;;;;1.2;37.8;136.1;;1240.2;;;;;;;;;;;
GIH;01.01.1998 00:00;;;;;;;;;964.8;;;;;1.3;28.3;101.9;4.7;1073.8;;;;;;;;;;;
GIH;01.01.1999 00:00;;;;;;;;;963.6;;;;;1.2;35.1;126.4;4.3;1457.2;;;;;;;;;;;
GIH;01.01.2000 00:00;;;;;;;;;;;;;;1.1;34.3;123.5;;1116;;;;;;;;;;;
GIH;01.01.2001 00:00;;;;;;;;;962.6;;;;;1.3;25.1;90.4;;1337.5;;;;;;;;;;;
GIH;01.01.2002 00:00;;;;;;;;;;;;;;;;;;1587.9;;;;;;;;;;;
GIH;01.01.2003 00:00;;;;;;;;;963.5;;;;;1.2;29.3;105.5;4.3;933.8;;;;;;;;;;;
