station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GOR;01.01.1994 00:00;;;;;;;;;;;;;;3.3;50.4;181.4;11.9;;;;;;;;;;;;
GOR;01.01.1995 00:00;;;;;;;;;;;;;;3;49;176.4;10.8;;;;;;;;;;;;
GOR;01.01.1996 00:00;-3.7;13.4;-20.8;;;;65.9;3.3;692.1;;;;;2.9;52.1;187.6;10.4;;;;;;;;;;;5712.7;
GOR;01.01.1997 00:00;-2;13.1;-18.8;;;;58.9;3.3;695.3;;;;;3;43.4;156.2;10.8;;;;;;;;;;;5074.6;
GOR;01.01.1998 00:00;-2.5;16.2;-22.3;;;;58.6;3.3;694.7;;;;;3.2;38.5;138.6;11.5;;;;;;;;;;;5202.3;
GOR;01.01.1999 00:00;;13.7;-25.7;;;;;;693.7;;;;;3.4;56.5;203.4;12.2;;;;;;;;;;;;
GOR;01.01.2000 00:00;-2.3;15.1;-20.6;;;;;;694.7;;;3070.2;;3.4;40.8;146.9;12.2;;;;;;;;;;;;
GOR;01.01.2001 00:00;;;;;;;;;;;;;;3.4;;;12.2;;;;;;;;;;;;
GOR;01.01.2002 00:00;-2.3;37.2;-19.3;;;;63.3;3.5;694.4;;;3066.4;;3.1;44.9;161.6;11.2;;;;;;;;;;;5192.8;
GOR;01.01.2003 00:00;;16.6;-24.7;;;;;-6.3;695.4;;;;;3;39.5;142.2;10.8;;;;;;;;;;;;
GOR;01.01.2004 00:00;-2.8;13.9;-23.3;;;;60.2;3;694;;;3062.9;;3.2;45.2;162.7;11.5;;;;;;;;;;;5391.2;
GOR;01.01.2005 00:00;-3.3;14.8;-26.8;;;;61.1;3.3;694.2;;;3065.7;;2.7;43.3;155.9;9.7;;;;;;;;;;;5571.4;
GOR;01.01.2006 00:00;-2.1;15.5;-24.7;;;;59.6;3.5;695.3;;;3077.6;1020.9;3;35.4;127.4;10.8;;;;;;;;;;;5096.7;
GOR;01.01.2007 00:00;;;;;;;;;695.1;;;;1020.8;3.1;46.1;166;11.2;;;;;;;;;;;;
GOR;01.01.2008 00:00;-2.6;14.5;-29.8;;;;63.8;3.5;694;;;3062.8;1019.2;3.4;50.8;182.9;12.2;;;;;;;;;;;5326.8;
GOR;01.01.2009 00:00;-2.6;14.6;-24;;;;61.3;3.4;693.2;;;3054.5;1018.2;3.3;42.9;154.4;11.9;;;;;;;;;;;5315.4;
GOR;01.01.2010 00:00;;16.4;-25.3;;;;;;;;;;;3;36.1;130;10.8;;;;;;;;;;;;
GOR;01.01.2011 00:00;-1.4;16.2;-22.4;;;;58.9;3.4;696.2;;;3087.8;1022.3;2.8;41.9;150.8;10.1;;;;;;;;;;;4873.8;
GOR;01.01.2012 00:00;-2.2;18;-25.6;;;;60.9;3.4;694.3;;;3067.1;1019.8;3.4;52.4;188.6;12.2;;;;;;;;;;;5173.8;
GOR;01.01.2013 00:00;-3.3;15.4;-24.9;;;;63;3.4;692.7;;;3049.7;1017.6;3.1;43.4;156.2;11.2;;;;;;;;;0;8489;5569;
GOR;01.01.2014 00:00;-2.4;13.3;-19.8;;;;64.6;3.5;693.4;;;3057.7;1018.7;3.1;52.4;188.6;11.2;;190;;;;;;639.8;0;8161.8;5241.8;
GOR;01.01.2015 00:00;-1.5;16.8;-19.8;;;;59.6;3.5;696.3;;;3090.5;1022.6;3.1;44.7;160.9;11.2;;202;;;;;;706.4;0;7798.5;4902.5;
GOR;01.01.2016 00:00;-2.3;16.3;-21.6;;;;61.4;3.4;694.6;;;3070.6;1020.2;3.1;46;165.6;11.2;;199;;;;;;662.4;0;8132.1;5212.1;
GOR;01.01.2017 00:00;;15.2;-24.7;;;;;;695.2;;;;1021;3.2;50.4;181.4;11.5;;198;;;;;;;;;;
GOR;01.01.2018 00:00;-1.8;14.9;-27.2;;;;66;3.9;693.8;;;3063.5;1019.2;3.2;54.3;195.5;11.5;;198;;;;;;;0;7839.2;4959.2;
GOR;01.01.2019 00:00;;17.1;-20.6;;;;;;;;;;;;45.9;165.2;;;;;;;;;;;;;
GOR;01.01.2020 00:00;-1.4;15.8;-19;;;;61.5;3.6;695.2;;;3077.3;1021.1;2.9;50;180;10.4;;197;;;;;61;693.9;0;7833.7;4905.7;
GOR;01.01.2021 00:00;-2.7;14.4;-21.9;;;;62.4;3.4;693.9;;;3063.6;1019.4;2.9;40.6;146.2;10.4;;202;;;;144924;59;660.3;0;8277.6;5357.6;
GOR;01.01.2022 00:00;-0.8;17.5;-19.1;;;;57.5;3.6;696.3;;;3089.9;1022.6;2.9;49.8;179.3;10.4;;202;;;;153169;63;748.6;0;7580.4;4668.4;
GOR;01.01.2023 00:00;-1.4;17.1;-21.3;;;;61.4;3.7;694.8;;;3073.5;1020.6;3.2;51.1;184;11.5;;194;;;;134771;55;697.2;0;7749.5;4869.5;
GOR;01.01.2024 00:00;-1.3;17.2;-20;;;;65.3;3.9;695.1;;;3076.9;1021;3.1;40.5;145.8;11.2;;186;;;;119464;49;646.7;0;7788;4876;
