station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GRA;01.01.1901 00:00;6.8;;;;;;;;;;;;;;;;;975.8;;;;;;;;;;;
GRA;01.01.1902 00:00;7.4;;;;;;;;;;;;;;;;;982.4;;;;;;;;;;;
GRA;01.01.1903 00:00;7.4;;;;;;;;;;;;;;;;;1034.3;;;;;;;;;;;
GRA;01.01.1904 00:00;8.1;;;;;;;;;;;;;;;;;840.2;;;;;;;;;;;
GRA;01.01.1905 00:00;7.4;;;;;;;;;;;;;;;;;1320.4;;;;;;;;;;;
GRA;01.01.1906 00:00;7.7;;;;;;;;;;;;;;;;;868.6;;;;;;;;;;;
GRA;01.01.1907 00:00;7.5;;;;;;;;;;;;;;;;;1017.9;;;;;;;;;;;
GRA;01.01.1908 00:00;7.3;;;;;;;;;;;;;;;;;964.4;;;;;;;;;;;
GRA;01.01.1909 00:00;6.8;;;;;;;;;;;;;;;;;1079.3;;;;;;;;;;;
GRA;01.01.1910 00:00;7.6;;;;;;;;;;;;;;;;;1328.6;;;;;;;;;;;
GRA;01.01.1911 00:00;8.3;;;;;;;;;;;;;;;;;823.3;;;;;;;;;;;
GRA;01.01.1912 00:00;7.4;;;;;;;;;;;;;;;;;943;;;;;;;;;;;
GRA;01.01.1913 00:00;8;;;;;;;;;;;;;;;;;878.6;;;;;;;;;;;
GRA;01.01.1914 00:00;7.5;;;;;;;;;;;;;;;;;1054.7;;;;;;;;;;;
GRA;01.01.1915 00:00;7.5;;;;;;;;;;;;;;;;;1176.2;;;;;;;;;;;
GRA;01.01.1916 00:00;7.8;;;;;;;;;;;;;;;;;1250.3;;;;;;;;;;;
GRA;01.01.1917 00:00;6.9;;;;;;;;;;;;;;;;;1124.9;;;;;;;;;;;
GRA;01.01.1918 00:00;8;;;;;;;;;;;;;;;;;1092.1;;;;;;;;;;;
GRA;01.01.1919 00:00;7.4;;;;;;;;;;;;;;;;;973.8;;;;;;;;;;;
GRA;01.01.1920 00:00;8.5;;;;;;;;;;;;;;;;;809.1;;;;;;;;;;;
GRA;01.01.1921 00:00;8.8;;;;;;;;;;;;;;;;;666.8;;;;;;;;;;;
GRA;01.01.1922 00:00;7.3;;;;;;;;;;;;;;;;;1435.3;;;;;;;;;;;
GRA;01.01.1923 00:00;8.3;;;;;;;;;;;;;;;;;1129.7;;;;;;;;;;;
GRA;01.01.1924 00:00;7.4;;;;;;;;;;;;;;;;;913.4;;;;;;;;;;;
GRA;01.01.1925 00:00;7.7;;;;;;;;;;;;;;;;;934.7;;;;;;;;;;;
GRA;01.01.1926 00:00;8.3;;;;;;;;;;;;;;;;;939.8;;;;;;;;;;;
GRA;01.01.1927 00:00;8;;;;;;;;;;;;;;;;;1153.3;;;;;;;;;;;
GRA;01.01.1928 00:00;8.8;;;;;;;;;;;;;;;;;1010.1;;;;;;;;;;;
GRA;01.01.1929 00:00;7.6;;;;;;;;;;;;;;;;;912.7;;;;;;;;;;;
GRA;01.01.1930 00:00;8.5;;;;;;;;;;;;;;;;;1270.9;;;;;;;;;;;
GRA;01.01.1931 00:00;7.3;;;;;;84.9;9.8;;;;;;3.1;;;11.2;1178.2;;;;;;;;;4241.5;;
GRA;01.01.1932 00:00;7.5;;;;;;83.3;9.6;;;;;;2.7;;;9.7;967.9;;;;;;;;;4146.2;;
GRA;01.01.1933 00:00;7.4;;;;;;81.2;9.3;;;;;;3.5;;;12.6;848;;;;;;;;;4133.5;;
GRA;01.01.1934 00:00;8.6;;;;;;77.5;9;;;;;;3.5;;;12.6;881.8;;;;;;;;;3595.5;;
GRA;01.01.1935 00:00;7.9;;;;;;71.9;8.3;;;;;;3.9;;;14;1164.7;;;;;;;;;3958.2;;
