station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GRE;01.01.1993 00:00;8.9;32.2;-14.8;;;;80.6;9.8;968.4;;;;;;;;;;;;;;;;;;3497.8;1713.8;
GRE;01.01.1994 00:00;10.4;34.1;-8;;;;81.2;10.7;967.7;;;;;2.4;31.5;113.4;;;;;;;;;;;3131.6;1363.6;
GRE;01.01.1995 00:00;9.3;34.5;-18;;;;80.1;10;966.8;;;;;2.5;33.7;121.3;;;;;;;;;;;3439.9;1631.9;
GRE;01.01.1996 00:00;8.3;31.3;-12.8;;;;79.7;9.3;965.3;;;;;2.3;21.7;78.1;8.3;;;;;;;;;;3804.1;1860.1;
GRE;01.01.1997 00:00;9.3;31.9;-10;;;;80.2;10;968;;;;;2.3;27.5;99;;;;;;;;;;;3373.5;1637.5;
GRE;01.01.1998 00:00;9.2;34.9;-15.8;;;;78.2;;967.9;;;;;2.4;27.8;100.1;8.6;;;;;;;;;;3456;1688;
GRE;01.01.1999 00:00;9.3;31.6;-14.7;;;;;;966.8;;;;;2.4;37.3;134.3;8.6;;;;;;;;;;3353.4;1713.4;
GRE;01.01.2000 00:00;10;30.9;-14.4;;;;;;967.2;;;;;2.1;21.5;77.4;;;;;;;;;;;;;
GRE;01.01.2001 00:00;9.7;31.7;-19;;;;;;967;;;;;2.5;26.5;95.4;;;;;;;;;;;3249.4;1561.4;
GRE;01.01.2002 00:00;10;33.6;-9.8;;;;81.3;;966.8;;;;;2.3;29.2;105.1;8.3;;;;;;;;;;3197.5;1413.5;
GRE;01.01.2003 00:00;9.9;36;-17.7;;;;76.3;;968;;;;;2.3;27.7;99.7;8.3;;;;;;;;;;3427;1771;
GRE;01.01.2004 00:00;9.3;31.8;-14.8;;;;78.8;9.9;967.4;1018.5;;;;2.3;27.7;99.7;8.3;;;;;;;;;;3388.4;1668.4;
GRE;01.01.2005 00:00;9;34.6;-17.4;;;;78.7;9.8;968.3;1019.6;;;;2.2;26.1;94;7.9;;;;;;;;;;3659.7;1843.7;
GRE;01.01.2006 00:00;9.6;34.4;-15.8;;;;80.4;10.4;968;1019.1;;;1018.8;2.2;24.1;86.8;7.9;;;;;;;;;;3299.3;1675.3;
GRE;01.01.2007 00:00;10;31.8;-9.5;;;;78.9;10.1;968;1019.1;;;1018.8;2.6;27.5;99;9.4;;;;;;;;;;3098.9;1442.9;
GRE;01.01.2008 00:00;9.4;31.6;-10;;;;79.2;9.9;966.7;1017.8;;;1017.4;2.3;24.2;87.1;8.3;;;;;;;;;;3419.2;1667.2;
GRE;01.01.2009 00:00;;33.8;-14.2;;;;;;;;;;;2.2;33.7;121.3;7.9;;;;;;;;;;;;
GRE;01.01.2010 00:00;8.6;34.4;-14.8;;;;78.7;9.5;964;1015.1;;;1014.6;2.2;30.5;109.8;7.9;;;;;;;;;;3690.1;1906.1;
GRE;01.01.2011 00:00;10.3;33.3;-10.2;;;;;;968.3;1019.6;;;1019.4;2.2;33.1;119.2;7.9;815.2;152;;;;;;;106.8;2981;1429;
GRE;01.01.2012 00:00;9.7;33.7;-15.8;;;;80.8;10.4;967.1;1018.5;;;1018.1;2.4;26.5;95.4;8.6;1092.9;146;;;;;;745.2;116.6;3309.6;1637.6;
GRE;01.01.2013 00:00;;34.4;-15.1;;;;;;966.1;;;;1017;2.4;25.6;92.2;8.6;;145;;;;;;;;;;
GRE;01.01.2014 00:00;10.5;32.3;-14.9;;;;82.1;10.7;965.6;1016.6;;;1016.5;2;34.7;124.9;7.2;1101.4;149;;;;;;732.3;68.7;2837;1269;
GRE;01.01.2015 00:00;10.5;37.3;-10.6;;;;78.8;10.3;969.3;1020.6;;;1020.4;2.5;27.8;100.1;9;794.7;155;;;;;;818;259.8;3162.5;1458.5;
GRE;01.01.2016 00:00;10;32.8;-10.6;;;;;;967.6;1018.9;;;1018.5;2.3;26.6;95.8;8.3;1313.1;145;;;;;;;163.2;3322;1570;
GRE;01.01.2017 00:00;10;33.8;-13.6;;;;79.2;10.2;968.5;1019.7;;;1019.4;2.4;26.4;95;8.6;952.6;157;;;;;;;;;;
GRE;01.01.2018 00:00;11.1;33.1;-12.7;;;;78.8;10.8;966.1;1016.8;;;1016.7;2.5;33.8;121.7;9;988;151;;;;;;;;;;
GRE;01.01.2019 00:00;10.3;36.4;-7.5;;;;81.1;10.6;966.6;1017.6;;;1017.3;2.4;25.6;92.2;8.6;1017;151;;;;;;;;;;
GRE;01.01.2020 00:00;10.7;34.1;-5.8;;;;79.6;10.5;967.7;1018.6;;;1018.5;2.5;30.7;110.5;9;1071.8;151;;;;;;;151.4;3003.3;1339.3;
GRE;01.01.2021 00:00;9.6;31.5;-10.5;;;;81.5;10.2;967.5;1018.6;;;1018.3;2.3;32.9;118.4;8.3;1202.4;145;;;;;;729.9;102.1;3397.9;1613.9;
GRE;01.01.2022 00:00;11.4;36;-10.2;;;;78.3;10.8;968.4;1019.2;;;1019.2;2.4;25.8;92.9;8.6;961.2;159;;;;;;852.9;244.7;2835.6;1275.6;
GRE;01.01.2023 00:00;11.4;35.6;-9.2;;;;79.9;11.1;966.7;1017.4;;;1017.4;2.6;31.3;112.7;9.4;1134.7;148;;;;;;814.6;266.7;2895.3;1303.3;
GRE;01.01.2024 00:00;10.9;33.8;-9.7;;;;85.7;11.7;966.9;1017.7;;;1017.6;2.2;26.4;95;7.9;1163.1;132;;;;84294;34;697.3;213.9;2944.4;1312.4;866
