station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GUE;01.01.1954 00:00;-0.9;17;-20.6;;;;;;768.4;;;;;;;;;;;;;;;;;;7622.7;;
GUE;01.01.1955 00:00;-0.7;19;-19.2;;;;;;768.7;;;;;;;;;;;;;;;;;;7521.9;;
GUE;01.01.1956 00:00;-1.7;20.2;-30.2;;;;;;769.2;;;;;;;;;;;;;;;;;;7899.1;;
GUE;01.01.1957 00:00;0.3;23;-18.5;;;;;;770.2;;;;;;;;;;;;;;;;;;7123.8;;
GUE;01.01.1958 00:00;0;23;-21.5;;;;;;769;;;;;5.4;;;;1862.6;;;;;;;;;7219.9;;
GUE;01.01.1959 00:00;0.4;18.2;-18.2;;;;75.4;5.1;770.5;;;;;5.2;;;;1291;;;;;120390;;;;7109.5;;
GUE;01.01.1960 00:00;-1;18.1;-24.6;;;;79.5;4.9;768;;;;;4.7;;;;1567.5;;;;;101478;;;;7650.8;;
GUE;01.01.1961 00:00;0.6;17.7;-19.9;;;;73.4;5.1;771.2;;;;;4.6;;;;1383.6;;;;;124974;;;;7009.4;;
GUE;01.01.1962 00:00;-1.3;20;-24.6;;;;75;4.7;769.2;;;;;5;;;;1420.1;;;;;127890;;;;7713.9;;
GUE;01.01.1963 00:00;-0.9;17;-25.6;;;;74.3;4.9;768.2;;;;;5.8;;;;1251.3;;;;;112320;;;;7576.8;;
GUE;01.01.1964 00:00;0.3;19;-18.8;;;;73;4.9;771.3;;;;;5.7;;;;1278.1;;;;;114756;;;;7138.2;;
GUE;01.01.1965 00:00;-1.4;18.3;-21.9;;;;75.3;4.5;768.4;;;;;6.4;;;;1857;;;;;101904;;;;7757.7;;
GUE;01.01.1966 00:00;-0.6;20.8;-23.6;;;;78;5;768.8;;;;;5.8;;;;1828.2;;;;;104244;;;;7477;;
GUE;01.01.1967 00:00;-0.2;18;-21.6;;;;73.8;4.9;771.1;;;;;6;;;;1561.5;;;;;119976;;;;7313.5;;
