station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
HOE;01.01.1992 00:00;6.9;27.2;-14.2;;;;76.4;8.1;;;;;;4.1;37.5;135;14.4;;;;;;99047;39;;59.4;4441.9;2249.9;
HOE;01.01.1993 00:00;6.3;25.7;-15.6;;;;76.3;7.8;889.6;;;;;4;43.8;157.7;14;;130;;;;97614;38;677;22.8;4581;2365;
HOE;01.01.1994 00:00;7.6;27.6;-12.2;;;;78.4;8.6;889.3;;;;;4.3;38.5;138.6;14.8;;127;;;;91690;36;687.9;71.4;4158.7;2062.7;
HOE;01.01.1995 00:00;6.4;27.5;-13.5;;;;78.5;8;888.9;;;;;4;42.5;153;14;;127;;;;92927;36;642.4;34.2;4570.5;2370.5;
HOE;01.01.1996 00:00;5.6;24.9;-16.8;;;;77.5;7.5;887.3;;1474.5;;;3.4;34.4;123.8;12.2;;132;;;;98876;39;635.6;9.7;4927.5;2551.5;
HOE;01.01.1997 00:00;7.2;23.5;-14;;;;74.9;8.1;889.9;;;;;3.8;35.3;127.1;13;;138;;;;106413;42;689.9;16.3;4266.7;2106.7;
HOE;01.01.1998 00:00;6.6;27.7;-13;;;;75.3;7.7;889.7;;;;;4;40.3;145.1;14;;135;;;;93121;37;706;60.1;4538.6;2314.6;
HOE;01.01.1999 00:00;6.5;25.5;-14.1;;;;79.5;8.2;888.6;;;;;3.6;57.8;208.1;12.6;;129;;;;85496;34;651.1;22.5;4481.3;2321.3;
HOE;01.01.2000 00:00;7.4;28.1;-14.3;;;;76;8.1;889.3;;;;;3.8;33;118.8;13.3;;133;;;;97488;38;709;37.9;4205.9;2061.9;
HOE;01.01.2001 00:00;6.4;26.9;-18.7;;;;79.6;8.1;888.9;;;;;3.8;33;118.8;13.3;;131;;;;91298;36;654.4;36.1;4525.4;2405.4;
