station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
INT;01.01.1894 00:00;;;;;;;;;;;;;;;;;;932;;;;;;;;;;;
INT;01.01.1895 00:00;;;;;;;;;;;;;;;;;;1092;;;;;;;;;;;
INT;01.01.1896 00:00;;;;;;;;;;;;;;;;;;1539;;;;;;;;;;;
INT;01.01.1897 00:00;;;;;;;;;;;;;;;;;;1231;;;;;;;;;;;
INT;01.01.1898 00:00;;;;;;;;;;;;;;;;;;1044;;;;;;;;;;;
INT;01.01.1899 00:00;;;;;;;;;;;;;;;;;;1079;;;;;;;;;;;
INT;01.01.1900 00:00;;;;;;;;;;;;;;;;;;1075.4;;;;;;;;;;;
INT;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1175.9;;;;;;;;;;;
INT;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1229.4;;;;;;;;;;;
INT;01.01.1903 00:00;;;;;;;;;;;;;;;;;;1096.9;;;;;;;;;;;
INT;01.01.1904 00:00;;;;;;;;;;;;;;;;;;1020.9;;;;;;;;;;;
INT;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1362.5;;;;;;;;;;;
INT;01.01.1906 00:00;;;;;;;;;;;;;;;;;;1016.4;;;;;;;;;;;
INT;01.01.1907 00:00;;;;;;;;;;;;;;;;;;1059.5;;;;;;;;;;;
INT;01.01.1908 00:00;;;;;;;;;;;;;;;;;;900.4;;;;;;;;;;;
INT;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1113.2;;;;;;;;;;;
INT;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1364.8;;;;;;;;;;;
INT;01.01.1911 00:00;;;;;;;;;;;;;;;;;;985.3;;;;;;;;;;;
INT;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1287.5;;;;;;;;;;;
INT;01.01.1913 00:00;;;;;;;;;;;;;;;;;;1234.7;;;;;;;;;;;
INT;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1505.8;;;;;;;;;;;
INT;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1220;;;;;;;;;;;
INT;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1326.6;;;;;;;;;;;
INT;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1130.4;;;;;;;;;;;
INT;01.01.1918 00:00;;;;;;;;;;;;;;;;;;1387.8;;;;;;;;;;;
INT;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1349.1;;;;;;;;;;;
INT;01.01.1920 00:00;;;;;;;;;;;;;;;;;;879.7;;;;;;;;;;;
INT;01.01.1921 00:00;;;;;;;;;;;;;;;;;;802.9;;;;;;;;;;;
INT;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1592.5;;;;;;;;;;;
INT;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1237;;;;;;;;;;;
