station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
KLO;01.01.1949 00:00;;;;;;;;;970.3;;;;;;;;;620.6;;;;;;;;;;;
KLO;01.01.1950 00:00;;;;;;;;;966.6;;;;;;;;;996.9;;;;;;;;;;;
KLO;01.01.1951 00:00;9;33.8;-8.4;;;;;;964.8;;;;;;;;;954.7;;;;;;;;;3530.2;;
KLO;01.01.1952 00:00;9.1;38;-17.1;;;;;;965.5;;;;;;;;;1091.1;;;;;;;;;3601.9;;
KLO;01.01.1953 00:00;8.8;32;-19.8;;;;;;969;;;;;;;;;828.2;;;;;;;;;3576.9;;
KLO;01.01.1954 00:00;8.2;31.1;-15.5;;;;;;965.9;;;;;;;;;1052.9;;;;;;;;;3776.1;;
KLO;01.01.1955 00:00;8.3;32;-16.8;;;;;;966;;;;;;;;;1261.2;;;;;;;;;3722;;
KLO;01.01.1956 00:00;7.2;29.5;-24.5;;;;;;967.1;;;;;;;;;993.8;;;;;;;;;4076.4;;
KLO;01.01.1957 00:00;8.6;35.5;-17.1;;;;;;966.9;;;;;;;;;954.6;;;;;;;;;3614.5;;
KLO;01.01.1958 00:00;8.9;32;-16;;;-18.2;;;965.5;1016;;;;2.5;;;;1215.1;;;;;;;;;3540.1;;
KLO;01.01.1959 00:00;9.3;32.5;-13.8;;;-15.3;81;9.9;966.7;;;;;2.1;;;;908.7;;;;;105210;;;;3452.2;;
KLO;01.01.1960 00:00;8.8;30;-21.4;;;-26;81.3;9.7;964.1;;;;;2.2;;;;1100.3;;;;;90672;;;;3483.2;;
KLO;01.01.1961 00:00;9.5;31;-11.7;;;-13.1;82.6;10.3;967;;;;;2.2;;;;917;;;;;99330;;;;3241.1;;
KLO;01.01.1962 00:00;7.8;32.6;-13.6;;;-15.8;79.1;8.9;966.2;;;;;2.9;;;;779.7;;;;;105828;;;;4071.3;;
KLO;01.01.1963 00:00;7.5;30.4;-24.3;;;-26.3;81.6;9.5;964.7;;;;;2.5;;;;937.6;;;;;85254;;;;4065.5;;
KLO;01.01.1964 00:00;8.7;32.6;-17.3;;;-18.3;81.1;9.6;967.2;;;;;2.2;;;;844.4;;;;;88236;;;;3594.9;;
KLO;01.01.1965 00:00;7.9;32;-16.6;;;-19.3;83.1;9.4;964.5;;;;;3.1;;;;1377.7;;;;;73230;;;;3935;;
KLO;01.01.1966 00:00;8.9;32.3;-20.7;;;-23.1;82;10;964.2;;;;;2.9;;;;1206.1;;;;;86922;;;;3439.9;;
KLO;01.01.1967 00:00;8.9;31.3;-15.6;;;-18.7;81.2;9.9;967;;;;;2.8;;;;1005.9;;;;;96150;;;;3613;;
KLO;01.01.1968 00:00;8.6;30.9;-22;;;-25.2;82.3;9.7;965.2;;;;;3.2;;;;1079.2;;;;;85740;;;;3520.4;;
KLO;01.01.1969 00:00;8.2;31;-14.5;;;-18;81.9;9.6;964.7;;;;;2.9;;;;958;;;;;89268;;;;3882.2;;
KLO;01.01.1970 00:00;8.3;32.2;-12.4;;;-15.7;81.7;9.6;965.6;;;;;3.4;;;;1120.8;;;;;79314;;;;3766.6;;
KLO;01.01.1971 00:00;8.3;32;-17.8;;;-20.6;81.5;9.5;966.5;;;;;2.7;;;10.8;720.8;;;;;96864;37;;;3760.6;;
KLO;01.01.1972 00:00;8;31.3;-13;;;-15;82;9.2;965.8;;;;;2.7;;;10.8;979.1;;;;;81342;32;;;3975.9;;
KLO;01.01.1973 00:00;8.3;30;-15.2;;;-19.1;81.8;9.7;967.7;;;;;2.8;;;10.8;865.3;;;;;85314;33;;;3878.3;;
KLO;01.01.1974 00:00;9.1;33.4;-6.2;;;-7.3;81.9;9.8;965.3;;;;;3;;;11.9;966.3;;;;;82470;31;;;3510.5;;
KLO;01.01.1975 00:00;8.9;32;-9.5;;;-12.5;81.4;9.8;967.5;;;;;2.7;;;10.8;1028.1;;;;;83238;32;;;3627.2;;
KLO;01.01.1976 00:00;8.9;32.5;-13;;;-16.4;77.7;9.2;966;;;;;2.8;;;11.2;805.8;;;;;100224;37;;;3638.7;;
KLO;01.01.1977 00:00;9.2;31.5;-8.2;;;-13;80;9.6;965.8;;;;;2.9;;;12.2;1196.9;;;;;76098;29;;;3327.9;;
KLO;01.01.1978 00:00;7.9;30;-9.5;;;-12;83.3;9.3;965.6;;;;;2;;;8.3;995.1;;;;;76944;28;;;3952.2;;
KLO;01.01.1979 00:00;8.5;31.6;-17.2;;;;79.9;9.4;965;;;;;1.9;;;7.9;1060.3;;;;;81918;30;;;3727.3;;
KLO;01.01.1980 00:00;8;30.8;-13.5;;;;80.6;9.2;966;;;;;2;;;7.9;907.3;;;;;75960;28;;;3843.4;;
KLO;01.01.1981 00:00;8.6;29.8;-17.4;8.8;37.9;-19.2;77.1;9.2;966.1;;;;;2;28.4;102.2;7.9;1105.7;121;;;;81462;33;651.7;60.9;3607.5;1807.5;726.2
KLO;01.01.1982 00:00;9.1;30.3;-14.1;9.7;39.9;-15.1;76.8;9.4;967.4;;;;;2;24.6;88.6;7.6;945.1;126;;;;84086;34;693.5;84.2;3532.1;1732.1;539.8
KLO;01.01.1983 00:00;9.3;36.1;-12;9.8;44.8;-13.8;75;9.3;968.1;;;;;2;23.7;85.3;7.9;838.2;128;;;;89339;36;709.6;157.3;3544.8;1744.8;402.5
KLO;01.01.1984 00:00;8.5;35.4;-10.2;8.7;40.8;-12.7;76.3;8.8;966.1;;;;;2.4;27.2;97.9;9;781.3;125;;;;83014;33;686.2;66.2;3689.5;1809.5;360.3
KLO;01.01.1985 00:00;8.2;34;-24.2;8.3;39.7;-28.1;75.7;8.9;966.7;;;;;2.3;27.4;98.6;8.6;760.8;131;;;;98718;39;712.2;87.7;3795.4;2051.4;288.3
KLO;01.01.1986 00:00;8.6;32.7;-16.5;8.7;37.1;-19;78.7;9.5;966.8;;;;;2.3;29.6;106.6;9;1091.8;124;;;;90247;36;667.9;115.1;3711.4;1911.4;693.1
KLO;01.01.1987 00:00;8.6;31.1;-23.7;8.5;36.5;-25.1;78.8;9.6;966.4;;;;;2.2;23;82.8;8.6;938;117;;;;80575;32;657.2;100;3729.4;1881.4;573.2
KLO;01.01.1988 00:00;9.6;32.6;-12;9.6;38;-14.8;79.6;10;966.1;;;;;2.4;28.4;102.2;9;1027.3;124;;;;89143;36;685.2;72.6;3276.5;1548.5;644.6
KLO;01.01.1989 00:00;9.5;32.7;-8.9;9.5;35.5;-11.6;78.4;9.7;967.8;;;;;2.1;25.2;90.7;8.3;732.4;128;;;;97474;39;709.2;77.6;3355.6;1571.6;286
KLO;01.01.1990 00:00;9.9;32.3;-7.7;9.9;36.9;-10.2;76.7;9.7;967.5;;;;;2.3;29.6;106.6;9;995.7;130;;;;103959;42;732.4;107.7;3119.7;1471.7;502.6
KLO;01.01.1991 00:00;9;33;-14.3;9.1;38.4;-16.4;77.3;9.4;967.4;1019;;;;2.2;24.1;86.8;8.6;751.9;127;;;;96142;38;698.8;133.3;3723.3;1835.3;277.9
KLO;01.01.1992 00:00;9.6;33.6;-12.5;9.7;39;-14;78;9.9;967.6;1019.1;;;;2.3;27.8;100.1;9;877.4;126;;;;89511;36;714.4;158.3;3392.7;1672.7;459.5
KLO;01.01.1993 00:00;9.4;32.1;-12.3;9.4;35.7;-13.9;77.8;9.7;967.8;1019.3;;;;2.3;25.7;92.5;9.4;884.9;126;;;;89275;36;704.1;92.2;3353;1633;474.1
KLO;01.01.1994 00:00;10.6;34.4;-8.5;10.7;39.7;-10.5;79.6;10.7;967;1018.2;;;;2.3;27.7;99.7;9;967.8;120;;;;82614;33;696.4;191.3;3062.3;1326.3;607.2
KLO;01.01.1995 00:00;9.3;33.3;-16.5;9.4;39.1;-18.2;78.9;9.8;966.9;1018.3;;;;2.3;34.4;123.8;9;1264.5;124;;;;89352;36;681.1;125.5;3450.1;1658.1;874.1
KLO;01.01.1996 00:00;8.2;30.3;-13.3;8.2;36.3;-15.2;77.8;9.1;965.4;1017;;;;2.2;21.1;76;7.9;896.5;128;;;;91946;37;675.6;64;3899.8;1931.8;473.8
KLO;01.01.1997 00:00;9.4;30.6;-10.5;9.3;39.1;-13.6;77.2;9.6;967.6;1019.2;;;;2.2;25.9;93.2;8.3;800.6;133;;;;100825;40;707.2;84.7;3372.8;1636.8;359
KLO;01.01.1998 00:00;9.4;34.8;-12.6;9.9;43.1;-16.3;76.1;9.5;967.3;1018.8;;;;2.3;28.2;101.5;9;907.9;129;;;;94798;38;723.8;123.1;3369.9;1657.9;468
KLO;01.01.1999 00:00;9.4;31.6;-19.4;9.2;35.5;-24.1;80.2;10.1;966.2;1017.6;;;;2.3;36.2;130.3;8.6;1295.2;121;;;;84384;34;660.4;85;3332.8;1684.8;946.9
KLO;01.01.2000 00:00;10.2;31.6;-13.7;9.9;36.1;-17.5;78.7;10.2;966.6;1017.9;;;;2.1;21.2;76.3;8.3;978.2;129;;;;96628;39;699;90.5;3127.8;1391.8;560.3
KLO;01.01.2001 00:00;9.5;32.2;-15.7;9.3;37.3;-22.3;79.2;10;966.6;1018;;;;2.3;23.2;83.5;8.6;1436.4;126;;;;92308;37;690.4;110.7;3308.1;1588.1;1032.2
KLO;01.01.2002 00:00;10.2;33.8;-10.3;10;44.5;-15.2;78;10.1;966.4;1017.7;;;;2.3;25.2;90.7;9;1154.1;127;;;;96937;39;713;101.8;3144;1376;719.8
KLO;01.01.2003 00:00;10;37.1;-12.8;10;46.9;-16;74.6;9.7;967.7;1019.2;;;;2.2;27.2;97.9;7.9;843.7;144;;;;121059;48;811.9;335.2;3421;1781;252.2
KLO;01.01.2004 00:00;9.5;31.3;-11.9;9.4;39.2;-14.1;77.1;9.7;967;1018.5;;;;2.2;28.8;103.7;7.9;1014.5;131;;;;98167;39;709.5;101.9;3300.7;1620.7;570.4
KLO;01.01.2005 00:00;9.3;33.5;-16.4;9.3;43.3;-19;77.9;9.8;967.9;1019.4;;;;2.1;26.5;95.4;7.6;1007.1;134;;;;102171;40;692.9;127.3;3507.4;1739.4;577.9
KLO;01.01.2006 00:00;9.9;35.1;-10.5;9.9;44.6;-14.3;78;10.2;967.6;1019;;;1018.6;2.2;23.7;85.3;7.9;1158.1;128;;;;97936;38;708.6;199.9;3213.7;1637.7;714.5
KLO;01.01.2007 00:00;10.3;33.5;-10.6;10.2;38.9;-14.9;76.9;10;967.5;1018.8;;;1018.5;2.4;28.8;103.7;8.6;1103.4;135;;;;107046;42;739.3;105.4;3064.5;1416.5;661.1
KLO;01.01.2008 00:00;9.8;31.5;-8.2;10;44.6;-11.8;77.1;9.9;966.4;1017.7;;;1017.4;2.2;29.8;107.3;7.9;1061.4;130;;;;99260;40;711.2;120.5;3299.3;1571.3;638.6
KLO;01.01.2009 00:00;9.8;32.8;-14.4;10.1;45.7;-16.7;77.8;10.1;965.4;1016.5;;;1016.2;2.2;30.1;108.4;7.9;946.7;141;;;;100243;40;756.5;129.7;3216.3;1648.3;513.2
KLO;01.01.2010 00:00;8.8;33.6;-15.9;9.1;42.3;-19.2;77.1;9.4;964;1014.8;;;1014.3;2.3;29.2;105.1;8.3;1089.7;134;;;;90358;36;724;133.3;3602.2;1842.2;674.7
KLO;01.01.2011 00:00;10.4;33.7;-10.7;;;;75.8;9.9;968.4;1019.2;;;1019;2.2;28.6;103;7.9;818.1;148;322;;;114781;46;798.9;115.5;2955.4;1403.4;303.4
KLO;01.01.2012 00:00;9.9;33;-20.2;9.9;39.6;-26.7;76.1;10;967.1;1018;;;1017.7;2.4;25.9;93.2;8.6;1201.1;141;322;;;103834;42;763.6;129.8;3247.8;1583.8;750.7
KLO;01.01.2013 00:00;9.4;35.7;-13.9;9.5;44.9;-18.3;77.1;9.7;966.1;1016.9;;;1016.5;2.3;22.1;79.6;8.3;1004.3;134;324;;;90666;36;735.9;168.1;3436.2;1756.2;561.6
KLO;01.01.2014 00:00;10.7;33.9;-17.5;10.9;40.9;-13.1;78.6;10.3;965.5;1016.1;;;1016;2.2;25.5;91.8;7.9;885.1;140;326;;;100167;40;744.3;73;2790.3;1230.3;457.2
KLO;01.01.2015 00:00;10.5;36.5;-10.8;10.5;;;75;9.9;969.2;1020;;;1019.8;2.5;26;93.6;9;770.7;148;323;;;114060;46;828.2;257.7;3064.2;1440.2;215.3
KLO;01.01.2016 00:00;10;32.4;-9.6;10.1;38.7;-14.6;79.2;10.2;967.5;1018.3;;;1018;2.4;25.5;91.8;8.6;1081.1;135;325;;;94922;38;729.3;154.3;3328.6;1560.6;677.6
KLO;01.01.2017 00:00;10.2;34;-14.9;10.3;40.7;-19.3;76.9;10.1;968.4;1019.3;;;1019;2.5;28.9;104;9;868.8;147;324;;;104700;42;806.4;215.8;3267;1531;391.9
KLO;01.01.2018 00:00;11.2;35.7;-13.4;11.3;45.1;-14.9;75.8;10.4;966.1;1016.6;;;1016.5;2.6;25;90;9.4;853.8;149;328;;;111542;45;863.6;251.9;2896.8;1368.8;300.3
KLO;01.01.2019 00:00;10.5;34.9;-7.9;10.2;40.6;-12.4;77.1;10.2;966.5;1017.2;;;1017;2.5;24;86.4;9;1072.5;147;322;;;109942;44;794.5;194.7;3061.4;1397.4;584.4
KLO;01.01.2020 00:00;10.8;35.4;-6.3;10.7;41.3;-9.9;75.7;10.1;967.7;1018.3;;;1018.2;2.5;30.6;110.2;9;837.8;150;323;;;116675;47;826.7;165.2;2934.4;1326.4;284
KLO;01.01.2021 00:00;9.6;31.3;-14.8;9.7;38.4;-15.7;78.4;10;967.5;1018.4;;;1018.1;2.5;27.8;100.1;9;1081.2;143;321;;;100141;40;743.5;98.2;3401.8;1593.8;659.9
