station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
KOP;01.01.1961 00:00;9.2;31;-10.5;;;;78.7;9.7;961.4;;;;;3.1;;;11.2;912.8;;;;;104952;38;;;3467.2;;
KOP;01.01.1962 00:00;7.3;32.7;-15;;;;77.8;8.7;960.7;;;;;3.5;;;12.6;765.4;;;;;107736;39;;;4184.5;;
KOP;01.01.1963 00:00;7;30;-28.9;;;;81.9;9.5;959.2;;;;;3.1;;;11.2;935.7;;;;;91032;34;;;4271.1;;
KOP;01.01.1964 00:00;8.3;32.2;-18;;;;80;9.4;961.7;;;;;3.1;;;11.2;811.1;;;;;95868;33;;;3733.8;;
KOP;01.01.1965 00:00;7.5;31.7;-18.6;;;;80.2;9;959.1;;;;;3.5;;;12.6;1330.9;;;;;80448;29;;;4113.3;;
KOP;01.01.1966 00:00;8.6;32.5;-21.4;;;;80.7;9.8;958.9;;;;;3.5;;;12.6;1156.1;;;;;92880;34;;;3526.9;;
KOP;01.01.1967 00:00;8.5;31.3;-18;;;;78.2;9.4;961.6;;;;;3.1;;;11.2;887.6;;;;;106074;39;;;3801.3;;
KOP;01.01.1968 00:00;8.1;31;-24.5;;;;81.6;9.6;960;;;;;3.1;;;11.2;1217.8;;;;;90786;33;;;3680.2;;
KOP;01.01.1969 00:00;7.7;31;-17.4;;;;82.5;9.6;959.5;;;;;3.1;;;11.2;909.1;;;;;92502;34;;;4057.2;;
KOP;01.01.1970 00:00;7.8;32.1;-17.8;;;;84.2;9.8;960.4;;;;;3.1;;;11.2;1137.8;;;;;87318;32;;;4015.6;;
KOP;01.01.1971 00:00;7.9;31.5;-23;;;;82.7;9.4;961;;;;;2.3;;;8.3;761;;;;;105186;39;;;3907.9;;
KOP;01.01.1972 00:00;7.7;29.6;-10;;;;82.1;8.8;960.5;;;;;2.3;;;8.3;978.3;;;;;86382;32;;;4075.8;;
KOP;01.01.1973 00:00;7.9;31;-16.2;;;;80;9;962.5;;;;;2.3;;;8.3;915.9;;;;;90936;33;;;3976.2;;
KOP;01.01.1974 00:00;8.8;34.2;-6;;;;80.5;9.3;960.7;;;;;2.5;;;9;1060;;;;;86538;31;;;3672.4;;
KOP;01.01.1975 00:00;8.6;31.5;-12.3;;;;79.2;9.2;962.3;;;;;2.4;;;8.6;983.3;;;;;84702;31;;;3738.3;;
KOP;01.01.1976 00:00;8.4;32.4;-17;;;;76.3;8.6;961;;;;;2.6;;;9.4;802.5;;;;;107502;38;;;3769.5;;
KOP;01.01.1977 00:00;8.7;29.5;-17.2;;;;79.9;9.3;961;;;;;2.4;;;8.6;1319.9;;;;;77046;28;;;3474.3;;
KOP;01.01.1978 00:00;8;30.4;-12.5;;;;81.1;9.2;960.5;;;;;2.5;;;9;1113.7;;;;;80172;29;;;3906.4;;
KOP;01.01.1979 00:00;8.6;32.3;-22;;;;79.5;9.3;960.4;;;;;2.4;;;9;1255;;;;;83766;30;;;3700;;
KOP;01.01.1980 00:00;7.9;31.9;-21.1;;;;83.3;9.4;961.3;;;;;2.2;;;8.6;1202.7;;;;;77070;;;;3914.8;;
KOP;01.01.1981 00:00;8.5;30.7;-18.2;;;;82.8;9.8;961.8;;;;;2.1;;;9;1282.5;;;;;81930;;;64.7;3638.1;1886.1;
KOP;01.01.1982 00:00;9.2;31.8;-14;;;;84.2;10.5;962.7;;;;;1.9;;;8.6;1239.1;;;;;83244;;;86.9;3495.3;1719.3;
KOP;01.01.1983 00:00;9;35.3;-13.3;;;;83.9;10.4;963.4;;;;;1.8;;;8.3;1014.2;;;;;83616;;;149.3;3643.8;1827.8;
KOP;01.01.1984 00:00;8.1;33.6;-13.5;;;;84.3;9.6;961.5;;;;;2.2;;;9.4;1106.6;;;;;84102;;;45.5;3882.6;1938.6;
KOP;01.01.1985 00:00;8;33.1;-26.2;;;;81.5;9.4;961.9;;;;;2.5;;;9.7;895.1;;;;;93228;;;72.3;3886.2;2118.2;
KOP;01.01.1986 00:00;8.3;33.1;-20;;;;83.9;9.9;961.4;;;;;2.5;;;9.7;1192.5;;;;;86592;;;108.7;3778.1;2018.1;
KOP;01.01.1987 00:00;8.5;31.8;-25.1;;;;84.8;10;960.2;;;;;2.4;;;9.4;1251.9;;;;;76380;;;96.5;3828.7;1932.7;
KOP;01.01.1988 00:00;9.4;32.7;-12;;;;83.2;10.1;960;;;;;3.1;;;11.2;1213.6;;;;;87840;;;71.8;3352.2;1624.2;
KOP;01.01.1989 00:00;9.2;32.5;-8.1;;;;82.2;9.8;961.6;;;;;2.9;;;10.4;837.7;;;;;101844;;;72.4;3452.2;1676.2;
KOP;01.01.1990 00:00;9.5;33.2;-13.3;;;;80.7;9.7;961.5;;;;;3;;;10.8;1212.1;;;;;104574;;;89.5;3293.3;1597.3;
KOP;01.01.1991 00:00;8.6;32.7;-18.8;;;;78.5;9.2;961.4;;;;;2.7;;;10.4;886.2;;;;;98946;;;116.9;3838.2;1942.2;
KOP;01.01.1992 00:00;9.3;33.1;-14.2;;;;77.7;9.5;961.3;;;;;2.7;;;10.4;1050.4;;;;;87180;;;138.5;3483.6;1747.6;
KOP;01.01.1993 00:00;8.9;32.6;-15.1;;;;77.9;9.3;961;;;;;2.5;;;10.1;1017.3;;;;;87600;;;87.5;3513.2;1753.2;
KOP;01.01.1994 00:00;10.4;34;-9.1;;;;77.9;10;960.5;;;;;2.3;;;9.4;1105.6;;;;;83520;;;176.2;3179.5;1387.5;
KOP;01.01.1995 00:00;9.2;34.3;-17.5;;;;82.2;9.9;960.4;;;;;2.3;;;9.4;1296;;;;;95622;;;120.1;3480.7;1680.7;
KOP;01.01.1996 00:00;8.3;31.6;-11;;;;80.1;9;958.8;;;;;2.2;;;9.4;992.7;;;;;;;;58.9;3833.7;1889.7;
KOP;01.01.1997 00:00;9.3;31;-9.7;;;;78.2;9.5;961.2;;;;;2;;;9.7;892;;;;;;;;80.2;3401.5;1649.5;
KOP;01.01.1998 00:00;9.2;35;-15.4;;;;76.3;9;961.1;;;;;2.3;27.3;98.3;10.4;995.5;;;;;;;;120.2;3527.6;1735.6;
KOP;01.01.1999 00:00;9.1;31.5;-13.7;;;;82;10.1;960;;;;;2.8;31.9;114.8;9.7;1331.1;;;;;;;;86.4;3428.6;1772.6;
KOP;01.01.2000 00:00;10;31.6;-14.1;;;;80.9;10.2;960.4;;;;;2.1;19;68.4;8.6;1023.1;;;;;;;;86.8;3120.1;1456.1;
KOP;01.01.2001 00:00;9.5;31.5;-16.4;;;;81.3;10.1;960.2;;;;;2.3;21.6;77.8;10.4;1380;;;;;;;;99.6;3313.2;1617.2;
KOP;01.01.2002 00:00;9.8;33.9;-10.7;;;;83.3;10.6;960.1;;;;;2.3;23.7;85.3;10.4;1332;;;;;;;;86.2;3208.1;1448.1;
KOP;01.01.2003 00:00;9.9;36.6;-18.5;;;;77.2;10.1;961.1;;;;;2.3;24.7;88.9;8.3;728.5;;;;;;;;292.1;3478.7;1790.7;
KOP;01.01.2004 00:00;9.3;31.2;-15;;;;78.1;9.6;960.4;;;;;2.2;21.6;77.8;8.3;1018.2;;;;;;;;84.9;3414.9;1686.9;
