station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LAE;01.01.1990 00:00;7.8;27.9;-9.4;;;;77.5;8.5;920.5;;1519.9;;;4.2;70;252;15.1;;135;;;;110728;43;744.5;43.1;3993.3;1937.3;
LAE;01.01.1991 00:00;6.8;29.2;-15.5;;;;78.4;8.3;920;;1513.4;;;4.2;35;126;14.8;;130;;;;103064;40;701.1;52.3;4452.7;2372.7;
LAE;01.01.1992 00:00;7.6;29.5;-12.5;;;;79.6;8.8;919.9;;1512.8;;;4.5;34.8;125.3;15.8;;127;;;;97527;38;700.4;86.8;4112.4;2112.4;
LAE;01.01.1993 00:00;7;27.5;-14.5;;;;79.7;8.5;919.5;;1490.6;;;4.3;37.9;136.4;15.1;;128;;;;94193;37;681.7;41.5;4302.4;2214.4;
LAE;01.01.1994 00:00;8.4;29.9;-10.5;;;;82;9.5;918.9;;1499.4;;;4.3;32;115.2;14.8;;121;;;;87740;34;668.9;106.3;3815;1863;
LAE;01.01.1995 00:00;7.4;29.3;-11.9;;;;80.6;8.8;918.6;;1485.6;;;4.3;36.1;130;15.1;;127;;;;95336;37;661.1;59.9;4214.6;2134.6;
LAE;01.01.1996 00:00;6.2;26.1;-16.8;;;;79.9;8;917;;1461.7;;;3.9;26.6;95.8;14;;129;;;;100311;39;652.6;26.1;4658.6;2450.6;
LAE;01.01.1997 00:00;7.8;25.8;-14.1;;;;77.6;8.7;920.5;;1495.2;;;4.2;35.4;127.4;14.8;;137;;;;110868;44;710.5;40.2;4020.1;2004.1;
LAE;01.01.1998 00:00;7.6;30.6;-11.4;;;;76.5;8.4;920.1;;1491.9;;;4.2;36;129.6;14.4;;131;;;;103474;41;735.5;86.2;4123.9;2091.9;
LAE;01.01.1999 00:00;7.5;27.6;-12.1;;;;81.2;9;918.9;;1480.7;;;4.3;45.9;165.2;14.8;;124;;;;92183;36;659.6;40.2;4031.5;2087.5;
LAE;01.01.2000 00:00;8.4;28.3;-13.5;;;;77.9;8.9;919.2;;1485.7;;;4.1;32.5;117;14;;133;;;;107029;42;733.7;64.9;3817.7;1833.7;
LAE;01.01.2001 00:00;7.5;27.8;-16.6;;;;80.7;8.8;918.9;;1481;;;4.4;36;129.6;15.1;;127;;;;98323;39;678;64.7;4121.5;2121.5;
LAE;01.01.2002 00:00;8.2;29.6;-11.2;;;;79.3;9;918.7;;1480.8;;;4.4;34.9;125.6;15.5;;131;;;;100285;39;704.9;62.7;3876.8;1836.8;
LAE;01.01.2003 00:00;8.6;33.4;-12.8;;;;72.3;8.5;919.9;;1492.4;;;4.1;32;115.2;13.3;;147;;;;129090;51;859.3;241.8;3991;2103;
LAE;01.01.2004 00:00;7.4;26.7;-10.3;;;;77.9;8.5;919;;1481.9;;;4.1;34.5;124.2;14.8;;133;;;;101577;40;711.9;51.7;4118.1;2134.1;
LAE;01.01.2005 00:00;7.4;29.4;-14.1;;;;78.4;8.7;919.8;;1488.9;;1017.4;4;31.4;113;14.4;;135;;;;109977;42;702.7;86.6;4110.1;2182.1;
LAE;01.01.2006 00:00;8.1;30.4;-12.5;;;;78;9;919.6;;1488.5;;1017.2;4.2;37.6;135.4;15.1;;131;;;;107321;41;721.9;108.5;3884.3;2012.3;
LAE;01.01.2007 00:00;8.3;29.1;-9.4;;;;78.7;8.9;919.5;;1488.1;;1017.1;4.4;35.3;127.1;15.8;;135;;;;111663;42;718.9;41.2;3826.9;1858.9;
LAE;01.01.2008 00:00;7.7;26.9;-8.2;;;;80.3;8.9;918.4;;1477;;1015.9;4.3;36.9;132.8;15.5;;132;;;;102673;41;687.5;43.1;4058.3;2042.3;
LAE;01.01.2009 00:00;8;28.5;-16.6;;;;80;9.2;917.5;;1469.8;;1014.9;4.1;35.6;128.2;14.8;;136;;;;105767;42;722.1;67;3817.9;2009.9;
LAE;01.01.2010 00:00;6.7;29.5;-11.3;;;;82.1;8.7;915.8;;1453.3;;1013.2;4;28.7;103.3;14.4;;127;;;;93491;37;653.8;79;4463;2375;
LAE;01.01.2011 00:00;8.7;30;-10.1;;;;78.3;9.1;920.9;;1503.7;;1018.9;4.4;32.5;117;15.8;;152;;;;124703;50;786;66.1;3551.1;1759.1;
LAE;01.01.2012 00:00;7.6;29.5;-17.7;;;;81.4;9;919.6;;1489.5;;1017.5;4.6;28.7;103.3;16.6;;142;;;;108484;43;720.9;67.3;4086.5;2110.5;
