station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LAG;01.01.1901 00:00;6.3;;;;;;;;;;;;;;;;;1297.6;;;;;;;;;;;
LAG;01.01.1902 00:00;6.8;;;;;;;;;;;;;;;;;1350;;;;;;;;;;;
LAG;01.01.1903 00:00;7;;;;;;;;;;;;;;;;;1348.3;;;;;;;;;;;
LAG;01.01.1904 00:00;7.7;;;;;;;;;;;;;;;;;1071.6;;;;;;;;;;;
LAG;01.01.1905 00:00;6.7;;;;;;;;;;;;;;;;;1438.8;;;;;;;;;;;
LAG;01.01.1906 00:00;7.2;;;;;;;;;;;;;;;;;1083.5;;;;;;;;;;;
LAG;01.01.1907 00:00;6.9;;;;;;;;;;;;;;;;;1164.3;;;;;;;;;;;
LAG;01.01.1908 00:00;6.8;;;;;;;;;;;;;;;;;1015.4;;;;;;;;;;;
LAG;01.01.1909 00:00;6.3;;;;;;;;;;;;;;;;;1119.6;;;;;;;;;;;
LAG;01.01.1910 00:00;7;;;;;;;;;;;;;;;;;1698.4;;;;;;;;;;;
LAG;01.01.1911 00:00;7.9;;;;;;;;;;;;;;;;;921.7;;;;;;;;;;;
LAG;01.01.1912 00:00;6.9;;;;;;;;;;;;;;;;;1404.3;;;;;;;;;;;
LAG;01.01.1913 00:00;7.5;;;;;;;;;;;;;;;;;1235.4;;;;;;;;;;;
LAG;01.01.1914 00:00;7;;;;;;;;;;;;;;;;;1438.3;;;;;;;;;;;
LAG;01.01.1915 00:00;6.9;;;;;;;;;;;;;;;;;1468.3;;;;;;;;;;;
LAG;01.01.1916 00:00;7.3;;;;;;;;;;;;;;;;;1460.4;;;;;;;;;;;
LAG;01.01.1917 00:00;6.4;;;;;;;;;;;;;;;;;1196.5;;;;;;;;;;;
LAG;01.01.1918 00:00;7.4;;;;;;;;;;;;;;;;;1172.4;;;;;;;;;;;
LAG;01.01.1919 00:00;6.9;;;;;;;;;;;;;;;;;1295.5;;;;;;;;;;;
LAG;01.01.1920 00:00;8.2;;;;;;;;;;;;;;;;;983.9;;;;;;;;;;;
LAG;01.01.1921 00:00;8.2;;;;;;;;;;;;;;;;;905.3;;;;;;;;;;;
LAG;01.01.1922 00:00;6.8;;;;;;;;;;;;;;;;;1624.1;;;;;;;;;;;
LAG;01.01.1923 00:00;7.6;;;;;;;;;;;;;;;;;1289.5;;;;;;;;;;;
LAG;01.01.1924 00:00;7;;;;;;;;;;;;;;;;;1054.2;;;;;;;;;;;
LAG;01.01.1925 00:00;7.2;;;;;;;;;;;;;;;;;1088.3;;;;;;;;;;;
LAG;01.01.1926 00:00;7.8;;;;;;;;;;;;;;;;;1223.8;;;;;;;;;;;
LAG;01.01.1927 00:00;7.5;;;;;;;;;;;;;;;;;1545.7;;;;;;;;;;;
LAG;01.01.1928 00:00;8.2;;;;;;;;;;;;;;;;;1272.7;;;;;;;;;;;
LAG;01.01.1929 00:00;7.1;;;;;;;;;;;;;;;;;1102.8;;;;;;;;;;;
LAG;01.01.1930 00:00;8.1;;;;;;;;;;;;;;;;;1608.1;;;;;;;;;;;
LAG;01.01.1931 00:00;6.9;;;;;;80.8;8.9;;;;;;2.7;;;9.7;1447.3;;;;;;;;;4371.9;;
LAG;01.01.1932 00:00;7.3;;;;;;81.5;9.3;;;;;;2.4;;;8.6;1248.6;;;;;;;;;4174.7;;
LAG;01.01.1933 00:00;6.9;;;;;;81.2;9;;;;;;2.4;;;8.6;1180.4;;;;;;;;;4282.6;;
LAG;01.01.1934 00:00;8;;;;;;81.3;9.4;;;;;;1.7;;;6.1;1050.7;;;;;;;;;3772;;
LAG;01.01.1935 00:00;7.3;;;;;;80.5;9.1;;;;;;2.4;;;8.6;1503.4;;;;;;;;;4158.7;;
LAG;01.01.1936 00:00;7.8;;;;;;80.8;9.2;;;;;;2.4;;;8.6;1461.9;;;;;;;;;3940.4;;
LAG;01.01.1937 00:00;7.9;;;;;;79;9.2;;;;;;2.4;;;8.6;1350.4;;;;;;;;;3978.5;;
LAG;01.01.1938 00:00;7.5;;;;;;78.9;8.9;;;;;;2.4;;;8.6;1320.4;;;;;;;;;4120.8;;
LAG;01.01.1939 00:00;7.2;;;;;;81.5;9.1;;;;;;2.4;;;8.6;1549.2;;;;;;;;;4229.3;;
LAG;01.01.1940 00:00;6.6;;;;;;79.7;8.7;;;;;;2.4;;;8.6;1441.2;;;;;;;;;4332;;
LAG;01.01.1941 00:00;6.8;;;;;;79.8;8.6;;;;;;2.4;;;8.6;1089.8;;;;;;;;;4405;;
LAG;01.01.1942 00:00;7.2;;;;;;79.4;9.1;;;;;;2.7;;;9.7;1056.5;;;;;;;;;4184.3;;
LAG;01.01.1943 00:00;8.3;;;;;;79.6;9.4;;;;;;2.7;;;9.7;1039.2;;;;;;;;;3721.3;;
LAG;01.01.1944 00:00;7.3;;;;;;80;9.1;;;;;;2.7;;;9.7;1387;;;;;;;;;4241.9;;
LAG;01.01.1945 00:00;7.9;;;;;;79.6;9.3;;;;;;2.4;;;8.6;1233.3;;;;;;;;;3906;;
