station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LAT;01.01.1973 00:00;;;;;;;;;;;;;;;;;;1016.5;;;;;;;;;;;
LAT;01.01.1974 00:00;;;;;;;;;;;;;;;;;;964.7;;;;;;;;;;;
LAT;01.01.1975 00:00;;;;;;;;;;;;;;;;;;960.1;;;;;;;;;;;
LAT;01.01.1976 00:00;;;;;;;;;;;;;;;;;;1022.9;;;;;;;;;;;
LAT;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1014.5;;;;;;;;;;;
LAT;01.01.1978 00:00;;;;;;;;;;;;;;;;;;876.9;;;;;;;;;;;
LAT;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1207.7;;;;;;;;;;;
LAT;01.01.1980 00:00;;;;;;;;;;;;;;;;;;885;;;;;;;;;;;
LAT;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1198;;;;;;;;;;;
LAT;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1054.8;;;;;;;;;;;
LAT;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1039;;;;;;;;;;;
LAT;01.01.1984 00:00;;;;;;;;;;;;;;;;;;884.5;;;;;;;;;;;
LAT;01.01.1985 00:00;;;;;;;;;;;;;;;;;;923.6;;;;;;;;;;;
LAT;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1006.1;;;;;;;;;;;
LAT;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1040.3;;;;;;;;;;;
LAT;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1061.1;;;;;;;;;;;
LAT;01.01.1989 00:00;;;;;;;;;;;;;;;;;;789.6;;;;;;;;;;;
LAT;01.01.1990 00:00;;;;;;;;;;;;;;;;;;964.2;;;;;;;;;;;
LAT;01.01.1991 00:00;;;;;;;;;;;;;;;;;;906.5;;;;;;;;;;;
LAT;01.01.1992 00:00;;;;;;;;;;;;;;;;;;799.2;;;;;;;;;;;
LAT;01.01.1993 00:00;;;;;;;;;;;;;;;;;;940.7;;;;;;;;;;;
LAT;01.01.1994 00:00;;;;;;;;;;;;;;;;;;961.9;;;;;;;;;;;
LAT;01.01.1995 00:00;;;;;;;;;;;;;;;;;;883.4;;;;;;;;;;;
LAT;01.01.1996 00:00;;;;;;;;;;;;;;;;;;978.5;;;;;;;;;;;
LAT;01.01.1997 00:00;;;;;;;;;;;;;;;;;;837.8;;;;;;;;;;;
LAT;01.01.1998 00:00;;;;;;;;;;;;;;;;;;927.3;;;;;;;;;;;
LAT;01.01.1999 00:00;;;;;;;;;;;;;;;;;;1315.4;;;;;;;;;;;
LAT;01.01.2000 00:00;;;;;;;;;;;;;;;;;;1119.2;;;;;;;;;;;
LAT;01.01.2001 00:00;;;;;;;;;;;;;;;;;;1146.3;;;;;;;;;;;
LAT;01.01.2002 00:00;;;;;;;;;;;;;;;;;;1177.5;;;;;;;;;;;
LAT;01.01.2003 00:00;;;;;;;;;;;;;;;;;;739.1;;;;;;;;;;;
LAT;01.01.2004 00:00;;;;;;;;;;;;;;;;;;828.6;;;;;;;;;;;
LAT;01.01.2005 00:00;;;;;;;;;;;;;;;;;;762.9;;;;;;;;;;;
LAT;01.01.2006 00:00;;;;;;;;;;;;;;;;;;806;;;;;;;;;;;
LAT;01.01.2007 00:00;;;;;;;;;;;;;;;;;;952.4;;;;;;;;;;;
LAT;01.01.2008 00:00;;;;;;;;;;;;;;;;;;1192.6;;;;;;;;;;;
LAT;01.01.2009 00:00;;;;;;;;;;;;;;;;;;922.2;;;;;;;;;;;
LAT;01.01.2010 00:00;;;;;;;;;;;;;;;;;;1014.6;;;;;;;;;;;
LAT;01.01.2011 00:00;;;;;;;;;;;;;;;;;;921.8;;;;;;;;;;;
LAT;01.01.2012 00:00;;;;;;;;;;;;;;;;;;1194.8;;;;;;;;;;;
LAT;01.01.2013 00:00;;;;;;;;;;;;;;;;;;918.4;;;;;;;;;;;
LAT;01.01.2014 00:00;;;;;;;;;;;;;;;;;;1091.8;;;;;;;;;;;
LAT;01.01.2015 00:00;;;;;;;;;;;;;;;;;;787.9;;;;;;;;;;;
LAT;01.01.2016 00:00;5.6;28.9;-17.4;;;;74.4;7.2;;;;;;1.1;18.1;65.2;4;911.7;;;;;;;;5.6;4887.7;2583.7;
LAT;01.01.2017 00:00;5.5;28.8;-17.5;;;;73;7;;;;;;1.1;19.3;69.5;4;868.5;;;;;;;;21.9;4958.5;2718.5;
LAT;01.01.2018 00:00;6.3;28.3;-21.8;;;;73.9;7.5;;;;;;1.3;20.4;73.4;4.7;913.2;;;;;;;;6.5;4414.3;2406.3;
LAT;01.01.2019 00:00;5.8;31.4;-15.9;;;;74.3;7.3;;;;;;1.2;19.3;69.5;4.3;1057.4;;;;;;;;31.8;4746.5;2578.5;
LAT;01.01.2020 00:00;6.2;29.2;-12.8;;;;72.2;7.2;;;;;;1.1;19.2;69.1;4;875.1;;;;;;;;2.5;4640.2;2400.2;
LAT;01.01.2021 00:00;4.9;27.9;-16.6;;;;73.6;6.8;;;;;;1;16.3;58.7;3.6;816.1;;;;;;;;6;5079.4;2799.4;
LAT;01.01.2022 00:00;6.6;29.8;-15.1;;;;70.3;7.3;;;;;;1.1;19.5;70.2;4;667.8;152;;;;96389;58;;20.1;4405.9;2373.9;157.8
LAT;01.01.2023 00:00;6.3;30.3;-14.8;;;;74.7;7.6;;;;;;1;22.1;79.6;3.6;984.7;141;;;;80011;48;;32.1;4534.6;2438.6;569.7
LAT;01.01.2024 00:00;6.7;30.3;-16.4;;;;75.2;7.7;;;;;;1.1;18.3;65.9;4;933.9;134;;;;73553;44;;18.8;4511.2;2327.2;581.8
