station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LEI;01.01.1985 00:00;;;;;;;;;;;;;;1.9;21.9;78.8;;;;;;;;;;;;;
LEI;01.01.1986 00:00;;;;;;;;;;;;;;1.9;26.4;95;6.8;;;;;;;;;;;;
LEI;01.01.1987 00:00;;;;;;;;;;;;;;1.8;21.7;78.1;6.5;;;;;;;;;;;;
LEI;01.01.1988 00:00;;;;;;;;;;;;;;1.8;;;6.5;;;;;;;;;;;;
LEI;01.01.1989 00:00;10.2;;;;;;;;;;;;;1.7;26.2;94.3;6.1;746;;;;;;;;;;1438.1;
LEI;01.01.1990 00:00;10;;;;;;;;;;;;;1.8;27;97.2;6.5;1076.5;;;;;;;;;;1449.4;
LEI;01.01.1991 00:00;9.3;33.9;-13.7;;;;;;;;;;;1.8;22.9;82.4;6.5;893.5;;;;;;;;;;1768.2;
LEI;01.01.1992 00:00;10.1;;;;;;;;;;;;;1.9;25.6;92.2;6.8;1053.1;;;;;;;;;;1553.1;
LEI;01.01.1993 00:00;10;34.3;-11.3;;;;;;;;;;;1.9;29.8;107.3;6.8;894.4;;;;;;;;;;1458.5;
LEI;01.01.1994 00:00;11.1;;;;;;;;;;;;;1.8;25;90;6.5;1100;;;;;;;;;;1224.2;
LEI;01.01.1995 00:00;9.7;33.6;-13.3;;;;;;;;;;;1.8;29.6;106.6;6.5;1347;;;;;;;;;;1540.7;
LEI;01.01.1996 00:00;8.7;31.2;-12.7;;;;;;;;;;;1.9;20;72;6.8;814.2;;;;;;;;;;1802.5;
LEI;01.01.1997 00:00;9.8;30.6;-9;;;;;;;;;;;1.9;27.4;98.6;6.8;921.7;;;;;;;;;;1532;
LEI;01.01.1998 00:00;9.7;35.6;-9.5;;;;;;;;;;;1.9;28.3;101.9;6.8;973.7;;;;;;;;;;1580.7;
LEI;01.01.1999 00:00;9.8;32.5;-12.8;;;;;;;;;;;1.8;37.4;134.6;6.5;1323.8;;;;;;;;;;1600.4;
LEI;01.01.2000 00:00;10.5;34.7;-11.6;;;;;;;;;;;1.7;17.1;61.6;6.1;1011.7;;;;;;;;;;1312.8;
LEI;01.01.2001 00:00;9.9;31.8;-13.2;;;;;;;;;;;1.8;23.3;83.9;6.5;1407.4;;;;;;;;;;1505.8;
LEI;01.01.2002 00:00;10.6;34.8;-9.2;;;;;;;;;;;1.9;24.8;89.3;6.8;1289.3;;;;;;;;;;1283.5;
LEI;01.01.2003 00:00;10.5;;;;;;;;;;;;;1.8;26.4;95;6.5;;;;;;;;;;;;
LEI;01.01.2004 00:00;9.8;32.2;-8.5;;;;;;;;;;;1.8;28.3;101.9;6.5;1025.3;;;;;;;;;;1544.2;
LEI;01.01.2005 00:00;9.7;34.4;-13.2;;;;;;;;;;;1.7;25.5;91.8;6.1;797.6;;;;;;;;;;1639.8;
LEI;01.01.2006 00:00;10.1;34.6;-9.6;;;;;;;;;;;1.7;25;90;6.1;1167.8;;;;;;;;;;1583.5;
LEI;01.01.2007 00:00;10.5;;;;;;;;;;;;;2;23.7;85.3;7.2;1040.3;;;;;;;;;;1318;
LEI;01.01.2008 00:00;;33;-6.4;;;;;;;;;;;1.8;31.5;113.4;6.5;1024.8;;;;;;;;;;;
LEI;01.01.2009 00:00;10.1;33.7;-13.7;10.9;43.9;-17.3;82.1;10.9;975.5;1016.4;;;1016.1;1.7;28.3;101.9;6.1;911.9;139;;;;95132;40;708.8;138.6;3097.5;1569.5;593.7
LEI;01.01.2010 00:00;9.1;34.5;-12.2;;;;82.4;10.3;973.9;1014.8;;;1014.5;1.7;23.6;85;6.1;926.8;133;;;;88344;37;672.3;147.7;3518.9;1790.9;
LEI;01.01.2011 00:00;10.7;35.3;-6.8;11.1;45.2;-10.1;80;10.7;978.4;;;;;1.7;32.9;118.4;6.1;701.4;149;;;;111296;47;768.2;133.3;2869.9;1349.9;295.2
LEI;01.01.2012 00:00;9.9;33.8;-17.3;10.3;43.7;-20.2;83.3;11;977.1;1018;;;1017.7;1.7;24.5;88.2;6.1;1107.5;142;;;;103032;43;699.9;125.8;3216.8;1544.8;791.4
LEI;01.01.2013 00:00;9.6;36.3;-11.3;10.1;46.8;-15.3;83.5;10.6;976;1017;;;1016.6;1.8;21.1;76;6.5;1078.5;135;;;;88528;37;680.9;185.5;3404.8;1692.8;755.6
LEI;01.01.2014 00:00;10.9;34.6;-12.2;11.5;44.8;-17;83.4;11.2;975.4;1016.1;;;1016;1.7;26.2;94.3;6.1;971.5;140;;;;96236;40;703.2;80.7;2726.2;1174.2;648.2
