station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MAH;01.01.1993 00:00;;31.9;-15.1;;;;;;;;;;;;;;;;;;;;;;;;;;
MAH;01.01.1994 00:00;;41.3;-4.4;;;;;;;;;;;;28.8;103.7;;;;;;;;;;;;;
MAH;01.01.1995 00:00;;34.6;-15.2;;;;;;;;;;;;29.7;106.9;;;155;;;;;;;;;;
MAH;01.01.1996 00:00;8.5;35.3;-20.3;;;;75.6;8.7;966.2;;;;;2.5;23.3;83.9;9;;130;;;;;51;726;43.4;3762.1;1794.1;
MAH;01.01.1997 00:00;;30.1;-11.3;;;;;;;;;;;2.4;27.5;99;8.6;;120;;;;;;;;;;
MAH;01.01.1998 00:00;10;37.1;-12.9;;;;69.2;;968.5;;;;;2.7;27.1;97.6;9.7;;128;;;;;;;153.3;3223.4;1503.4;
MAH;01.01.1999 00:00;9.4;31.3;-8.6;;;;;;967.3;;;;;2.6;31.3;112.7;9.4;;146;;;;;;;59.9;3319.5;1647.5;
MAH;01.01.2000 00:00;9.9;30.5;-13.3;;;;73.9;;967.7;;;;;2.2;22.3;80.3;7.9;;157;;;;;;;;;;
MAH;01.01.2001 00:00;9.9;35.2;-13.1;;;;;;967.5;;;;;2.6;25.2;90.7;9.4;;154;;;;;;;;;;
MAH;01.01.2002 00:00;10.2;33.3;-12.8;;;;77.9;;967;;;;;2.4;25.3;91.1;8.6;;143;;;;;;;88.7;3112.3;1360.3;
MAH;01.01.2003 00:00;10.3;36.8;-12.5;;;;72.7;;968.2;;;;;2.3;27.8;100.1;8.3;;137;;;;;;;290.6;3299.3;1651.3;
MAH;01.01.2004 00:00;9.1;32.1;-19;;;;;8.9;967.5;1019.6;;;;2.5;27.8;198.4;9;;;;;;;;;;;;
MAH;01.01.2005 00:00;9.5;35;-15.1;;;;74.9;9.7;968.5;1020.5;;;;2.3;29.6;106.6;8.3;612.5;127;;;;113526;46;713.3;141.1;3439.7;1695.7;
MAH;01.01.2006 00:00;10;34;-10.4;;;;78;10.3;968.2;1020.2;;;1019.8;2.3;25;90;8.3;734.2;121;;;;;;691.5;168;3145.1;1577.1;
MAH;01.01.2007 00:00;10.1;31.3;-8.5;;;;77.3;10;968.3;1020.2;;;1019.9;2.7;32.3;116.3;9.7;;125;;;;;;;;;;
MAH;01.01.2008 00:00;9.6;31.5;-10.7;;;;77.7;9.8;967.2;1019.1;;;1018.8;2.4;25.8;92.9;8.6;;120;;;;;;;93.8;3292.3;1572.3;
MAH;01.01.2009 00:00;9.9;34.9;-19.1;;;;76.2;9.8;966;1017.9;;;1017.6;2.2;31.3;112.7;7.9;;129;;;;109345;44;;125.8;3190.8;1598.8;
MAH;01.01.2010 00:00;9;33.6;-18;;;;75.3;9.3;964.3;1016.2;;;1015.8;2.4;23.7;85.3;8.6;;123;;;;102756;41;710.7;137.2;3570.2;1794.2;
MAH;01.01.2011 00:00;;32.9;-12.3;;;;;;968.9;;;;1020.5;2.1;29.6;106.6;7.6;622.3;133;;;;124183;50;;;;;
MAH;01.01.2012 00:00;10;34;-15.5;;;;75.7;9.9;967.6;1019.5;;;1019.2;2.5;29.7;106.9;9;;127;;;;;;;;;;
MAH;01.01.2013 00:00;9.4;34.1;-18;;;;79.6;10;966;1018;;;1017.6;2.4;23.5;84.6;8.6;;127;;;;96959;39;681.6;147.1;3423.2;1703.2;
MAH;01.01.2014 00:00;10.6;31.5;-7.5;;;;82.9;10.8;964.7;1016.4;;;1016.2;2.4;30.3;109.1;8.6;942.4;;;;;102294;42;;;;;
MAH;01.01.2015 00:00;10.6;37.1;-9.6;;;;77.8;10.2;968.4;1020.3;;;1020.1;2.8;24.8;89.3;10.1;687.7;162;;;;116102;48;858.6;231.6;3010.1;1378.1;
MAH;01.01.2016 00:00;;32.6;-7.8;;;;;;966.7;;;;1018.2;2.7;23.2;83.5;9.7;858.3;149;;;;99067;41;;;;;
MAH;01.01.2017 00:00;10.3;34.1;-11.1;;;;79;10.4;967.7;1019.6;;;1019.3;2.9;25.6;92.2;10.4;667.7;153;;;;115166;47;817.7;208.2;3295.3;1503.3;221.8
MAH;01.01.2018 00:00;11.2;33.9;-10.7;;;;79.2;10.9;965.2;1016.7;;;1016.7;2.9;32.7;117.7;10.4;764.2;152;;;;112362;46;842.6;198.8;2817;1297;266.6
MAH;01.01.2019 00:00;10.5;36.3;-10;;;;82.3;11;965.8;1017.5;;;1017.3;2.8;23.8;85.7;10.1;893.5;157;;;;119514;49;790.3;177.4;3072.9;1392.9;
MAH;01.01.2020 00:00;10.9;34;-6.2;;;;79.1;10.6;966.9;1018.6;;;1018.4;2.8;25.8;92.9;10.1;830.2;156;;;;119461;49;;150.4;2937.8;1273.8;318.1
MAH;01.01.2021 00:00;9.9;31.3;-7.6;;;;82;10.6;966.7;1018.5;;;1018.2;3.2;24.8;89.3;11.5;923.3;150;;;;107306;44;757.1;91;3311.4;1511.4;549.1
MAH;01.01.2022 00:00;11.6;35;-7.1;;;;77.5;10.8;967.6;1019.2;;;1019.2;2.7;23;82.8;9.7;705.3;166;;;;132582;54;888.2;257.9;2761.8;1217.8;119.2
MAH;01.01.2023 00:00;11.6;38.2;-8;;;;80.3;11.4;965.9;1017.4;;;1017.4;3.1;28.5;102.6;11.2;810.9;156;;;;115389;47;846.9;268.3;2738.5;1218.5;361.7
MAH;01.01.2024 00:00;11.3;33.7;-6.8;;;;83;11.7;966.1;1017.6;;;1017.6;2.7;21.4;77;9.7;830.5;143;;;;89298;37;749.7;222.3;2752.7;1176.7;495.9
