station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MLS;01.01.1983 00:00;3.2;25.2;-13.7;3;33.2;-17.6;71.7;5.8;803;;;;;5.7;50.8;182.9;21.2;1077.6;141;;;;107812;41;659.7;11.5;5923.6;3299.6;164
MLS;01.01.1984 00:00;1.2;23.8;-16;1.4;26.4;-17.9;77;5.4;799.8;;;;;6;43.1;155.2;21.6;1347.6;141;;;;102200;39;586.5;0.6;6768.8;3960.8;931.6
MLS;01.01.1985 00:00;1.9;20.7;-22.6;1.9;30.6;-26.2;72.5;5.5;800.1;;;;;5.2;38.4;138.2;17.6;1094;147;;;;117387;45;621.4;0;6423.5;3727.5;515.6
MLS;01.01.1986 00:00;2.1;20.9;-25.2;2.1;27.4;;76.8;5.9;800.4;;;;;5.5;;;;1175.6;142;;;;113978;44;;0;6361.1;3657.1;680
MLS;01.01.1987 00:00;2.2;20.2;-25.6;2.2;28.8;-30.3;75.6;5.9;800.5;;;;;5.5;38.8;139.7;19.8;1255.1;133;;;;94348;36;560.1;0;6266.4;3626.4;899.6
MLS;01.01.1988 00:00;2.5;19.4;-16.5;2.6;25.3;-20.6;76.8;6;800.8;;;;;5.9;44.2;159.1;21.6;1354.8;135;;;;98169;38;579.5;0;6212.1;3524.1;929.9
MLS;01.01.1989 00:00;3.6;20.4;-11.6;3.7;27.7;-15.3;69;5.8;802.6;;;;;4.7;39.9;143.6;17.3;905.3;147;;;;126066;48;642.1;0;5841.6;3089.6;418.9
MLS;01.01.1990 00:00;2.9;20;-13.7;2.7;30.5;-17.4;73.7;5.9;802.3;;;;;5.1;47.4;170.6;18.7;1294.6;144;;;;117019;45;620.9;0;6062.3;3366.3;726.9
MLS;01.01.1991 00:00;2.3;21.1;-19.6;2.3;30.5;-22.1;72.9;5.8;801.6;;;;;5.3;47.1;169.6;19.4;885.7;146;;;;116923;45;606.1;0;6192;3568;414.4
MLS;01.01.1992 00:00;3.2;21.6;-14.4;3.1;28.3;-19.7;73.6;6.1;802.1;;;;;5.3;40.7;146.5;19.4;1199.5;139;;;;101836;39;646.9;0;5934.5;3294.5;799.1
MLS;01.01.1993 00:00;2.5;19.6;-20.3;2.4;32.1;-17.7;75.3;5.9;801.5;;;;;5.5;39.6;142.6;20.2;1064.8;137;;;;103870;40;588.8;0;6207.7;3519.7;646.3
MLS;01.01.1994 00:00;3.5;22.4;-13.6;3.5;33.2;-14.4;75.9;6.4;801.7;;;;;5.7;42.5;153;20.5;888.9;137;;;;96667;37;627.3;0.1;5769;3201;501.1
MLS;01.01.1995 00:00;2.2;21;-17;2.1;24.5;-19.1;78.9;6.1;800.8;;;;;5.7;42.5;153;20.9;1085.6;138;;;;104225;40;571.8;0;6314.1;3618.1;755.4
MLS;01.01.1996 00:00;1.9;19;-15.8;1.6;26.9;-18.4;76.8;5.8;799;;1470.8;;;4.3;41.1;148;15.5;926.7;140;;;;109469;42;563.7;0;6465.7;3681.7;557.1
