station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MOE;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1060.3;;;;;;;;;;;
MOE;01.01.1902 00:00;;;;;;;;;;;;;;;;;;974.5;;;;;;;;;;;
MOE;01.01.1903 00:00;;;;;;;;;;;;;;;;;;919;;;;;;;;;;;
MOE;01.01.1904 00:00;;;;;;;;;;;;;;;;;;781.8;;;;;;;;;;;
MOE;01.01.1905 00:00;;;;;;;;;;;;;;;;;;976.1;;;;;;;;;;;
MOE;01.01.1906 00:00;;;;;;;;;;;;;;;;;;817.3;;;;;;;;;;;
MOE;01.01.1907 00:00;;;;;;;;;;;;;;;;;;805.7;;;;;;;;;;;
MOE;01.01.1908 00:00;;;;;;;;;;;;;;;;;;973.4;;;;;;;;;;;
MOE;01.01.1909 00:00;;;;;;;;;;;;;;;;;;1037.1;;;;;;;;;;;
MOE;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1268.3;;;;;;;;;;;
MOE;01.01.1911 00:00;;;;;;;;;;;;;;;;;;768.7;;;;;;;;;;;
MOE;01.01.1912 00:00;;;;;;;;;;;;;;;;;;1161.6;;;;;;;;;;;
MOE;01.01.1913 00:00;;;;;;;;;;;;;;;;;;990.5;;;;;;;;;;;
MOE;01.01.1914 00:00;;;;;;;;;;;;;;;;;;1134.5;;;;;;;;;;;
MOE;01.01.1915 00:00;;;;;;;;;;;;;;;;;;1082.5;;;;;;;;;;;
MOE;01.01.1916 00:00;;;;;;;;;;;;;;;;;;1176.7;;;;;;;;;;;
MOE;01.01.1917 00:00;;;;;;;;;;;;;;;;;;1067.4;;;;;;;;;;;
MOE;01.01.1918 00:00;;;;;;;;;;;;;;;;;;968.1;;;;;;;;;;;
MOE;01.01.1919 00:00;;;;;;;;;;;;;;;;;;1000.1;;;;;;;;;;;
MOE;01.01.1920 00:00;;;;;;;;;;;;;;;;;;750.8;;;;;;;;;;;
MOE;01.01.1921 00:00;;;;;;;;;;;;;;;;;;623.1;;;;;;;;;;;
MOE;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1383.9;;;;;;;;;;;
MOE;01.01.1923 00:00;;;;;;;;;;;;;;;;;;1224.7;;;;;;;;;;;
MOE;01.01.1924 00:00;;;;;;;;;;;;;;;;;;919.7;;;;;;;;;;;
