station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MTR;01.01.1993 00:00;2.8;19.6;-17.9;;;;;;;;;;;;;;;;;;;;;;;;;;
MTR;01.01.1994 00:00;3.1;22.3;-15.5;;;;;;;;;;;5.9;38.7;139.3;21.2;;;;;;;;;;;3222.5;
MTR;01.01.1995 00:00;;;;;;;;;;;;;;6.2;38.5;138.6;22.3;;;;;;;;;;;;
MTR;01.01.1996 00:00;;;;;;;;;;;;;;;44.5;160.2;;;;;;;;;;;;;
MTR;01.01.1997 00:00;;17.7;-11.2;;;;;;;;;;;;32.8;118.1;;;;;;;;;;;;;
MTR;01.01.2000 00:00;;18.8;-17.4;;;;;;;;;;;;;;;;;;;;;;;;;;
MTR;01.01.2001 00:00;1.8;20;-18;;;;;;;;;;;;32.3;116.3;;;;;;;;;;;;3698.4;
MTR;01.01.2002 00:00;2.4;22.4;-13.6;;;;70.4;5.5;;;;;;5.6;41.9;150.8;20.2;;;;;;;;;;;3482.6;
MTR;01.01.2003 00:00;;22.6;-17.3;;;;;;;;;;;;29.6;106.6;;;;;;;;;;;;;
MTR;01.01.2004 00:00;1.8;18.5;-15.5;;;;67.9;5.1;;;;;;;;;;;;;;;;;;;;3729.6;
MTR;01.01.2005 00:00;1.4;19.9;-20.3;;;;67.1;5.1;;;;;;;37.4;134.6;;;;;;;;;;;;3880;
MTR;01.01.2006 00:00;;;;;;;;;;;;;;5.1;31.7;114.1;18.4;;;;;;;;;;;;
MTR;01.01.2007 00:00;2.7;17.6;-14.6;;;;66.2;5.3;;;;;;5.2;32;115.2;18.7;;;;;;;;;;;;
MTR;01.01.2009 00:00;;;;;;;;;;;;;;;28.1;101.2;;;;;;;;;;;;;
MTR;01.01.2010 00:00;;;;;;;;;;;;;;5.7;34.5;124.2;20.5;;;;;;;;;;;;
MTR;01.01.2014 00:00;2.7;19.4;-13;;;;72.8;5.7;779.6;;1484.9;;1017.3;5.8;35.5;127.8;20.9;;149;;;;;;625.9;0;6237.6;3397.6;
MTR;01.01.2015 00:00;3.6;22;-12.4;;;;65;5.6;782.4;;1512.5;;1020.8;5.5;39.4;141.8;19.8;;163;;;;;;747.4;0.2;5738.1;3162.1;
MTR;01.01.2016 00:00;2.6;20.1;-16.3;;;;69.2;5.6;780.8;;1497.5;;1018.8;5.6;33.7;121.3;20.2;;156;;;;;;673.9;0;6138.6;3466.6;
MTR;01.01.2017 00:00;2.8;21.3;-16.4;;;;64.9;5.4;781.4;;1504.3;;1019.5;5.8;38.7;139.3;20.9;;170;;;;;;;;;;
MTR;01.01.2018 00:00;3;20.6;-19.8;;;;72;6;780.2;;1490.9;;1018;5.4;42.9;154.4;19.4;;158;;;;;;;0;5919;3295;
MTR;01.01.2019 00:00;2.9;23.8;-13.1;;;;67.9;5.7;780.3;;1491.9;;1018.1;;34;122.4;;;162;;;;;;;4.9;6018.5;3386.5;
MTR;01.01.2020 00:00;3.1;21;-12.6;;;;67.7;5.6;781.5;;1503.5;;1019.6;4.9;50.3;181.1;17.6;;166;;;;;;722;0;5952.5;3288.5;
MTR;01.01.2021 00:00;2.1;18.8;-15.8;;;;68.1;5.4;780.5;;1496;;1018.4;5.4;30.9;111.2;19.4;;161;;;;;;672.3;0;6453.6;3645.6;
MTR;01.01.2022 00:00;3.7;19.8;-13.6;;;;65.4;5.8;782.5;;1512.6;;1020.9;5;37.5;135;18;;170;;;;144467;58;782;0;5636.6;3084.6;
MTR;01.01.2023 00:00;3.5;22;-14.9;;;;67.5;5.9;780.8;;;;1018.8;5.4;48.4;174.2;19.4;;159;;;;126094;51;;;;;
MTR;01.01.2024 00:00;3.7;20.8;-12.5;;;;69.2;6;781.2;;;;;5.6;38.9;140;20.2;;147;;;;113764;46;;;;;
