station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
NAP;01.01.1978 00:00;4;22.1;-12;;;;79.7;6.9;857;;;;;3;;;11.5;1196;;;;;83118;33;;;5565;;
NAP;01.01.1979 00:00;4.1;23.4;-21.1;;;;78.9;6.9;857;;;;;2.7;;;10.4;1312.7;;;;;77214;29;;;5396;;
NAP;01.01.1980 00:00;3.4;23.8;-16.2;;;;78.1;6.5;857.6;;;;;3.2;;;12.2;1176;;;;;80886;31;;;5842.6;;
NAP;01.01.1981 00:00;4.2;24.1;-14.9;4.4;32.2;-18.7;77.3;6.8;858.1;;;;;3.7;40.7;146.5;13.3;1402;117;;;;80524;32;599.7;1.6;5519.1;2999.1;1035.9
NAP;01.01.1982 00:00;5.4;26.4;-13.3;5.2;30.7;-15.6;71.7;6.8;859.4;;;;;3.6;;;;1544.9;123;;;;89016;35;;7.3;4955.5;2611.5;941.9
NAP;01.01.1983 00:00;5.8;30.4;-14.1;5.4;38;-16.8;71.7;7;860;;;;;3.6;38.3;137.9;13;1457.5;125;;;;94939;37;701.5;44.8;4775.6;2551.6;674.1
NAP;01.01.1984 00:00;4;29.3;-14.3;4.4;34.4;-14.9;74.8;6.1;857.9;;;;;3.5;43.2;155.5;12.2;1395.6;120;;;;89745;35;606.8;10.9;5617.1;3065.1;873.1
NAP;01.01.1985 00:00;4.3;25.6;-22;4.5;34.9;-23.5;74.6;6.5;858.3;;;;;3.8;32.6;117.4;13.3;1273.4;125;;;;101459;40;648.9;7.8;5365.5;3013.5;710.4
NAP;01.01.1986 00:00;4.5;25.5;-22.1;4.9;29.8;-24.1;79;7.2;858.6;;;;;3.7;35.9;129.2;13;1336.5;120;;;;100546;39;581.5;6.2;5272.3;2936.3;905.2
NAP;01.01.1987 00:00;4.5;25.7;-25.2;4.9;33.4;;79.2;7.2;858.4;;;;;3.7;35.9;129.2;13;1346.6;116;;;;88338;35;570.4;16.3;5382.5;2934.5;1018.8
NAP;01.01.1988 00:00;5;24.7;-14.4;5.5;34.6;-12.5;80.5;7.5;858.2;;;;;3.9;42.1;151.6;14;1472;115;;;;87631;34;566.3;3.7;5184.8;2704.8;1124.6
NAP;01.01.1989 00:00;6.3;24.8;-10.5;6.3;31.7;-12.9;73.1;7.4;860.3;;;;;3.8;37.8;136.1;13.3;1238.8;127;;;;115241;45;641.2;5.8;4572.6;2244.6;829.2
NAP;01.01.1990 00:00;5.7;25.3;-10.8;5.8;34.1;-13.4;77.3;7.5;859.9;;;;;4.1;46.9;168.8;14.8;1779.9;124;;;;103275;40;636.2;9;4915.4;2499.4;1350.6
NAP;01.01.1991 00:00;5.1;24.5;-16.8;5.2;31.4;-22.3;76.2;7.3;859.5;;;;;3.5;31.7;114.1;12.2;1426.8;127;;;;106794;42;612.5;8.2;5054.6;2782.6;987.6
NAP;01.01.1992 00:00;5.8;25.1;-15.8;5.8;32.7;-17;77;7.6;859.7;;;;;4;35;126;14;1668.5;117;;;;91716;36;624.2;26.2;4912.7;2536.7;1314
NAP;01.01.1993 00:00;5.2;24.6;-16.7;5.1;30.1;-18.3;78.2;7.4;859.1;;;;;3.8;44.5;160.2;13.3;1757.3;122;;;;92016;36;606.3;2.2;5120.2;2664.2;1422.6
NAP;01.01.1994 00:00;6.2;26.1;-12.6;6.2;31;-17.1;79.7;8.1;859.1;;;;;4;39.6;142.6;13.7;1842;115;;;;81386;32;608.8;24.1;4715.8;2403.8;1493
NAP;01.01.1995 00:00;5;26.5;-15.4;5.4;38.6;-15.1;80;7.6;858.5;;;;;3.8;40.5;145.8;13.3;2129.5;115;;;;85764;34;562.7;12.9;5139.3;2747.3;1819.7
NAP;01.01.1996 00:00;4.5;22.7;-16.6;5;33.5;-17.3;78.6;7.1;856.8;;1472.7;;;3.3;33.9;122;11.9;1545.7;122;;;;92919;36;572.2;0.4;5384.1;2848.1;1211.8
NAP;01.01.1997 00:00;6.1;22.8;-9.7;6.3;31.5;-12.8;75.5;7.6;859.5;;;;;3.6;41.4;149;13;1358.7;132;;;;109829;43;636.5;0.6;4638.8;2374.8;1001.2
NAP;01.01.1998 00:00;5.2;27;-14;5.4;30.1;-12.6;76;7.2;859.2;;;;;4;39.4;141.8;13.7;1340.6;126;;;;94846;37;655.4;27.7;5108.8;2708.8;966.8
NAP;01.01.1999 00:00;5.1;24.4;-15.8;5.3;30.4;-16.9;80.8;7.7;858.1;;;;;3.7;40.9;147.2;13;2175.2;116;;;;84293;33;580;6.6;5073;2689;1860.1
NAP;01.01.2000 00:00;5.9;25.2;-16;6;28.1;-13;77.9;7.6;858.8;;;;;3.7;36.8;132.5;13;1418.9;124;;;;96571;38;636.8;8.1;4791.6;2455.6;1030.5
NAP;01.01.2001 00:00;5.1;26.2;-18.9;5.3;31.9;-23.1;81.4;7.7;858.5;;;;;3.9;36.7;132.1;13.7;1901.6;123;;;;93136;36;592.6;10;5109.1;2757.1;1517.5
NAP;01.01.2002 00:00;5.9;27;-10.7;6.1;35.6;-12.7;79.7;7.8;858.6;;1489.4;;;3.9;37.9;136.4;13.3;1967.8;121;;;;93272;37;609.5;19.3;4854.9;2406.9;1636.2
NAP;01.01.2003 00:00;6.4;29.7;-15.5;6.4;34.6;-18.1;72.4;7.6;859.6;;1500;;;3.4;37.3;134.3;10.8;1355.5;141;;;;119733;47;736;82.5;4651.5;2547.5;768
NAP;01.01.2004 00:00;5.1;23.6;-11.7;5.3;31.6;-17.9;79.2;7.4;858.9;;1491.7;;;3.6;39.6;142.6;13;1572.7;125;;;;90313;35;608.1;4.1;5111.9;2743.9;1210
NAP;01.01.2005 00:00;4.9;25.6;-17;5.5;;;78.7;7.5;859.5;;1497.5;;;3.2;36;129.6;11.5;1598.9;129;;;;101710;38;615.9;21;5195.2;2827.2;1204.8
NAP;01.01.2006 00:00;6.1;25.7;-14.3;;;;75.2;7.7;859.7;;1499.7;;1018.2;3.6;35.7;128.5;13;1793.1;129;;;;103905;41;;24.5;4718.8;2470.8;
NAP;01.01.2007 00:00;5.8;25.3;-12.6;;;;;7.9;859.7;;;;;4.2;34.7;124.9;15.1;1927.5;136;;;;105147;41;;8.1;4763.9;2475.9;
NAP;01.01.2008 00:00;5.4;24.4;-11.6;5.7;36;-11.2;80;7.6;858.5;;1487.4;;1016.8;4.2;36.5;131.4;15.1;1500.5;128;;;45;92018;36;611.7;5.5;5014.8;2638.8;1173.7
NAP;01.01.2009 00:00;5.5;25.7;-16.2;6.5;;;80.1;7.8;857.7;;1480.3;;1015.9;3.8;37.4;134.6;13.7;1433.7;138;290;;46;94632;37;661;17.4;4898.4;2626.4;
NAP;01.01.2010 00:00;4.2;25.9;-15.5;;;;83;7.5;855.8;;;;;3.9;;;14;1666.1;125;;;;81027;32;575.4;16.6;5458.9;3058.9;
NAP;01.01.2011 00:00;6.8;26.5;-12.7;;;;75.8;7.9;860.6;;;;;3.9;32.9;118.4;14;1315;149;;;;125242;49;715.3;23.4;4398.4;2142.4;
NAP;01.01.2012 00:00;5.5;26.4;-21.1;6.4;34.8;-11.6;79.5;7.8;859.1;;1492.6;;1017.5;4.2;34.6;124.6;15.1;2135.8;136;291;;48;100520;39;655.2;27.2;4878.1;2630.1;1742.5
NAP;01.01.2013 00:00;5;26.4;-14;6;42.2;-14;81;7.7;857.9;;1481.8;;1016.1;3.9;32.8;118.1;14;1770.1;130;293;;47;86882;34;614.8;31.3;5099.5;2795.5;
NAP;01.01.2014 00:00;6.5;26.6;-13;6.8;35.2;-14.5;79.1;8;858.1;;1483.6;;1016.3;3.9;33.7;121.3;14;1741.3;131;294;;43;95550;37;637.7;14.5;4561.2;2185.2;1425.1
NAP;01.01.2015 00:00;6.7;29.3;-11.2;;;;75.5;7.8;861.4;;;;1020.1;4.2;37;133.2;15.1;1451.3;145;;;45;117870;46;730.1;69;4583;2295;963.6
NAP;01.01.2016 00:00;6.1;26.1;-12.2;6.4;33.6;-12.9;79;7.9;859.6;;1498;;1018.1;4.1;36.2;130.3;14.8;1595.3;131;293;;41;90510;35;646.5;23.6;4763;2459;1222.3
NAP;01.01.2017 00:00;6.2;26.7;-14.6;;;;76.8;7.8;860.5;;;;;4.2;34.5;124.2;15.1;1565;143;290;;;100299;39;714.4;36.9;4664.6;2472.6;
NAP;01.01.2018 00:00;6.9;27;-18.3;;;;77.9;8.3;858.6;;;;;3.9;39.6;142.6;14;1324.7;143;;;;107492;42;724;28.6;4237.3;2237.3;
NAP;01.01.2019 00:00;6.5;29.1;-11.3;6.6;39.1;-11.6;75.7;7.8;859;;1491.8;;1017.3;4.4;36.1;130;15.8;1616.9;145;290;;49;110564;43;744.2;61;4625.1;2393.1;1119.2
NAP;01.01.2020 00:00;7;27;-9.3;;;;74.8;7.9;860.1;;;;;4.2;47.5;171;15.1;1564.3;149;;;;120247;47;750.8;28.6;4377.2;2161.2;
NAP;01.01.2021 00:00;5.6;25.1;-14.8;5.7;31.5;-6.7;78.5;7.6;859.4;;1496.3;;1017.9;4.1;36.3;130.7;14.8;2015.4;136;290;;48;96086;38;638.5;13.7;4914.7;2570.7;1679.1
NAP;01.01.2022 00:00;7.5;28.2;-10.3;7.6;36.7;-10.6;73.9;8.1;861.1;;1512;;1019.7;4.2;38.4;138.2;15.1;1500.1;155;293;;46;122547;48;799.6;42.3;4054.5;2070.5;
NAP;01.01.2023 00:00;7.1;28.3;-11.4;7.2;36;-9.4;77.2;8.2;859.4;;1496;;1017.8;4.5;37.4;134.6;16.2;1912.6;139;304;;38;100581;39;740.9;60.1;4260.7;2292.7;
NAP;01.01.2024 00:00;7.3;26.9;-10.2;7.2;34.1;-9.2;77.5;8.4;859.5;;1497.1;;1017.9;4.2;32.5;117;15.1;1968.5;130;306;;39;93678;37;690.1;34.5;4247.6;2087.6;1617
