station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
NAS;01.01.1993 00:00;;20.5;-24;;;;;;;;;;;;;;;;;;;;;;;;;;
NAS;01.01.1994 00:00;1.3;21;-18.7;;;;;;;;;;;3.3;41.5;149.4;;;;;;;;;;0;6681.8;3913.8;
NAS;01.01.1995 00:00;;20.5;-21.9;;;;;;;;;;;;35.2;126.7;;;;;;;;;;;;;
NAS;01.01.1996 00:00;-0.5;18.8;-22.5;;;;;;;;;;;2.9;27;97.2;10.4;;;;;;;;;0;7390;4518;
NAS;01.01.1997 00:00;0.9;18.9;-16;;;;;;;;;;;3;26.9;96.8;10.8;;;;;;;;;0;6851.7;3987.7;
NAS;01.01.1998 00:00;;19.9;-20.3;;;;;;;;;;;;;;;;;;;;;;;;;;
NAS;01.01.1999 00:00;0.1;18.7;-22.9;;;;;;;;;;;3.4;45.2;162.7;12.2;;;;;;;;;0;7178.7;4306.7;
NAS;01.01.2000 00:00;;20.1;-18.9;;;;;;;;;;;;33.8;121.7;;;;;;;;;;;;;
NAS;01.01.2001 00:00;0.2;19.7;-22.7;;;;;;;;;;;3.3;32.9;118.4;11.9;;;;;;;;;0;7111;4295;
NAS;01.01.2002 00:00;;22;-18.1;;;;;;;;;;;3.1;28.5;102.6;11.2;;;;;;;;;;;;
NAS;01.01.2003 00:00;1.1;21.1;-21.6;;;;;;;;;;;3;32.3;116.3;10.8;;;;;;;;;0;6623.7;3999.7;
NAS;01.01.2004 00:00;0.3;18;-19.7;;;;;;;;;;;3.2;32.9;118.4;11.5;;;;;;;;;0;7171.3;4299.3;
NAS;01.01.2005 00:00;-0.1;48.3;-24.5;;;;;;;;;;;2.9;31.5;113.4;10.4;;;;;;;;;;;;
NAS;01.01.2006 00:00;1.1;21.2;-22.4;;;;63.3;4.7;;;;;;3;27.8;100.1;10.8;;;;;;;;;0;6715.6;3987.6;
NAS;01.01.2007 00:00;1.2;21.2;-19;;;;65.1;4.7;;;;;;3.2;26.6;95.8;11.5;;;;;;;;;0;6777.1;3953.1;
NAS;01.01.2008 00:00;0.7;20.3;-19.4;;;;68.7;4.8;;;;;;3.1;35.6;128.2;;;;;;;;;;0;6967.4;4135.4;
NAS;01.01.2009 00:00;0.5;20.8;-21.8;;;;69.6;4.9;;;;;;3.1;30.8;110.9;11.2;;;;;;;;;0;6936.8;4208.8;
NAS;01.01.2011 00:00;1.9;21.9;-18.8;;;;62.9;4.8;763.6;;;3077.7;1020.2;3.2;25.7;92.5;11.5;;168;;;;;;694.8;0;6507.7;3723.7;
NAS;01.01.2012 00:00;0.9;22;-26.1;;;;66.2;4.8;761.8;;;3057.3;1018;;41.7;150.1;;;171;;;;;;;0;6849.8;4089.8;
NAS;01.01.2013 00:00;0.5;23.3;-20.7;;;;66.7;4.7;760.7;;;3045;1016.6;3.4;33;118.8;12.2;;168;;;;;;661.6;0;6987.3;4211.3;
NAS;01.01.2014 00:00;1.4;21.4;-18;;;;70.4;5.1;761.4;;;3053.7;1017.4;3.3;29.7;106.9;11.9;;159;;;;;;622.4;0;6747.2;3875.2;
NAS;01.01.2015 00:00;;21.9;-17.4;;;;;;;;;;;;39.2;141.1;;;;;;;;;;;;;
NAS;01.01.2016 00:00;1.1;20.6;-19.8;;;;68.3;4.9;762.5;;;3064.8;1018.9;3.3;29.8;107.3;11.9;;166;;;;;;646.5;0;6801.5;4009.5;
NAS;01.01.2017 00:00;;20.7;-21.7;;;;;;763;;;;1019.5;3.5;31.9;114.8;12.6;;173;;;;;;;;;;
NAS;01.01.2018 00:00;1.6;20.6;-27.2;;;;70.3;5.3;761.8;;;3059.8;1018;3.2;40.5;145.8;11.5;;172;;;;;;;0;6510.8;3742.8;
NAS;01.01.2019 00:00;1.4;23.7;-17.3;;;;66.6;4.9;761.9;;;3059.5;1018.1;3.5;28.7;103.3;12.6;;173;;;;;;;;;;
NAS;01.01.2020 00:00;;21;-16.6;;;;;;762.9;;;3070.8;1019.4;3.1;32.7;117.7;11.2;;172;;;;;;;;;;
NAS;01.01.2021 00:00;0.7;21.6;-19.4;;;;65.9;4.6;761.9;;;3057.5;1018.1;3.2;28.5;102.6;11.5;;177;;;;;;665;0;6931.9;4155.9;
NAS;01.01.2022 00:00;2.3;22.5;-17.2;;;;64.3;5.1;763.9;;;3082.5;1020.6;3.2;29;104.4;11.5;;175;;;;;;737.4;0;6292.7;3572.7;
NAS;01.01.2023 00:00;2.1;22.4;-19.3;;;;67.7;5.2;762.5;;;;;3.5;32.8;118.1;12.6;;168;;;;107724;46;;;;;
NAS;01.01.2024 00:00;2.4;22.8;-18.1;;;;67.8;5.3;762.9;;;3072.4;1019.4;3.3;33.2;119.5;11.9;;163;;;;101902;43;672.4;0;6214.8;3566.8;
