station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PIO;01.01.1980 00:00;6.5;28.1;-12.6;;;;65.4;6.7;899.6;;;;;2.6;;;10.1;934.8;;;;;85872;46;;;4467.3;;
PIO;01.01.1981 00:00;7.1;29.9;-12.4;6.7;36.8;-18;66;7.2;899.9;;;;;2.9;22.1;79.6;10.8;1779.2;123;;;;87391;48;797.1;15;4197.7;2133.7;1179
PIO;01.01.1982 00:00;7.5;30.6;-11.8;6.9;35.8;-16.1;67.8;7.4;901.6;;;;;2.6;25.2;90.7;10.1;1349.7;130;;;;93267;52;803.5;30.9;4007.1;2103.1;701.6
PIO;01.01.1983 00:00;7.8;32.8;-10.7;7;40.9;-16.7;64.2;7.1;902.2;;;;;2.8;19.5;70.2;10.4;1416.4;121;;;;84590;47;836.9;68.4;4031.8;2031.8;779.9
PIO;01.01.1984 00:00;6.6;28.7;-12.6;5.7;35.2;-19.4;66.1;6.8;900.3;;;;;2.7;21.8;78.5;10.1;1327;126;;;;86705;48;776.8;15.3;4530.2;2338.2;715.2
PIO;01.01.1985 00:00;7.2;28.9;-18.3;6.3;32.8;-22.5;66.6;7.2;899.9;;;;;2.6;26.3;94.7;9.4;1089.6;132;;;;96482;53;816;21.8;4108;2196;403.6
PIO;01.01.1986 00:00;7.2;30.3;-15.1;6.1;39.6;-19;68.3;7.4;900.5;;;;;2.7;21.4;77;10.1;1417;125;;;;88869;49;785.8;28.6;4167.8;2207.8;778.8
PIO;01.01.1987 00:00;7.3;28.8;-17.8;6.5;36;-19.3;68.2;7.5;900.3;;;;;2.7;19;68.4;10.4;1750.4;125;;;;90029;50;774.8;26.1;4114.6;2114.6;1156.5
PIO;01.01.1988 00:00;7.5;26.8;-9.6;7;35.4;-16;70.2;7.8;900.5;;;;;2.7;26.7;96.1;10.1;1597.3;121;;;;81306;45;765.5;11.6;4041.5;2009.5;1081.6
PIO;01.01.1989 00:00;7.9;29.5;-9.4;6.7;34.6;-12.9;67.5;7.6;902.5;;;;;2.7;21.7;78.1;10.1;1089.6;131;;;;97350;54;829.2;14.6;3909.4;1925.4;456.8
PIO;01.01.1990 00:00;7.8;29.8;-11.2;6.9;37.2;-15.7;69.3;7.8;902.2;;;;;2.6;24.5;88.2;9.7;1280.7;132;;;;94237;52;826;26;3909.6;1965.6;662.6
PIO;01.01.1991 00:00;7.6;31.4;-16.3;6.6;35.8;-20.7;67.2;7.6;901.7;;;;;2.7;20.8;74.9;10.1;1474.6;131;;;;97422;54;824.8;68.8;4207.4;2215.4;786.5
PIO;01.01.1992 00:00;8.1;28.5;-10.9;7.2;35.6;-14.8;70.8;8.2;902;;;;;2.5;18.3;65.9;9.7;1432.6;125;;;;84694;47;759.6;49.8;3846.9;1926.9;924.1
PIO;01.01.1993 00:00;7.6;28.3;-11.7;7;37;-13;70.2;7.9;901.6;;;;;2.4;23;82.8;8.6;2005.4;118;;;;79405;44;722.1;15.4;3995.6;1971.6;1502.1
PIO;01.01.1994 00:00;8.8;30.8;-11;8;38.1;-16.1;68.9;8.3;901.4;;;;;2.6;20.6;74.2;9.7;1279.4;124;;;;88223;49;812.8;62.6;3650.5;1722.5;697.1
PIO;01.01.1995 00:00;7.7;29.7;-12.8;7;35.5;-15.3;68.2;7.7;901;;;;;2.6;22;79.2;9.4;1235;128;;;;95071;53;779.8;45.5;4121.6;2009.6;638.2
PIO;01.01.1996 00:00;7.4;28.7;-12.6;6.8;37.3;-16;68.6;7.5;899.5;;1479.8;;;2.6;21.1;76;9.4;1597.2;127;;;;90884;50;774.7;19.2;4178.3;2082.3;971.3
PIO;01.01.1997 00:00;8.5;27.4;-7.5;7.6;36.5;-11.5;67.1;8;902;;;;;2.5;21.5;77.4;9.4;1344.5;130;;;;103186;57;806.1;20;3616.9;1792.9;737.6
PIO;01.01.1998 00:00;7.7;29.3;-11;7.2;39.2;-16.6;66.6;7.6;901.7;;;;;2.7;20.3;73.1;9.7;1425.8;132;;;;97409;54;816.9;41.9;4065.3;2041.3;810.3
PIO;01.01.1999 00:00;7.6;26;-10.8;7.6;39.7;-16.2;71.1;8.1;900.7;;;;;2.6;20.1;72.4;9.7;1722.4;122;;;;83139;46;743.3;3.1;3964.6;2052.6;1246.3
PIO;01.01.2000 00:00;8;28.9;-13.5;7.9;38.1;-20;71.2;8.1;901.6;;;;;2.6;23.4;84.2;9.4;1852.9;124;;;;83246;46;771.3;13.2;3813.5;1925.5;1306.4
PIO;01.01.2001 00:00;7.8;29.5;-11.6;7.2;38;-16.7;67.8;7.7;901;;;;;2.6;23;82.8;9.4;1509.3;129;;;;92991;51;812.6;49.7;4014.4;1990.4;866.7
PIO;01.01.2002 00:00;8.2;31.2;-12.2;7.6;36.2;-18.5;69.7;8;901.1;;1495.7;;;2.5;23.3;83.9;9.7;2017.7;127;;;;90152;50;785.7;28.2;3766.7;1846.7;1459.5
PIO;01.01.2003 00:00;8.6;34;-12.9;7.8;39.5;-22.8;64;7.7;902.3;;1507.8;;;2.6;24.4;87.8;9;1063.2;141;;;;111695;62;905.9;166;3853.6;1997.6;304.7
PIO;01.01.2004 00:00;8.1;31.3;-11.9;7.3;36.8;-20.7;65;7.6;901.4;;1498.5;;;2.7;20.8;74.9;9.7;1119.1;132;;;;90803;50;853.5;42.5;3802.9;1970.9;421.7
PIO;01.01.2005 00:00;7.8;32.1;-14.1;6.9;38.9;-17.8;63;7.5;902.1;;1503.6;;;2.8;21.6;77.8;10.1;713.8;131;;;;95418;52;848;57.5;3942.8;2118.8;65.1
PIO;01.01.2006 00:00;8.1;31.2;-13.2;7.5;38.1;-18.3;67.4;7.9;902.4;;1506.8;;1019.1;2.5;17.3;62.3;9;1176.2;133;;;;96798;53;837.3;86.4;3856.9;2008.9;528.4
PIO;01.01.2007 00:00;8.6;28.4;-9.5;8.2;34.6;-12.5;67.8;8;901.7;;1501.4;;1018.4;2.7;23.4;84.2;9.7;1312.5;131;;;;99501;54;840;25.3;3519.5;1719.5;700.9
PIO;01.01.2008 00:00;7.8;27.2;-12.5;7.5;38.4;-18.9;73;8.3;901;;1493.1;;1017.5;2.4;26.7;96.1;8.6;1807.8;126;;;;88332;49;744.5;29;3944.5;1984.5;1292.6
PIO;01.01.2009 00:00;8.2;29.4;-15.9;7.8;39.3;-18.6;70.1;8.2;900.2;;1483.1;;1016.1;2.6;24.3;87.5;9.4;1355.8;133;;;;;;808.2;48;3768.4;1992.4;738.7
PIO;01.01.2010 00:00;6.9;28.5;-15.9;6.5;36.6;-19;71.4;7.9;900.3;;1462;;1013.9;2.1;18.9;68;7.6;1376.6;134;301;;;83981;47;738.2;54.8;4278.6;2342.6;823.2
PIO;01.01.2011 00:00;8.6;30.8;-12.6;8.1;36.7;-17.1;69.2;8.2;905.1;;1507.1;;1019.1;1.9;23.7;85.3;6.8;1269;138;302;;;101187;56;792.2;37.1;3479.8;1815.8;664.1
PIO;01.01.2012 00:00;8.2;28.7;-18.8;7.8;41.6;-27.2;68.3;8.2;903.4;;1491.7;;1017.3;2.1;20.2;72.7;7.6;1602.4;136;303;;;92676;51;792;49.7;3830.6;1974.6;1018.5
PIO;01.01.2013 00:00;7.8;28.9;-13.1;7.7;41.7;-17.4;68.7;8;902.3;;1481.3;;1016.1;2.1;22.8;82.1;7.6;1692.2;137;303;;;88505;49;783.5;39.4;3994.2;2018.2;1100.8
PIO;01.01.2014 00:00;8.5;28.4;-12;8;43.3;-14.8;72.4;8.4;902.7;;1485.3;;1016.5;2.2;24.5;88.2;7.9;1811.8;133;310;;;81429;45;762.1;20.4;3551.1;1703.1;1308
PIO;01.01.2015 00:00;8.6;32.1;-11.2;8.1;44.9;-12.6;68.3;8.2;905.6;;1512.1;;1019.7;2.4;20.7;74.5;8.6;1212.1;139;305;;;95811;53;846.5;118.7;3732.4;1844.4;
PIO;01.01.2016 00:00;8.3;29.5;-12.2;8.1;40.5;-14.1;69.9;8.2;904.1;;1497.8;;1018;2.5;17.6;63.4;9;1233.9;136;306;;;85957;48;817;54.9;3864;1920;645.3
PIO;01.01.2017 00:00;8.5;30.8;-13.9;8.6;47.1;-17;67.8;8.1;904.8;;1504.6;;1018.8;2.6;30.6;110.2;9.4;1287.2;148;303;;;98123;55;889;86.3;3839.6;1911.6;669.4
PIO;01.01.2018 00:00;9;33.1;-14.1;9.2;46.6;-15.1;71.1;8.6;903.2;;1491.4;;1017;2.4;17.9;64.4;8.6;1616;146;310;;;92903;52;878.1;108.9;3558.9;1878.9;951.6
