station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PLF;01.01.1990 00:00;7.5;27;-11.7;7.2;33.8;-14.6;74.3;8.2;899.5;;;;;2.9;41.6;149.8;10.1;1389.7;137;;;;118676;48;694.2;22.4;4141.2;1981.2;805.1
PLF;01.01.1991 00:00;6.5;27;-17;6.7;32.5;-20.4;75.7;8;899.1;;;;;2.5;34.9;125.6;8.6;1122;138;;;;114704;47;670.3;22.7;4512.2;2408.2;544.7
PLF;01.01.1992 00:00;7.2;27.7;-14.9;7.2;33.2;-26.2;76.3;8.3;899.3;;;;;2.7;34.7;124.9;9.7;1280.9;128;;;;99749;40;666.7;55.7;4274.1;2154.1;793.9
PLF;01.01.1993 00:00;6.7;26.1;-15.1;6.6;29;-17;77.4;8.1;898.9;;;;;2.8;32.5;117;10.4;1430.4;130;;;;99209;40;655.5;15.4;4496.8;2232.8;961.8
PLF;01.01.1994 00:00;8;28.6;-11;8;33.3;-12.9;78.3;8.9;898.7;;;;;2.9;29.9;107.6;10.1;1393.1;126;;;;93605;38;666.7;56.2;3929;1905;931.9
PLF;01.01.1995 00:00;6.8;28.6;-16.7;6.8;34.6;-20.9;78;8.3;898.2;;;;;2.9;33.8;121.7;10.1;1425;131;;;;104176;42;643.1;28.1;4389.3;2229.3;963.6
PLF;01.01.1996 00:00;6;25.3;-14.4;6.1;31.4;-19.1;78.7;7.8;896.4;;1476.2;;;2.3;28.7;103.3;8.3;1287.9;132;;;;103009;42;623.3;6.2;4744.4;2432.4;798.4
PLF;01.01.1997 00:00;7.5;25.7;-11.1;7.4;33;-12.7;76;8.4;899.1;;;;;2.7;30.7;110.5;9.4;1197.6;138;;;;119184;48;687.8;10.1;4099.2;1995.2;698
PLF;01.01.1998 00:00;7.1;29.2;-13.3;7.1;35;-19.6;73.5;7.9;899;;;;;3;32.3;116.3;10.4;943.8;136;;;;110701;45;714.3;47;4313;2177;371
PLF;01.01.1999 00:00;7.1;26.4;-14.7;7.2;33.5;-22.1;78.8;8.7;897.9;;;;;2.9;43;154.8;10.1;1449;130;;;;100175;41;659.2;11.7;4135;2135;1019
PLF;01.01.2000 00:00;7.8;25.9;-13.9;7.8;31.5;-18.2;77.1;8.5;898.5;;;;;3;27.1;97.6;10.1;1100;136;;;;110541;45;697.8;24.2;3977.6;1921.6;579.3
PLF;01.01.2001 00:00;7;26.6;-15.5;7.1;34;-22.7;78.7;8.5;898.1;;;;;3;29;104.4;10.8;1466.1;132;;;;104812;43;663.2;28.7;4310.7;2214.7;932.1
PLF;01.01.2002 00:00;7.6;28;-11.4;7.6;33.3;-19.6;77.9;8.6;898.1;;1492.4;;;2.8;36.8;132.5;10.1;1405.6;130;;;;105927;43;657.3;38.2;4075.3;1931.3;923.8
PLF;01.01.2003 00:00;7.8;31.2;-15.3;7.9;36;-20;72.8;8.4;899.2;;1503.2;;;2.8;38.9;140;9;1006.4;153;;;;134036;55;786.7;131.3;4131.5;2187.5;271.4
PLF;01.01.2004 00:00;7;26.7;-10.8;7;36;-15.2;76.9;8.2;898.4;;1494.7;;;3.1;35.2;126.7;10.8;1120.8;137;;;;106358;43;681;21;4303.8;2223.8;580.7
PLF;01.01.2005 00:00;6.6;28.2;-16.3;7.2;37.4;-13.5;76.6;8.2;898.9;;1499.8;;;2.7;30.2;108.7;9.7;1127;141;;;;;;670.4;46;4431.1;2359.1;566.6
PLF;01.01.2006 00:00;7.6;28.6;-11.7;7.9;40.3;-14.9;74.7;8.5;898.5;;1498.6;;1018.1;2.7;33.7;121.3;9.7;1264.7;143;298;;39;121248;49;699.5;58.2;4107.5;2067.5;664.1
PLF;01.01.2007 00:00;7.6;26.1;-11.1;8.1;40.6;-14.1;75.9;8.4;898.5;;1498.8;;1018.2;3.1;36.8;132.5;11.2;1286.1;148;296;;39;123660;50;710.7;16.7;4025.1;1977.1;765.9
PLF;01.01.2008 00:00;7.1;26.6;-10.8;7.5;38;-12.8;76.7;8.3;897.4;;1487.8;;1017;2.8;35;126;10.1;1055.4;142;297;;38;113890;47;673.4;22.6;4287.8;2159.8;519.9
PLF;01.01.2009 00:00;7.4;28.3;-15.1;7.7;37.9;-14.7;75.2;8.4;896.4;;1479.4;;1015.8;2.7;38.8;139.7;9.7;1053;154;;;;113575;46;746.3;48.6;4087.2;2135.2;452.6
PLF;01.01.2010 00:00;6.1;28;-13.9;6.7;38;-15.7;77.8;8.1;894.5;;1460.5;;1013.8;2.7;33.8;121.7;9.7;1052;139;;;;94867;38;662.6;46.1;4644.5;2508.5;
PLF;01.01.2011 00:00;8.4;28.4;-11.1;8.7;36.7;-12.7;73.2;8.5;899.2;;1506.7;;1019;2.6;35.1;126.4;9.4;1033.8;157;;;;129989;53;758.3;35.8;3641.4;1729.4;420.8
PLF;01.01.2012 00:00;7.5;28.8;-19.9;8;35.6;-14.6;75.5;8.5;897.8;;1492.2;;1017.4;2.8;33.7;121.3;10.1;1274.8;148;;;;113389;46;732.5;49;4082.3;2114.3;710.7
PLF;01.01.2013 00:00;6.8;29.2;-13.4;6.8;36.2;-17.4;78.1;8.4;896.6;;1481.1;;1016.2;2.6;30.7;110.5;9.4;1229.4;138;;;;98967;40;657.8;53.5;4428.6;2324.6;656
PLF;01.01.2014 00:00;8.2;28;-11.4;8.5;35.3;-11.5;77.1;8.8;896.6;;1483;;1016.1;2.6;35.9;129.2;9.4;1351.8;141;;;;102290;41;685.3;18.6;3767.9;1695.9;896.6
PLF;01.01.2015 00:00;8.5;32;-9.7;8.5;35.3;-12.2;72.6;8.5;900;;1514.5;;1019.9;3;33.5;120.6;10.8;943.8;153;;;;123519;50;780.7;121.3;3857.1;1793.1;274.4
PLF;01.01.2016 00:00;7.9;28;-12.5;8;35.8;-12.5;76.5;8.7;898.3;;1497.5;;1018;2.9;32.3;116.3;10.4;1373.9;144;;;;105053;42;698.1;49.1;4050.5;1978.5;843.4
PLF;01.01.2017 00:00;8;28.5;-13.1;8.1;36;-15.7;73.6;8.5;899.3;;1506.8;;1019.1;3;31.4;113;10.8;1006;159;;;;119285;48;790.2;83.4;3970.3;2010.3;
PLF;01.01.2018 00:00;8.5;28.7;-15.6;9;37.6;-17.9;76.3;9;897.1;;1488.1;;1016.7;2.9;38.4;138.2;10.4;916.4;156;;;;116490;47;783.8;61.1;3611.6;1851.6;264.8
PLF;01.01.2019 00:00;8.3;31;-10.4;8.5;40.7;-11.3;73.6;8.5;897.6;;1491.7;;1017.2;3.2;32.5;117;11.5;1104.2;157;;;;115383;47;795;98.2;3919.6;1911.6;
PLF;01.01.2020 00:00;8.8;29.6;-8.2;9;38;-13.1;72.9;8.6;898.7;;1502.8;;1018.5;3.2;35;126;11.5;1285.5;161;;;;125357;51;810;57.5;3670.5;1694.5;642.6
