station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PMA;01.01.1994 00:00;-1;17.9;-18.9;;;;;;;;;;;5.1;38;136.8;18.4;;;;;;;;;;;;
PMA;01.01.1995 00:00;-2.2;17.3;-23.3;;;;;;;;;;;5.1;42.8;154.1;18.4;;;;;;;;;;;;
PMA;01.01.1996 00:00;;15.9;-22.3;;;;;;;;;;;;40.3;145.1;;;;;;;;;;;;;
PMA;01.01.1997 00:00;;14.2;-16.6;;;;;;;;;;;;37.7;135.7;;;;;;;;;;;;;
PMA;01.01.1999 00:00;;14.8;-25.3;;;;;;;;;;;;41.7;150.1;;;;;;;;;;;;;
PMA;01.01.2000 00:00;-1.6;16.4;-19.9;;;;;;;;;;;5.8;42.6;153.4;20.9;;;;;;;;;;;;
PMA;01.01.2002 00:00;-1.6;16.2;-21.4;;;;;;;;;;;5.4;40.5;145.8;19.4;;;;;;;;;;;4944.6;
PMA;01.01.2003 00:00;-1.9;16.6;-25.1;;;;;;;;;;;5.3;50.6;182.2;19.1;;;;;;;;;;;5047.3;
PMA;01.01.2004 00:00;-3.4;16.1;-22.1;;;;;;;;;;;5.3;40.3;145.1;;;;;;;;;;;;;
PMA;01.01.2005 00:00;-2.9;16.4;-25.6;;;;;;;;;;;5;37.3;134.3;18;;;;;;;;;;;;
PMA;01.01.2006 00:00;;;;;;;;;;;;;;5.3;38.5;138.6;19.1;;;;;;;;;;;;
PMA;01.01.2007 00:00;-0.8;15.4;-21.5;;;;71.1;4.4;;;;;;5.2;39.7;142.9;18.7;;;;;;;;;;;;
PMA;01.01.2010 00:00;;19.1;-22.4;;;;;;;;;;;;38.8;139.7;;;;;;;;;;;;;
PMA;01.01.2012 00:00;-1.1;18.6;-28;;;;73.1;4.6;734.8;;;3057;1018.1;;;;;;172;;;;;;;;;;
PMA;01.01.2013 00:00;-1.5;19.2;-22.3;;;;73.4;4.5;733.7;;;3045.1;1016.6;5.7;44.4;159.8;20.5;774.6;163;;;;;;;;;;
PMA;01.01.2014 00:00;-0.6;17;-20.7;;;;77.5;4.8;734.4;;;3051.6;1017.5;;50;180;;1061.1;154;;;;;;;0;7513.2;4601.2;
PMA;01.01.2015 00:00;0;19.3;-19.3;;;;70.3;4.6;737.3;;;3084.8;1021.3;5.4;43.3;155.9;19.4;;178;;;;;;;;;;
PMA;01.01.2016 00:00;;18.1;-21.4;;;;;;735.5;;;;1019;5.6;39;140.4;20.2;853.1;169;;;;;;;;;;
PMA;01.01.2017 00:00;;18.1;-23.7;;;;;;736.1;;;;1019.8;5.8;54.4;195.8;20.9;864.3;177;;;;;;;;;;
PMA;01.01.2018 00:00;;;;;;;;;734.8;;;;1018.1;5.4;50.3;181.1;19.4;;169;;;;;;;;;;
PMA;01.01.2019 00:00;;20.3;-20.4;;;;;;734.8;;;;1018.2;6.2;41.9;150.8;22.3;886.4;177;;;;;;;;;;
PMA;01.01.2020 00:00;0;17.9;-18.3;;;;71.5;4.7;736;;;3070.9;1019.7;5.1;42.2;151.9;18.4;753.5;174;;;;;;627.9;0;7287.4;4407.4;
PMA;01.01.2021 00:00;-1.3;16.6;-18.7;;;;72.7;4.4;734.9;;;3057.1;1018.2;5.3;38.5;138.6;19.1;749.3;176;;;;;;580.7;0;7733.8;4853.8;
PMA;01.01.2022 00:00;0.4;19.3;-18.5;;;;68.4;4.7;737.1;;;3082.6;1021;5;34.2;123.1;18;646.5;177;;;;;;678.4;0;7099.6;4243.6;
PMA;01.01.2023 00:00;0.1;19;-19.7;;;;72.7;4.9;735.5;;;3065.6;1019;5.3;46;165.6;19.1;1068.5;169;;;;112316;45;622.3;0;7088.6;4352.6;
PMA;01.01.2024 00:00;0.4;20.4;-17.8;;;;73.7;5;736;;;3070.8;1019.6;5.6;40;144;20.2;870;166;;;;107125;43;593.8;0;7117.9;4261.9;
