station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
PUY;01.01.1961 00:00;;;;;;;;;;;;;;;;;;1224.1;;;;;;;;;;;
PUY;01.01.1962 00:00;;;;;;;;;;;;;;;;;;922.6;;;;;;;;;;;
PUY;01.01.1963 00:00;;;;;;;;;;;;;;;;;;1194.2;;;;;;;;;;;
PUY;01.01.1964 00:00;;;;;;;;;;;;;;;;;;845.7;;;;;;;;;;;
PUY;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1531.2;;;;;;;;;;;
PUY;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1179.2;;;;;;;;;;;
PUY;01.01.1967 00:00;;;;;;;;;;;;;;;;;;1169.9;;;;;;;;;;;
PUY;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1344.7;;;;;;;;;;;
PUY;01.01.1969 00:00;;;;;;;;;;;;;;;;;;956.2;;;;;;;;;;;
PUY;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1262.1;;;;;;;;;;;
PUY;01.01.1971 00:00;;;;;;;;;;;;;;;;;;892.3;;;;;;;;;;;
PUY;01.01.1972 00:00;;;;;;;;;;;;;;;;;;823.1;;;;;;;;;;;
PUY;01.01.1973 00:00;;;;;;;;;;;;;;;;;;925.8;;;;;;;;;;;
PUY;01.01.1974 00:00;;;;;;;;;;;;;;;;;;1157;;;;;;;;;;;
PUY;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1071.6;;;;;;;;;;;
PUY;01.01.1976 00:00;;;;;;;;;;;;;;;;;;973.1;;;;;;;;;;;
PUY;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1310.6;;;;;;;;;;;
PUY;01.01.1978 00:00;9.2;28.7;-6.4;;;;78.7;9.8;961.4;;;;;1.6;;;6.1;1245.2;;;;;89850;36;;;3437.4;;
PUY;01.01.1979 00:00;9.8;31;-10.2;;;;75.9;10;961.3;;;;;1.5;;;5.8;1193.6;;;;;97806;38;;;3196.6;;
PUY;01.01.1980 00:00;9.2;29.5;-6.9;;;;75.8;9.6;962.3;;;;;1.4;;;5.4;1210.7;;;;;90576;36;;;3408.9;;
PUY;01.01.1981 00:00;9.9;30.4;-8.5;10.2;38.1;-11.9;72.8;9.6;962.6;;;;;1.5;16.3;58.7;5;1191.3;134;;;;83751;34;709.9;92.8;3111.6;1479.6;751.1
PUY;01.01.1982 00:00;10.7;29.9;-4.6;10.9;36.1;-7.6;72.4;9.9;963.5;;;;;1.6;18.2;65.5;5.4;1218.4;142;;;;93102;38;751.4;132.3;3058;1314;739.2
PUY;01.01.1983 00:00;10.5;35.2;-6.5;10.5;41.9;-8.8;70.7;9.5;964.4;;;;;1.6;23.9;86;5.4;1087.5;138;;;;85460;35;755.4;238.9;3239.6;1479.6;625.3
PUY;01.01.1984 00:00;9.8;31.7;-5.8;9.9;36.8;-7.9;72;9.3;962.5;;;;;2;23.3;83.9;7.2;1016.8;143;;;;109266;45;759.4;111.1;3357.9;1501.9;470.7
PUY;01.01.1985 00:00;9.6;31.5;-14.9;9.7;37.2;-20.7;74.5;9.8;963.1;;;;;1.9;22.9;82.4;6.8;1162.8;147;;;;116466;48;759.5;131.5;3371.2;1699.2;651.5
PUY;01.01.1986 00:00;10;31.6;-12.7;10.1;36.7;-15.7;71.4;9.4;963.4;;;;;1.9;21.8;78.5;6.8;1073.7;139;;;;104279;43;765;165.9;3230;1582;518.9
PUY;01.01.1987 00:00;9.9;30;-16.7;10.1;37.7;-17.6;72.5;9.5;963.3;;;;;1.8;21.5;77.4;6.1;1266.7;131;;;;89844;37;727.2;150.7;3292.4;1564.4;764.1
PUY;01.01.1988 00:00;10.8;31.4;-6.2;10.8;38.3;-10.8;73.2;10;963.4;;;;;1.9;22.7;81.7;6.5;1199.4;137;;;;101945;42;760.3;129.5;2843.9;1259.9;685.6
PUY;01.01.1989 00:00;11.1;31.1;-3.1;11.1;38.8;-7.1;70.8;9.7;965;;;;;1.8;21.7;78.1;6.1;763.6;144;;;;116620;48;810.9;177.2;2800.3;1240.3;130.7
PUY;01.01.1990 00:00;11.2;30.7;-5.5;11.1;40.2;-9.6;70.9;9.9;965;;;;;2;25.7;92.5;6.8;1281;147;;;;125457;52;807.5;153.3;2748.9;1188.9;651.3
PUY;01.01.1991 00:00;10.5;30.8;-9.9;10.5;37.1;-10.8;70.6;9.6;964.7;1019.4;;;;1.9;27.2;97.9;6.8;1043;144;;;;114742;47;799.1;225.5;3167.8;1463.8;414.2
PUY;01.01.1992 00:00;11;31.2;-8.8;10.6;34.5;-11.1;72.5;10.1;964.9;1019.5;;;;1.9;26;93.6;6.5;1207.7;137;;;;102545;42;774.9;208.9;2960.2;1320.2;682.9
PUY;01.01.1993 00:00;10.7;31.3;-8.2;10.3;34.3;-10.2;71.6;9.8;964.6;1019.3;;;;1.9;21.1;76;6.8;1074.3;137;;;;102861;42;766;154.6;2908.4;1308.4;538
PUY;01.01.1994 00:00;12.1;31.4;-4;12.3;42.5;-5.4;72.2;10.8;963.7;1018.1;;;;1.7;20.2;72.7;5.8;1388.5;134;;;;99416;41;767.6;246.5;2557.8;981.8;904.2
PUY;01.01.1995 00:00;11.2;32.6;-8.9;10.8;37.8;-11.4;70.4;10;963.1;1017.6;;;;1.9;31.5;113.4;6.5;1451.1;141;;;;117576;48;783.5;204.6;2740.6;1204.6;856
PUY;01.01.1996 00:00;10.5;29.5;-8;10.2;38.4;-9.6;70;9.4;961.2;1015.8;;;;1.8;23;82.8;6.5;1065.3;139;;;;109944;45;768.7;128;2899;1307;474.9
