station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ROB;01.01.1959 00:00;7.4;27.5;-13.7;;;;72.3;8;;;;;;;;;;898.9;;;;;;;;;4112.8;;
ROB;01.01.1960 00:00;6.5;25.6;-19.4;;;;72.9;7.6;;;;;;;;;;1664.5;;;;;;;;;4425.5;;
ROB;01.01.1961 00:00;7.4;27.1;-16.8;;;;71.1;7.9;;;;;;1.7;;;6.1;849.9;;;;;;;;;3993;;
ROB;01.01.1962 00:00;6.4;28.5;-17.5;;;;66.7;7.2;;;;;;2;;;7.2;784;;;;;;;;;4574.3;;
ROB;01.01.1963 00:00;5.9;26.6;-22;;;;72.6;7.7;;;;;;1.1;;;4;1397.1;;;;;;;;;4624.5;;
ROB;01.01.1964 00:00;7.4;28.8;-13.2;;;;67.9;7.5;;;;;;1.7;;;6.1;878.5;;;;;;;;;4023.8;;
ROB;01.01.1965 00:00;6.1;27.2;-17.2;;;;65.9;6.8;;;;;;1.7;;;6.1;1186.6;;;;;;;;;4631.9;;
ROB;01.01.1966 00:00;6.9;29.1;-19.5;;;;67;7.3;;;;;;1.7;;;6.1;1073;;;;;;;;;4141.5;;
ROB;01.01.1967 00:00;7;28.2;-15.2;;;;65.6;7.2;;;;;;1.7;;;6.1;1075.4;;;;;;;;;4272.7;;
ROB;01.01.1968 00:00;6.2;30.5;-18.2;;;;69.1;7.1;;;;;;1.4;;;5;1320.3;;;;;;;;;4515.1;;
ROB;01.01.1969 00:00;6.2;28.2;-17.6;;;;66.3;7;;;;;;1.4;;;5;943.4;;;;;;;;;4574.5;;
ROB;01.01.1970 00:00;6.4;28;-15.5;;;;64;6.8;;;;;;2;;;7.2;1010.3;;;;;;;;;4448.4;;
ROB;01.01.1971 00:00;6.8;27.4;-17;;;;72.8;7.8;;;;;;1;;;5.4;1057.5;;;;;;;;;4341.4;;
ROB;01.01.1972 00:00;6.2;28.1;-12.5;;;;74.1;7.4;;;;;;1.2;;;5.4;1006.4;;;;;;;;;4630.3;;
ROB;01.01.1973 00:00;6.8;28.2;-15;;;;66.8;7.3;;;;;;1.8;;;7.6;989.5;;;;;;;;;4243;;
ROB;01.01.1974 00:00;7.1;30;-9.3;;;;66.3;6.9;;;;;;1.6;;;6.5;880.2;;;;;;;;;4191;;
ROB;01.01.1975 00:00;7;26.2;-10.5;;;;69.3;7.2;;;;;;1.1;;;4.3;1202.5;;;;;;;;;4237.5;;
ROB;01.01.1976 00:00;7;28.4;-15.1;;;;70.4;7.4;;;;;;1.8;;;6.8;1232.4;;;;;;;;;4329.8;;
ROB;01.01.1977 00:00;6.6;26.8;-15.7;;;;80.1;8.3;;;;;;1.5;;;5.4;1476.4;;;;;;;;;4363.9;;
ROB;01.01.1978 00:00;6.3;24.7;-15;;;;76;7.6;;;;;;1.7;;;6.1;1041.5;;;;;;;;;4557.9;;
ROB;01.01.1979 00:00;6.1;27;-15.7;;;;72.7;7.4;891.4;;;;;1.8;;;7.6;1527.2;;;;;85728;53;;;4512.3;;
ROB;01.01.1980 00:00;6;26.5;-18.2;;;;67.3;6.7;891.7;;;;;2;;;8.3;856;;;;;88386;55;;;4680.3;;
ROB;01.01.1981 00:00;6.6;28;-16.5;5.8;32.6;-22.7;64.7;6.9;892.2;;;;;1.8;31.6;113.8;;1143.8;133;;;;88401;54;;1.7;4351.6;2223.6;619.3
ROB;01.01.1982 00:00;7;29.7;-14.4;6.3;36.4;-19.4;66.2;7;894;;;;;1.6;30.3;109.1;6.8;951.6;138;;;;90276;56;717.9;11.8;4153.7;2161.7;395.3
ROB;01.01.1983 00:00;7.1;33.3;-14.3;6.4;37.6;-18.6;65.5;6.8;894.5;;;;;1.8;31.2;112.3;7.6;977.9;133;;;;90932;56;736.2;38.9;4264.4;2136.4;398.2
ROB;01.01.1984 00:00;6.2;29.7;-14.1;5.5;34.8;-21.1;72.8;7.3;892.8;;;;;1.9;29.7;106.9;7.6;850.6;136;;;;88298;54;684;2.7;4604;2396;371.7
ROB;01.01.1985 00:00;6.4;25.9;-20;5.9;32.5;-25.1;72.9;7.5;893.3;;;;;2.1;36.5;131.4;8.3;1176.2;141;;;;95744;59;724.1;0.8;4387.6;2323.6;688.6
ROB;01.01.1986 00:00;6.1;27.6;-18.4;5.6;35.8;-21.1;73.8;7.6;894;;;;;2;32.8;118.1;7.9;980.8;136;;;;86952;54;682.6;4.2;4547.3;2435.3;523.6
ROB;01.01.1987 00:00;6.6;27;-17.1;6;31.7;-21.7;72.5;7.6;893.8;;;;;2;30.6;110.2;7.9;1240.9;133;;;;89152;55;687.5;4.8;4375.7;2247.7;791.2
ROB;01.01.1988 00:00;7.2;28.3;-15.6;6.5;31.9;-20.7;71.1;7.9;893.9;;;;;2.3;29.8;107.3;9.4;933.4;134;;;;87847;54;715.6;1.2;4160.6;2048.6;
ROB;01.01.1989 00:00;7.3;26.9;-12.4;6.6;33.6;-17.9;65.6;7.2;896;;;;;2;30.6;110.2;7.9;855.9;139;;;;98335;61;763;1.4;4063.7;2015.7;307
ROB;01.01.1990 00:00;7.4;27.9;-13.1;6.7;33.2;-17.4;67;7.4;895.7;;;;;1.8;26.1;94;7.6;960.7;141;;;;97367;60;758.7;6;4019.1;2019.1;417.3
ROB;01.01.1991 00:00;6.7;29.8;-21;6.7;34.8;-22.5;67.5;7.2;895.1;;;;;2.1;29.6;106.6;8.6;806.1;141;;;;94659;58;773.8;23.2;4388.3;2380.3;214.7
ROB;01.01.1992 00:00;7.2;27.9;-12.8;6.8;33.5;-16;71.5;7.9;895.6;;;;;1.8;30;108;7.6;1320.1;134;;;;89649;55;695;22.1;4193.6;2113.6;902.4
ROB;01.01.1993 00:00;6.8;29.7;-14.6;6.5;33.4;-18;70.9;7.6;895.2;;;;;2;30.1;108.4;8.3;1230.5;130;;;;84607;52;683.9;1.6;4321.2;2169.2;794.6
ROB;01.01.1994 00:00;7.7;29.2;-13.4;7.6;34.9;-17.1;71.7;8;894.8;;;;;1.8;30.1;108.4;7.2;1076.3;137;;;;89531;55;725.8;6.4;3993;1929;631.8
ROB;01.01.1995 00:00;6.8;27.9;-14.8;5.5;32.6;-20.2;70.4;7.6;894.1;;;;;2.1;30;108;8.3;883.8;136;;;;88152;54;719.7;15.2;4485;2237;446.9
ROB;01.01.1996 00:00;6.4;28.5;-16.9;5.5;33;-20.5;73.1;7.5;892.1;;1472.9;;;1.6;26.7;96.1;5.8;1141;136;;;;86046;53;672.9;4.8;4517.8;2317.8;676.2
ROB;01.01.1997 00:00;7.3;26.1;-12.8;6.4;31.5;-17.2;70.3;7.7;894.6;;;;;1.9;28;100.8;7.9;995.5;142;;;;97995;60;746.2;1.2;4040.7;2032.7;529.5
ROB;01.01.1998 00:00;7.1;29.2;-13.1;6.1;32.1;-17.4;68.1;7.5;894.3;;;;;1.8;28.4;102.2;8.3;993.7;141;;;;96183;59;739;11.5;4232.5;2176.5;498.6
ROB;01.01.1999 00:00;7.1;25.9;-16.5;6.3;31.6;-21.2;71.9;8;893.5;;;;;1.9;28.1;101.2;7.6;1349.5;132;;;;82632;51;692.2;1.6;4107.7;2123.7;962.1
ROB;01.01.2000 00:00;7.6;27.9;-16.4;6.7;30.3;-20.1;72.1;8;894.5;;;;;1.8;27.5;99;7.6;1718.2;134;;;;86327;53;714.7;0.6;3969.8;1953.8;1263.9
