station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
RUE;01.01.1983 00:00;8.9;34.2;-10.9;;;;75.7;9.3;;;;;;2.7;31.5;113.4;;890.7;;;;;94474;38;;;;;
RUE;01.01.1984 00:00;7.9;31.7;-10.4;7.6;35.5;-12.9;75.1;8.4;;;;;;2.6;36.2;130.3;9.4;899.3;127;;;;92453;37;;52;4000.2;1952.2;347.2
RUE;01.01.1985 00:00;7.9;31.8;-20.2;7.6;35.3;-23.1;73.8;8.6;;;;;;2.4;27;97.2;9;809;130;;;;102892;42;;69.2;3920.9;2080.9;230.7
RUE;01.01.1986 00:00;8.1;30.9;-16.2;7.9;34.9;-27.3;75.1;8.7;;;;;;2.5;33.1;119.2;9.4;1085.4;124;;;;95234;39;;83.5;3898.9;1994.9;530.7
RUE;01.01.1987 00:00;7.9;28.8;-21;7.7;33.8;-26.6;76.6;8.8;;;;;;2.4;34.6;124.6;8.6;1127.8;119;;;;86494;35;;83.9;4001.6;2049.6;629.5
RUE;01.01.1988 00:00;9;31.5;-9.8;8.7;35.5;-13.9;78;9.5;945.7;;;;;2.5;37.8;136.1;9.4;1007.9;123;;;;93352;38;671.7;58.7;3486;1646;526.1
RUE;01.01.1989 00:00;9.5;31.3;-9.1;8.9;34.2;-12;73.8;9.1;947.2;;;;;2.4;31.1;112;9;818.2;130;;;;116467;47;731.1;73.1;3350.6;1582.6;180.8
RUE;01.01.1990 00:00;9.6;31.5;-7.7;8.9;36.9;-10.1;73.7;9.2;946.9;;;;;2.5;36.1;130;9.4;1156.8;131;;;;108713;44;745.3;97.4;3252.2;1508.2;458.4
RUE;01.01.1991 00:00;8.5;30.6;-13.4;8.1;34.9;-14.5;75.7;9;946.6;;;;;2.4;27.2;97.9;9;913.9;130;;;;103208;42;706.3;106.6;3866.4;1922.4;303.9
RUE;01.01.1992 00:00;9.3;31.7;-10.9;9;37.6;-13.7;75.8;9.4;946.5;;;;;2.4;32.8;118.1;8.6;1059.4;124;;;;94234;38;702.5;141.8;3502.7;1710.7;515.8
RUE;01.01.1993 00:00;8.8;29.9;-12.3;8.6;35.5;-16.5;76.1;9.2;946.2;;;;;2.5;33.8;121.7;9.4;952.5;124;;;;90794;37;694.3;80.2;3584.1;1728.1;424.9
RUE;01.01.1994 00:00;10.1;31.3;-10.7;9.9;38.3;-14;77.4;10.1;945.4;;;;;2.4;29.4;105.8;9;1142.4;121;;;;86414;35;697;160.4;3192.6;1424.6;661.4
RUE;01.01.1995 00:00;9.1;31.1;-13.2;8.9;36.3;-15.4;76.4;9.5;945.4;;;;;2.5;34.6;124.6;9;1190.6;125;;;;92271;38;680.9;112.2;3593;1689;671.4
RUE;01.01.1996 00:00;7.9;28.6;-14.2;7.8;35;-17.2;77.2;8.8;944.2;;1469.1;;;2.2;27.6;99.4;7.9;987.9;126;;;;95649;39;650.2;58;4003.3;1995.3;440.7
RUE;01.01.1997 00:00;9.4;28.3;-11.5;9.1;36.4;-13.4;74.3;9.4;946.5;;;;;2.2;33.9;122;8.3;869.9;135;;;;108009;44;709.4;85.2;3350.1;1598.1;281.9
RUE;01.01.1998 00:00;9.4;32.7;-10.3;9;37.7;-12.1;72.5;9;946.8;;;;;2.4;35.1;126.4;9;1001.9;129;;;;97686;40;735.5;121.5;3431.5;1623.5;406.1
RUE;01.01.1999 00:00;9.3;29.8;-11.3;8.9;34.4;-19.8;76;9.6;945.7;;;;;2.4;38.7;139.3;9;1290.4;123;;;;88197;36;696.1;85.2;3388.7;1636.7;813.9
RUE;01.01.2000 00:00;10.2;30.3;-12.8;9.7;34.3;-16;73.8;9.6;946.1;;;;;2.2;27.7;99.7;8.3;926.1;131;;;;99645;40;732.6;96.1;3156.4;1364.4;345.4
RUE;01.01.2001 00:00;9.4;29.7;-14.1;8.8;32.9;-19.9;75.4;9.5;945.9;;;;;2.5;26.1;94;9.4;1334.2;126;;;;92386;38;707.7;112;3337.3;1633.3;779.2
RUE;01.01.2002 00:00;10;32;-9.3;9.5;37;-13.8;74.7;9.6;945.7;;1487.9;;;2.2;31.6;113.8;8.3;1162.2;127;;;;92879;38;709.8;97.8;3194;1386;602
RUE;01.01.2003 00:00;10;36;-11.7;9.7;42.5;-15.4;69.3;9;947;;1499;;;2;33.3;119.9;7.2;623.6;145;;;;121740;49;808.7;346.3;3491.8;1771.8;-213.1
RUE;01.01.2004 00:00;9.1;28.9;-10.6;8.6;34.2;-16.5;75.8;9.2;946.2;;1489.8;;;2;32.9;118.4;7.2;898.3;131;;;;94843;38;691.8;98.9;3511.7;1735.7;322.3
RUE;01.01.2005 00:00;9;32.3;-14.2;8.6;37.7;-18.3;76.1;9.4;947;;1496.4;;;1.9;30.3;109.1;6.8;841.2;134;;;;102943;42;686;139.1;3532.2;1788.2;259.9
RUE;01.01.2006 00:00;9.6;32.7;-9.9;;;;76.1;9.8;946.6;;1495.8;;1018.1;2.2;33;118.8;7.9;1178.7;133;;;;;;;169.9;3293.7;1677.7;600
RUE;01.01.2007 00:00;9.8;31;-9;9.8;40.2;-11;75.2;9.6;946.3;;1494.4;;1017.9;2.3;35.5;127.8;8.3;1094.5;138;;;;107031;44;732;76.6;3187.1;1475.1;525.4
RUE;01.01.2008 00:00;9.3;30.1;-7;9.2;36.5;-11.4;75.1;9.4;945.3;;1483.6;;1016.8;2.2;32.1;115.6;7.9;847.1;130;;;;97293;39;702.2;89.7;3490.3;1642.3;313.6
RUE;01.01.2009 00:00;9.6;30.9;-16;9.5;37.9;-20.1;75.3;9.6;944.2;;1476.1;;1015.7;2.1;34.1;122.8;7.6;862.3;137;;;;103460;42;733.3;120;3279.2;1655.2;287
RUE;01.01.2010 00:00;8.4;32.7;-10.9;8.6;38.5;-14.2;76;9.1;942.6;;1459.4;;1014.1;2.1;31.3;112.7;7.6;870.4;129;;;;91468;37;687.9;131.6;3777.5;1945.5;314.2
RUE;01.01.2011 00:00;10.5;31.9;-7.9;10.4;36.9;-9.9;73;9.6;947.1;;1504.2;;1018.9;2;39.7;142.9;7.2;745.1;147;;;;120824;49;775.1;108.2;2912.9;1352.9;48
RUE;01.01.2012 00:00;9.5;31.3;-16.5;9.6;38;-20;74.5;9.6;945.9;;1490.5;;1017.6;2.2;29.5;106.2;7.9;1206.6;138;;;;108289;44;741.2;113.1;3350.4;1630.4;610.2
RUE;01.01.2013 00:00;8.9;33.9;-9.3;;;;76.6;9.4;944.8;;1479.5;;1016.4;2.1;28.3;101.9;7.6;1034.9;129;;;;91563;37;690.4;149.3;3671.8;1855.8;491.7
RUE;01.01.2014 00:00;10.5;32.6;-12.5;10.8;40.1;-14.7;75.3;9.9;944.3;;1481.1;;1016;2;25.9;93.2;7.2;1003.9;139;318;;;97923;40;735;69.5;2791;1207;448.4
RUE;01.01.2015 00:00;10.5;34.5;-8.1;10.8;43.6;-13.7;72;9.5;947.9;;1511.9;;1019.8;2.1;27.8;100.1;7.6;759.8;147;314;;;116907;47;788.5;247.8;3051.5;1379.5;28.6
RUE;01.01.2016 00:00;9.7;31.2;-8.4;10.1;39.1;-14.6;77.1;9.8;946.2;;1494.3;;1018;2.2;33.2;119.5;7.9;1056.3;137;316;;;98564;40;711.6;152;3396.8;1612.8;515.3
RUE;01.01.2017 00:00;10;31.6;-12.6;10.3;38.2;-16.1;74;9.6;947.2;;1503.3;;1019;2.2;32.7;117.7;7.9;914;148;316;;;106685;43;790.8;198.5;3302.6;1598.6;
RUE;01.01.2018 00:00;10.8;33.2;-13.7;11.3;39.2;-15.4;73.3;9.9;944.9;;1487;;1016.6;2.4;35.3;127.1;8.6;859.3;150;319;;;111873;45;840.1;230.5;3025.8;1473.8;130.7
RUE;01.01.2019 00:00;10.4;34.6;-7.9;10.7;40.9;-10.3;72.2;9.5;945.3;;1489.1;;1017;2.5;36;129.6;9;817.3;152;314;;;114042;46;826.8;218.1;3180.3;1444.3;106.9
RUE;01.01.2020 00:00;10.9;34.5;-5.1;11.2;41.9;-7.6;70.3;9.4;946.4;;1499.8;;1018.2;2.5;41;147.6;9;826.3;155;314;;;120998;49;850.6;178;2931;1299;36.4
RUE;01.01.2021 00:00;9.3;29.3;-11.2;9.8;38.9;-12.8;75.1;9.4;946.2;;1493.2;;1018;2.3;28.5;102.6;8.3;1056.8;146;313;;;103164;42;740.6;85.4;3449.5;1641.5;493.1
RUE;01.01.2022 00:00;11.4;34.5;-8.7;11.8;45.4;-10;69.9;9.8;947.4;;1510;;1019.2;2.4;35.8;128.9;8.6;805.6;162;317;;;126934;51;900.1;252.9;2809.4;1273.4;-32.4
RUE;01.01.2023 00:00;11.3;34.3;-7.7;11.5;44.9;-10.2;71.4;10;945.7;;1495.1;;1017.4;2.6;32.7;117.7;9.4;932.9;143;321;;;106293;43;840.5;252.8;2929.5;1313.5;229.8
RUE;01.01.2024 00:00;10.7;31.4;-7.4;11.1;40.4;-12.9;77.5;10.5;945.7;;1492.9;;1017.4;2.3;34.2;123.1;8.3;1106;130;325;;;90048;36;721.8;180.7;2953.5;1305.5;629.9
