station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SAE;01.01.1864 00:00;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1865 00:00;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1866 00:00;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1867 00:00;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1868 00:00;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1869 00:00;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1870 00:00;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1871 00:00;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1872 00:00;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1873 00:00;-1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1874 00:00;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1875 00:00;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1876 00:00;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1877 00:00;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1878 00:00;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1879 00:00;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1880 00:00;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1881 00:00;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1882 00:00;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SAE;01.01.1883 00:00;-2.6;;;;;;;;;;;;;;;;;1686.4;;;;;;;;;;;
SAE;01.01.1884 00:00;-1.8;;;;;;80.7;4.6;753;;;;;3.5;;;12.6;1662.3;;;;;;;;;7927.8;;
SAE;01.01.1885 00:00;-1.3;;;;;;80.5;4.9;;;;;;;;;;1354;;;;;;;;;7766.7;;
SAE;01.01.1886 00:00;-1.5;;;;;;81.9;4.9;751.1;;;;;5.3;;;19.1;1681.3;;;;;;;;;7789.6;;
SAE;01.01.1887 00:00;-2.2;;;;;;77.6;4.5;750.8;;;;;4.8;;;17.3;1547;;;;;;;;;8098.7;;
SAE;01.01.1888 00:00;-2.3;;;;;;79.3;4.5;748.5;;;;;7.7;;;27.7;2623.3;;;;;109584;;;;8144.6;;
SAE;01.01.1889 00:00;-2.7;;;;;;82.2;4.6;748;;;;;;;;;2485.8;;;;;93402;;;;8247.5;;
SAE;01.01.1890 00:00;-2.3;;;;;;79.4;4.4;748.4;;;;;8.8;;;31.7;2318.4;;;;;113478;;;;8098.6;;
SAE;01.01.1891 00:00;-2.3;;;;;;77.6;4.4;749;;;;;9.4;;;33.8;2142;;;;;114990;;;;8120.1;;
SAE;01.01.1892 00:00;-1.9;;-23.2;;;;81.6;4.7;748.1;;;;;8.8;;;31.7;2479.2;;;;;107658;;;;7998.2;;
SAE;01.01.1893 00:00;-1.8;;-26.3;;;;70.3;4;749.6;;;;;8.3;;;29.9;2075.2;;;;;110040;;;;7920.7;;
SAE;01.01.1894 00:00;-2.3;;-21.3;;;;81.1;4.5;749.4;;;;;8.8;;;31.7;2735.5;;;;;101064;;;;8118.9;;
SAE;01.01.1895 00:00;-2.8;;-27;;;;82.4;4.6;747.3;;;;;8.3;;;29.9;2058.9;;;;;109752;;;;8305.9;;
SAE;01.01.1896 00:00;-2.8;;-23.2;;;;81.9;4.4;748.9;;;;;7.7;;;27.7;2536.6;;;;;98604;;;;8354.5;;
SAE;01.01.1897 00:00;-1.8;;-23.5;;;;79.9;4.7;749.8;;;;;8.3;;;29.9;2665.3;;;;;105618;;;;7910.4;;
SAE;01.01.1898 00:00;-1.4;;-19.4;;;;77.5;4.6;750.2;;;;;7.7;;;27.7;2318.4;;;;;113556;;;;7797.2;;
SAE;01.01.1899 00:00;-1.8;;-21;;;;80.3;4.7;750.3;;;;;8.3;;;29.9;2590.6;;;;;104850;;;;7965.3;;
SAE;01.01.1900 00:00;-2.1;;;;;;86.4;5;748.5;;;;;7.7;;;27.7;2424.6;;;;;85512;;;;8039.4;;
SAE;01.01.1901 00:00;-3;13.7;-26.5;;;;83.9;4.7;747.8;;;;;8.3;;;29.9;2258.2;;;;;97560;37;;;8371;;
SAE;01.01.1902 00:00;-2.4;15.2;-18.3;;;;85;4.8;748.6;;;;;7.7;;;27.7;2682.6;;;;;96498;36;;;8151.8;;
SAE;01.01.1903 00:00;-2.5;13.6;-19.2;;;;84.7;4.7;749.2;;;;;8.3;;;29.9;2452.4;;;;;91638;34;;;8188.5;;
SAE;01.01.1904 00:00;-1.9;14.1;-22.1;;;;85;5;749.6;;;;;7.7;;;27.7;2715.1;;;;;98064;36;;;7987;;
SAE;01.01.1905 00:00;-3;18.5;-32;;;;85.8;4.7;749;;;;;7.7;;;27.7;2630.3;;;;;97038;36;;;8354.9;;
SAE;01.01.1906 00:00;-2.8;16.1;-23;;;;86.9;4.9;748.9;;;;;8.3;;;29.9;2378.5;;;;;102438;38;;;8294.9;;
SAE;01.01.1907 00:00;-2.6;15.7;-21.7;;;;84.3;4.7;749.3;;;;;7.7;;;27.7;2292.1;;;;;96714;36;;;8203;;
SAE;01.01.1908 00:00;-2.3;12.8;-21.3;;;;83.7;4.8;749.9;;;;;7.2;;;25.9;2287.5;;;;;105060;40;;;8149.5;;
SAE;01.01.1909 00:00;-3.4;13.1;-25.3;;;;88.4;4.7;747.6;;;;;7.2;;;25.9;2864.8;;;;;100206;38;;;8518.3;;
SAE;01.01.1910 00:00;-3.1;15.1;-20;;;;90.1;4.8;747.3;;;;;7.7;;;27.7;3600.6;;;;;89622;33;;;8409.9;;
SAE;01.01.1911 00:00;-1.6;15.9;-18.4;;;;83.7;5.1;750.5;;;;;7.2;;;25.9;2048.3;;;;;118212;44;;;7825.6;;
SAE;01.01.1912 00:00;-3;12.6;-21.3;;;;87.8;4.6;748.7;;;;;7.7;;;27.7;3754.3;;;;;82362;30;;;8391.3;;
SAE;01.01.1913 00:00;-2.3;12.5;-21;;;;86.3;4.8;749.9;;;;;7.7;;;27.7;3463.3;;;;;92856;35;;;8114.4;;
SAE;01.01.1914 00:00;-2.3;13.8;-21.6;;;;86.5;4.8;748.9;;;;;6.7;;;24.1;3796.4;;;;;100584;37;;;8149.7;;
SAE;01.01.1915 00:00;-3.1;14.4;-21.7;;;;88.2;4.8;746.8;;;;;6.7;;;24.1;3230.2;;;;;96996;35;;;8405.7;;
SAE;01.01.1916 00:00;-2.6;12.8;-17;;;;87.6;4.7;747.6;;;;;7.7;;;27.7;3925.7;;;;;97092;35;;;8258.9;;
SAE;01.01.1917 00:00;-3;14.6;-25.2;;;;84.3;4.7;748.1;;;;;7.2;;;25.9;2403.7;;;;;114282;42;;;8389.5;;
SAE;01.01.1918 00:00;-1.9;17.6;-24.8;;;;83.1;4.8;749.9;;;;;6.2;;;22.3;2753.2;;;;;106338;40;;;7966.8;;
SAE;01.01.1919 00:00;-3.4;14.3;-24.3;;;;87.4;4.6;747.2;;;;;6.7;;;24.1;3222.8;;;;;98256;36;;;8539.3;;
SAE;01.01.1920 00:00;-0.7;16.3;-21.5;;;;81.5;5.1;750.8;;;;;6.7;;;24.1;2622.1;;;;;100284;38;;;7546.8;;
SAE;01.01.1921 00:00;-1;17.6;-17.7;;;;76.2;4.7;751.2;;;;;5.3;;;19.1;2501.3;;;;;122640;46;;;7623.9;;
SAE;01.01.1922 00:00;-2.8;16;-22.4;;;;84.8;4.6;747.5;;;;;7.7;;;27.7;5255.1;;;;;86124;31;;;8321;;
SAE;01.01.1923 00:00;-2.5;18.7;-21.4;;;;83.8;4.6;747.9;;;;;6.2;;;22.3;3721.4;;;;;82716;30;;;8141.9;;
SAE;01.01.1924 00:00;-2;15.2;-22.1;;;;75.8;4.4;748.4;;;;;6.7;;;24.1;3139;;;;;91608;36;;;8022.9;;
SAE;01.01.1925 00:00;-2.6;18.5;-23.6;;;;80.2;4.3;748;;;;;6.7;;;24.1;3221.8;;;;;78684;30;;;8216.2;;
SAE;01.01.1926 00:00;-1.7;16.2;-22.4;;;;84.4;4.9;748.7;;;;;7.7;;;27.7;3332.4;;;;;87240;32;;;7929.7;;
SAE;01.01.1927 00:00;-1.7;16.6;-30.1;;;;86.9;5.1;748.2;;;;;7.7;;;27.7;3445.6;;;;;92478;34;;;7908.3;;
SAE;01.01.1928 00:00;-1.9;17.8;-18.9;;;;90;5.4;748.7;;;;;7.2;;;25.9;3103.5;;;;;94716;34;;;7957.3;;
SAE;01.01.1929 00:00;-2.2;16.7;-30.1;;;;77.6;4.5;749.3;;;;;6.2;;;22.3;2412;;;;;109428;40;;;8062.3;;
SAE;01.01.1930 00:00;-1.5;16.2;-17.3;;;;81.1;4.7;747.9;;;;;7.7;;;27.7;3459.8;;;;;89334;34;;;7821.8;;
SAE;01.01.1931 00:00;-2.7;17.8;-22.5;;;;76;4.2;747.7;;;;;7.7;;;27.7;2588.6;;;;;94866;35;;;8270.1;;
SAE;01.01.1932 00:00;-1.6;15.9;-22.7;;;;71.5;4.3;749.6;;;;;5.7;;;20.5;2156.8;;;;;105492;40;;;7867.3;;
SAE;01.01.1933 00:00;-2.7;15.8;-25.3;;;;75.2;4.1;748.1;;;;;5.7;;;20.5;2646.2;;;;;95784;36;;;8254.2;;
SAE;01.01.1934 00:00;-1;14.8;-19.4;;;;68.4;4.2;749.5;;;;;5.3;;;19.1;1968.1;;;;;111840;41;;;7651.7;;
SAE;01.01.1935 00:00;-2.6;16.6;-23.7;;;;74.5;4.1;747.4;;;;;5.7;;;20.5;2492.6;;;;;94470;34;;;8240.6;;
SAE;01.01.1936 00:00;-2.1;15.6;-21.8;;;;78.5;4.4;747.6;;;;;5.3;;;19.1;2577;;;;;88524;33;;;8075.1;;
SAE;01.01.1937 00:00;-2.2;15.4;-19.7;;;;78.4;4.4;747.2;;;;;6.2;;;22.3;2490;;;;;82578;30;;;8085.8;;
SAE;01.01.1938 00:00;-1.9;15.9;-22;;;;76.1;4.5;749.9;;;;;7.2;;;25.9;2040.3;;;;;106044;39;;;7980.9;;
SAE;01.01.1939 00:00;-2.3;14.6;-24;;;;78.7;4.4;747.4;;;;;7.7;;;27.7;2804.4;;;;;83850;31;;;8146.9;;
SAE;01.01.1940 00:00;-3;12.6;-30.4;;;;82;4.5;747.3;;;;;8.8;;;31.7;3344.6;;;;;82632;31;;;8415.8;;
SAE;01.01.1941 00:00;-2.9;15.4;-23;;;;79.9;4.3;747.2;;;;;8.8;;;31.7;2679;;;;;90336;34;;;8357.8;;
SAE;01.01.1942 00:00;-1.9;15.8;-24.1;;;;74.8;4.5;748.8;;;;;7.7;;;27.7;2366.7;;;;;103650;39;;;7954.8;;
SAE;01.01.1943 00:00;-1;17.7;-18;;;;71;4.3;751;;;;;8.3;;;29.9;2342.7;;;;;103716;38;;;7602;;
SAE;01.01.1944 00:00;-2.8;18.6;-21;;;;77.3;4.3;748.3;;;;;9.4;;;33.8;3247.8;;;;;79998;30;;;8286.5;;
SAE;01.01.1945 00:00;-1.6;18.2;-24.2;;;;75;4.6;750.3;;;;;9.4;;;33.8;2808.9;;;;;96954;35;;;7829.7;;
SAE;01.01.1946 00:00;-1.4;17.5;-24.9;;;;78.9;4.7;749;;;;;8.3;;;29.9;2190.1;;;;;98592;37;;;7770.3;;
SAE;01.01.1947 00:00;-0.9;18.5;-24.1;;;;78.8;5;749;;;;;8.3;;;29.9;2372.2;;;;;102756;37;;;7522.8;;
SAE;01.01.1948 00:00;-0.9;14.9;-23.3;;;;72.9;4.4;750.9;;;;;8.3;;;29.9;2694.3;;;;;112518;42;;;7626.1;;
SAE;01.01.1949 00:00;-1;16.8;-23.6;;;;72.4;4.5;751.3;;;;;8.3;;;29.9;1896.7;;;;;115842;43;;;7623.4;;
SAE;01.01.1950 00:00;-1.3;16.9;-20;;;;75.4;4.6;748.6;;;;;9.4;;;33.8;2272.8;;;;;105912;39;;;7718.4;;
SAE;01.01.1951 00:00;-1.4;17.8;-19.2;;;;75.3;4.5;747.7;;;;;8.3;;;29.9;2009.6;;;;;118692;43;;;7792.8;;
SAE;01.01.1952 00:00;-2.4;19.4;-19.1;;;;85.3;4.9;747.6;;;;;9.9;;;35.6;3010.7;;;;;100674;35;;;8135.3;;
SAE;01.01.1953 00:00;-0.9;15.8;-24;;;;74.7;4.7;751.2;;;;;7.7;;;27.7;1801.4;;;;;135714;51;;;7594.4;;
SAE;01.01.1954 00:00;-2.6;16;-20.2;;;;82.4;4.6;747.6;;;;;8.8;;;31.7;2707.4;;;;;100644;37;;;8210.6;;
SAE;01.01.1955 00:00;-2.4;14.4;-19.6;;;;84.6;4.8;747.9;;;;;9.4;;;33.8;2740.5;;;;;106428;39;;;8138.8;;
SAE;01.01.1956 00:00;-3.3;17.1;-30.3;;;;82.4;4.4;748.3;;;;;8.8;;;31.7;2635;;;;;117876;44;;;8494;;
SAE;01.01.1957 00:00;-1.4;20.5;-18.3;;;;79.3;4.8;749.7;;;;;8.3;;;29.9;2688;;;;;117654;44;;;7761.9;;
SAE;01.01.1958 00:00;-1.5;18.4;-21.7;;;;79.6;4.8;748.5;;;;;8.3;;;29.9;2664.9;;;;;111000;41;;;7832.3;;
SAE;01.01.1959 00:00;-0.8;16.1;-20.7;;;;77.5;4.9;750.2;;;;;8.3;;;29.9;1711.7;;;;;125358;46;;;7549.9;;
SAE;01.01.1960 00:00;-2.2;15.6;-25.2;;;;85.3;4.8;747.3;;;;;8.8;;;31.7;2631.6;;;;;96582;35;;;8115.1;;
SAE;01.01.1961 00:00;-0.9;16.7;-21.9;;;;80.8;5;750.5;;;;;8.3;;;29.9;2496.6;;;;;118950;44;;;7580.5;;
SAE;01.01.1962 00:00;-2.9;18.6;-26.6;;;;79.8;4.3;748.7;;;;;8.8;;;31.7;2217.2;;;;;116262;43;;;8311.1;;
SAE;01.01.1963 00:00;-2.2;17.1;-26.1;;;;78.7;4.6;747.5;;;;;8.8;;;31.7;2059.8;;;;;116166;44;;;8078.5;;
SAE;01.01.1964 00:00;-1.2;16.9;-22.5;;;;81.7;4.9;750.3;;;;;7.7;;;27.7;2367.4;;;;;119160;44;;;7716.1;;
SAE;01.01.1965 00:00;-3;15.9;-22.5;;;;84.9;4.5;746.8;;;;;9.4;;;33.8;3231.3;;;;;94830;34;;;8359.6;;
