station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SBO;01.01.1982 00:00;10.8;34.1;-9;10.6;43;-11.3;76.8;10.5;;;;;;1.2;25.9;93.2;4.7;1504.9;138;;;;100404;42;;166.9;3194.2;1474.2;
SBO;01.01.1983 00:00;10.1;36.3;-11.9;10;41.2;-12.6;78;10.4;;;;;;1.3;25;90;5;1275;131;;;;109620;46;;188.9;3221.5;1557.5;877.1
SBO;01.01.1984 00:00;9.6;32.7;-10.8;9.6;38.8;-15.1;79.5;9.9;;;;;;1.2;25;90;4.7;1707.1;131;;;;106793;45;;136.1;3459.3;1587.3;1318.8
SBO;01.01.1985 00:00;9.7;31.6;-18;9.5;;-20.5;74.8;9.5;;;;;;1.1;21.7;78.1;4.3;1296.7;136;;;;116342;49;;151.3;3370.5;1730.5;811.5
SBO;01.01.1986 00:00;10.2;31;-13;10.3;40.2;-17.6;76.8;10.3;;;;;;1.1;22.5;81;4.7;1297.6;128;;;;104683;44;;160.8;3177.5;1569.5;924.7
SBO;01.01.1987 00:00;10;30.4;-14.9;10.1;39.8;-17.3;78.4;10.5;;;;;;1.1;24.1;86.8;4.7;1572.2;131;;;;110228;46;;150.6;3225.8;1577.8;1188.5
SBO;01.01.1988 00:00;10.7;30.9;-9.8;10.6;38.4;-13.5;75.1;10.5;976.2;;;;;1.3;23.5;84.6;5;1468.6;127;;;;112917;47;703.7;159.1;2963.7;1363.7;1102.7
SBO;01.01.1989 00:00;10.3;31.3;-8.9;9.9;37.4;-13.2;77;10.3;977.4;;;;;1.2;20.1;72.4;4.7;1421.4;135;;;;124893;52;713.8;143.5;3143;1455;1015.3
SBO;01.01.1990 00:00;10.8;31.6;-9.9;10.4;39;-14.3;75.9;10.5;976.2;;;;;1.2;23.1;83.2;4.3;1231.4;143;;;;124952;52;756.3;156.9;2899.8;1411.8;814.9
SBO;01.01.1991 00:00;10.5;33.7;-18.4;10.2;40.7;-22;73.8;10.1;975.7;1018.2;;;;1.2;19.9;71.6;4.7;1181.2;136;;;;124821;52;742.7;285.6;3256.5;1592.5;678.3
SBO;01.01.1992 00:00;10.8;31.7;-9.2;10.6;37.3;-12.8;78.2;11;975.9;1018.3;;;;1.1;23.1;83.2;4.3;1594.1;125;;;;104981;44;676.9;198.4;2980.5;1404.5;1260.7
SBO;01.01.1993 00:00;10.6;32.2;-10.4;10.3;39;-14.2;76.3;10.5;975.6;1018;;;;1.2;25.8;92.9;4.7;1394.1;126;;;;111376;47;692.4;169;2985.8;1441.8;986
SBO;01.01.1994 00:00;11.6;33.8;-10.3;11.5;43.5;-14.9;78.2;11.3;974.7;1016.9;;;;1.1;23;82.8;4.3;1484.8;130;;;;114990;48;718.4;280;2828;1212;1090.1
SBO;01.01.1995 00:00;10.7;32.9;-11.3;10.6;42.9;-14.1;76.3;10.6;974.2;1016.5;;;;1.2;25.1;90.4;4.3;1487.2;135;;;;119125;50;724;213.3;2879.9;1359.9;1081
