station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SCU;01.01.1881 00:00;;;;;;;;;;;;;;;;;;424.5;;;;;;;;;;;
SCU;01.01.1882 00:00;;;;;;;;;;;;;;;;;;806.4;;;;;;;;;;;
SCU;01.01.1883 00:00;;;;;;;;;;;;;;;;;;640.4;;;;;;;;;;;
SCU;01.01.1885 00:00;;;;;;;;;;;;;;;;;;631.3;;;;;;;;;;;
SCU;01.01.1886 00:00;;;;;;;;;;;;;;;;;;546;;;;;;;;;;;
SCU;01.01.1887 00:00;;;;;;;;;;;;;;;;;;541;;;;;;;;;;;
SCU;01.01.1888 00:00;;;;;;;;;;;;;;;;;;743;;;;;;;;;;;
SCU;01.01.1889 00:00;;;;;;;;;;;;;;;;;;634;;;;;;;;;;;
SCU;01.01.1890 00:00;;;;;;;;;;;;;;;;;;816;;;;;;;;;;;
SCU;01.01.1891 00:00;;;;;;;;;;;;;;;;;;797;;;;;;;;;;;
SCU;01.01.1892 00:00;;;;;;;;;;;;;;;;;;587;;;;;;;;;;;
SCU;01.01.1893 00:00;;;;;;;;;;;;;;;;;;526;;;;;;;;;;;
SCU;01.01.1894 00:00;;;;;;;;;;;;;;;;;;682;;;;;;;;;;;
SCU;01.01.1895 00:00;;;;;;;;;;;;;;;;;;558;;;;;;;;;;;
SCU;01.01.1896 00:00;;;;;;;;;;;;;;;;;;770;;;;;;;;;;;
SCU;01.01.1899 00:00;;;;;;;;;;;;;;;;;;591;;;;;;;;;;;
SCU;01.01.1900 00:00;;;;;;;;;;;;;;;;;;572.6;;;;;;;;;;;
SCU;01.01.1901 00:00;4.5;;;;;;;;;;;;;;;;;739.4;;;;;;;;;;;
SCU;01.01.1902 00:00;4.9;;;;;;;;;;;;;;;;;670.8;;;;;;;;;;;
SCU;01.01.1903 00:00;4.8;;;;;;;;;;;;;;;;;624.7;;;;;;;;;;;
SCU;01.01.1904 00:00;5.5;;;;;;;;;;;;;;;;;621.3;;;;;;;;;;;
SCU;01.01.1905 00:00;4.7;;;;;;;;;;;;;;;;;722.6;;;;;;;;;;;
SCU;01.01.1906 00:00;4.8;;;;;;;;;;;;;;;;;513.3;;;;;;;;;;;
SCU;01.01.1907 00:00;4.8;;;;;;;;;;;;;;;;;608.9;;;;;;;;;;;
SCU;01.01.1908 00:00;4.5;;;;;;;;;;;;;;;;;673.2;;;;;;;;;;;
SCU;01.01.1909 00:00;4.2;;;;;;;;;;;;;;;;;590.2;;;;;;;;;;;
