station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SIO;01.01.1954 00:00;8.7;;;;;;;;959.4;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1955 00:00;8.7;;;;;;;;959.2;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1956 00:00;7.7;;;;;;;;960.9;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1957 00:00;12.8;;;;;;;;960.7;;;;;;;;;;;;;;;;;;;;
SIO;01.01.1958 00:00;9.2;34;-14.9;;;-16;;;959.4;;;;;1.8;;;;585.2;;;;;;;;;3444.8;;
SIO;01.01.1959 00:00;10.1;32;-11.5;;;-11.2;74.9;9.7;960.5;;;;;1.5;;;;603.1;;;;;;;;;3159.2;;
SIO;01.01.1960 00:00;9.5;30.8;-13.6;;;-16;74.2;9.2;958;;;;;1.2;;;;696.6;;;;;;;;;3247.4;;
SIO;01.01.1961 00:00;10;31.6;-13;;;-15.4;73.8;9.3;961.1;;;;;1.1;;;;616.2;;;;;;;;;3166.6;;
SIO;01.01.1962 00:00;8.8;34;-18;;;-21.7;69.8;8.2;960;;;;;1.4;;;;532.1;;;;;;;;;3693.8;;
SIO;01.01.1963 00:00;8.5;32.8;-18.4;;;-22;70.7;8.4;958.2;;;;;1.3;;;;591.8;;;;;;;;;3648.4;;
SIO;01.01.1964 00:00;9.4;35.2;-13.8;;;-15.5;68.2;8.3;961.1;;;;;1.4;;;;463.2;;;;;;;;;3415.9;;
SIO;01.01.1965 00:00;8.5;35.4;-11.8;;;-15.2;70.5;8.1;958.8;;;;;1.4;;;;920.5;;;;;;;;;3677.3;;
SIO;01.01.1966 00:00;9.6;32.8;-20.4;;;-24.2;75.5;9.4;958.6;;;;;1.5;;;;606.1;;;;;;;;;3235.8;;
SIO;01.01.1967 00:00;9.5;34.4;-13.4;;;-18.4;72.8;9.1;961.5;;;;;1.5;;;;538.1;;;;;;;;;3383.4;;
SIO;01.01.1968 00:00;9.4;36.3;-20.5;;;-25.4;74.6;9.1;959.7;;;;;1.6;;;;684.4;;;;;;;;;3203.3;;
SIO;01.01.1969 00:00;8.8;32.7;-14.7;;;-17.4;73.7;9;959.1;;;;;1.7;;;;545.4;;;;;;;;;3616.5;;
SIO;01.01.1970 00:00;9;32;-13.2;;;-17;73.7;9;960.2;;;;;1.7;;;;696.6;;;;;;;;;3537.5;;
SIO;01.01.1971 00:00;9.3;34.6;-15.5;;;-17.4;72.9;9.1;960.9;;;;;1.9;;;;564.9;;;;;;;;;3454.8;;
