station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
SMA;01.01.1864 00:00;7.7;;;;;;84.6;10;959.9;;;;;1.7;;;6.1;731.7;;;;;;;;;4034.1;;
SMA;01.01.1865 00:00;9.4;;;;;;81.1;10.5;960.4;;;;;;;;;737;;;;;;;;;3374;;
SMA;01.01.1866 00:00;9.8;;;;;;79.8;10.2;960.5;;;;;2;;;7.2;1307.5;;;;;;;;;3239.1;;
SMA;01.01.1867 00:00;9.1;;;;;;84.9;10.8;961;;;;;;;;;1457.4;;;;;;;;;3609.8;;
SMA;01.01.1868 00:00;10.2;;;;;;79.2;10.7;961.6;;;;;3.1;;;11.2;950.2;;;;;;;;;3251.3;;
SMA;01.01.1869 00:00;9.2;;;;;;79.8;10;961.1;;;;;;;;;1114.8;;;;;;;;;3392.8;;
SMA;01.01.1870 00:00;8.4;;;;;;78.6;9.4;960.4;;;;;3.5;;;12.6;910.3;;;;;;;;;3892.1;;
SMA;01.01.1871 00:00;7.9;;;;;;80.4;9.4;961.1;;;;;1.4;;;5;876;;;;;;;;;4047.1;;
SMA;01.01.1872 00:00;9.8;;;;;;80.1;10.4;958.9;;;;;0.8;;;2.9;1428;;;;;;;;;3222.8;;
SMA;01.01.1873 00:00;9.5;;;;;;80.9;10.4;961.4;;;;;0.8;;;2.9;1285;;;;;;;;;3512.1;;
SMA;01.01.1874 00:00;8.6;;;;;;80.3;9.9;962.3;;;;;0.2;;;0.7;1078.8;;;;;;;;;3774.5;;
SMA;01.01.1875 00:00;8.7;;;;;;79.5;9.9;962.3;;;;;0.2;;;0.7;1321.2;;;;;;;;;3687.5;;
SMA;01.01.1876 00:00;9;;;;;;81.3;10.1;960.6;;;;;;;;;1987.7;;;;;;;;;3645.5;;
SMA;01.01.1877 00:00;9.1;;;;;;80.4;10.1;961.4;;;;;0.4;;;1.4;1150;;;;;;;;;3719.1;;
SMA;01.01.1878 00:00;8.3;;;;;;82.8;10.1;961.2;;;;;;;;;1423.2;;;;;;;;;3763.6;;
