station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
STC;01.01.1993 00:00;;30.3;-11.4;;;;;;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1994 00:00;;33.3;-8.8;;;;;;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1995 00:00;;31.5;-10.8;;;;;;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1996 00:00;8;29.2;-13.6;;;;80.3;9.3;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1997 00:00;9.4;28.5;-13.4;;;;78.7;9.9;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1998 00:00;9.5;32.5;-8.8;;;;;;;;;;;;;;;;;;;;;;;;;;
STC;01.01.1999 00:00;9.4;29.2;-12.9;;;;81.6;10.4;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2000 00:00;10.2;30;-11.7;;;;79.2;10.4;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2001 00:00;9.5;31;-12.4;;;;80.3;10.2;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2002 00:00;10.1;32.2;-9;;;;80.2;10.4;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2003 00:00;;32.9;-11.9;;;;;;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2004 00:00;9.1;26.4;-9.8;;;;79.8;9.7;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2005 00:00;9.9;31.7;-13.4;;;;;9.3;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2006 00:00;9.5;32.3;-10.4;;;;81.1;9.7;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2007 00:00;9.8;30.4;-10.2;;;;80.4;10.3;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2008 00:00;9.3;28.9;-5.8;;;;80.2;10;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2009 00:00;9.4;31.2;-16.2;;;;80.3;10.3;;;;;;;;;;;;;;;;;;;;;
STC;01.01.2012 00:00;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;
STC;01.01.2013 00:00;;;;;;;;;;;;;;;;;;;134;;;;93551;37;;;;;
STC;01.01.2014 00:00;;;;;;;;;;;;;;;;;;;142;;;;101195;40;;;;;
STC;01.01.2015 00:00;;;;;;;;;;;;;;;;;;;151;;;;120607;48;;;;;
STC;01.01.2016 00:00;;;;;;;;;;;;;;;;;;;137;;;;103940;41;;;;;
STC;01.01.2017 00:00;;;;;;;;;;;;;;;;;;;149;;;;113175;45;;;;;
STC;01.01.2019 00:00;;;;;;;;;;;;;;;;;;;157;;;;117526;47;;;;;
STC;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;162;;;;124964;50;;;;;
STC;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;151;;;;105579;42;;;;;
STC;01.01.2022 00:00;;;;;;;;;;;;;;;;;;;169;;;;131094;52;;;;;
STC;01.01.2023 00:00;;;;;;;;;;;;;;;;;;;153;;;;106925;43;;;;;
STC;01.01.2024 00:00;;;;;;;;;;;;;;;;;;;142;;;;94457;38;;;;;
