station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
STG;01.01.1864 00:00;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;4471.4;;
STG;01.01.1865 00:00;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.01.1866 00:00;8.4;;;;;;;;;;;;;;;;;1363.4;;;;;;;;;3699.3;;
STG;01.01.1867 00:00;7.7;;;;;;;;;;;;;;;;;1490.9;;;;;;;;;4036.1;;
STG;01.01.1868 00:00;8.5;;;;;;;;;;;;;;;;;1036.7;;;;;;;;;3656.2;;
STG;01.01.1869 00:00;7.7;;;;;;;;;;;;;;;;;1199.5;;;;;;;;;3917.4;;
STG;01.01.1870 00:00;6.7;;;;;;;;;;;;;;;;;1053.1;;;;;;;;;4490.1;;
STG;01.01.1871 00:00;6.2;;;;;;;;;;;;;;;;;1162.2;;;;;;;;;4655.4;;
STG;01.01.1872 00:00;8.6;;;;;;;;;;;;;;;;;1330.4;;;;;;;;;3617.6;;
STG;01.01.1873 00:00;8;;;;;;;;;;;;;;;;;1276.2;;;;;;;;;3991.1;;
STG;01.01.1874 00:00;7.4;;;;;;;;;;;;;;;;;1213.4;;;;;;;;;4131.5;;
STG;01.01.1875 00:00;7.4;;;;;;;;;;;;;;;;;1243.9;;;;;;;;;4042.4;;
STG;01.01.1876 00:00;8;;;;;;;;;;;;;;;;;1677.8;;;;;;;;;4002.7;;
STG;01.01.1877 00:00;8.2;;;;;;;;;;;;;;;;;1556.5;;;;;;;;;3984.2;;
STG;01.01.1878 00:00;7.5;;;;;;;;;;;;;;;;;1585.1;;;;;;;;;3965.1;;
STG;01.01.1879 00:00;6.5;;;;;;;;;;;;;;;;;1532;;;;;;;;;4535.5;;
STG;01.01.1880 00:00;8.1;;;;;;;;;;;;;;;;;1573.7;;;;;;;;;3841.2;;
STG;01.01.1881 00:00;7.5;;;;;;;;;;;;;;;;;1718.6;;;;;;;;;4214.4;;
STG;01.01.1882 00:00;7.7;;;;;;;;;;;;;;;;;1655.1;;;;;;;;;;;
STG;01.01.1883 00:00;7.2;;;;;;;;;;;;;;;;;1324.6;;;;;;;;;;;
STG;01.01.1884 00:00;7.9;;;;;;;;;;;;;;;;;1258.4;;;;;;;;;4083.2;;
STG;01.01.1885 00:00;7.6;;;;;;;;;;;;;;;;;1663.1;;;;;;;;;4120.3;;
