station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
STK;01.01.1994 00:00;;;;;;;;;;;;;;2.9;27.5;99;10.4;;;;;;;;;;;;
STK;01.01.1995 00:00;;;;;;;;;;;;;;2.8;31.6;113.8;;;;;;;;;;;;;
STK;01.01.1996 00:00;;;;;;;;;;;;;;2.5;27;97.2;9;;;;;;;;;;;;
STK;01.01.1997 00:00;;;;;;;;;;;;;;2.6;28.5;102.6;;;;;;;;;;;;;
STK;01.01.1998 00:00;;;;;;;;;;;;;;3;31.6;113.8;10.8;;;;;;;;;;;;
STK;01.01.1999 00:00;;;;;;;;;;;;;;2.8;37.6;135.4;10.1;;;;;;;;;;;;
STK;01.01.2000 00:00;;;;;;;;;;;;;;2.6;28.6;103;9.4;;;;;;;;;;;;
STK;01.01.2001 00:00;;;;;;;;;;;;;;2.9;27.6;99.4;10.4;;;;;;;;;;;;
STK;01.01.2002 00:00;;;;;;;;;;;;;;2.9;34;122.4;10.4;;;;;;;;;;;;
STK;01.01.2003 00:00;;;;;;;;;;;;;;2.6;33;118.8;9.4;;;;;;;;;;;;
STK;01.01.2004 00:00;;;;;;;;;;;;;;2.8;30.1;108.4;10.1;;;;;;;;;;;;
STK;01.01.2005 00:00;;;;;;;;;;;;;;2.6;27.1;97.6;9.4;;;;;;;;;;;;
STK;01.01.2006 00:00;;;;;;;;;;;;;;2.6;30.7;110.5;9.4;;;;;;;;;;;;
STK;01.01.2007 00:00;;;;;;;;;;;;;;3.1;32.8;118.1;11.2;;;;;;;;;;;;
STK;01.01.2008 00:00;;;;;;;;;;;;;;2.8;31.3;112.7;10.1;;;;;;;;;;;;
STK;01.01.2009 00:00;;;;;;;;;;;;;;2.5;32.3;116.3;9;;;;;;;;;;;;
STK;01.01.2010 00:00;;;;;;;;;;;;;;2.6;25.6;92.2;9.4;;;;;;;;;;;;
STK;01.01.2013 00:00;;;;;;;;;969.6;;;;1016.6;;26.8;96.5;;;;;;;;;;;;;
STK;01.01.2014 00:00;;;;;;;;;969;;;;1016.1;2.5;25.3;91.1;9;;;;;;;;;;;;
STK;01.01.2015 00:00;;;;;;;;;972.7;;;;1019.9;2.8;32.8;118.1;10.1;;;;;;;;;;;;
STK;01.01.2016 00:00;;;;;;;;;971;;;;1018.1;2.7;29.6;106.6;9.7;;;;;;;;;;;;
STK;01.01.2017 00:00;;;;;;;;;971.8;;;;1018.9;3;31.3;112.7;10.8;;;;;;;;;;;;
STK;01.01.2018 00:00;;;;;;;;;969.4;;;;1016.5;2.9;33.6;121;10.4;;;;;;;;;;;;
STK;01.01.2019 00:00;;;;;;;;;969.8;;;;1016.9;2.8;28.6;103;10.1;;;;;;;;;;;;
STK;01.01.2020 00:00;;;;;;;;;971;;;;1018.1;2.8;34;122.4;10.1;;;;;;;;;;;;
STK;01.01.2021 00:00;;;;;;;;;970.9;;;;1018;2.8;27.8;100.1;10.1;;;;;;;;;;;;
STK;01.01.2022 00:00;;;;;;;;;972;;;;1019.1;2.7;31.6;113.8;9.7;;;;;;;;;;;;
STK;01.01.2023 00:00;;;;;;;;;970.1;;;;1017.2;3.2;34.6;124.6;11.5;;;;;;;;;;;;
STK;01.01.2024 00:00;;;;;;;;;970.3;;;;1017.4;2.8;27.6;99.4;10.1;;;;;;;;;;;;
