station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
TIT;01.01.1994 00:00;;13;-21.6;;;;;;;;;;;6.8;48.5;174.6;24.5;;;;;;;;;;;;
TIT;01.01.1995 00:00;-4.4;32.5;-24.6;;;;;;;;;;;6.7;46.5;167.4;24.1;;;;;;;;;;;5920;
TIT;01.01.1996 00:00;-4.4;;;;;;;;;;;;;6.2;50;180;22.3;;;;;;;;;;;;
TIT;01.01.1997 00:00;;18.3;-19.7;;;;;;;;;;;6.7;54.5;196.2;24.1;;;;;;;;;;;;
TIT;01.01.1998 00:00;;25.9;-23.6;;;;;;;;;;;6.9;46.2;166.3;24.8;;;;;;;;;;;;
TIT;01.01.1999 00:00;;49.5;-27.5;;;;;;;;;;;7;51.6;185.8;25.2;;;;;;;;;;;;
TIT;01.01.2000 00:00;-3.7;34.4;-21.1;;;;;;;;;;;7.1;46.1;166;25.2;;;;;;;;;;;;
TIT;01.01.2001 00:00;-1.5;;-27.4;;;;;;;;;;;7;44.9;161.6;25.2;;;;;;;;;;;5253.1;
TIT;01.01.2002 00:00;;51.6;-49.5;;;;;;;;;;;6.6;47.5;171;23.8;;;;;;;;;;;;
TIT;01.01.2003 00:00;-3.3;14.1;-25;;;;;;;;;;;6.1;51.3;184.7;22;;;;;;;;;;;5543.5;
TIT;01.01.2004 00:00;-5;;;;;;;;;;;;;6.7;49.1;176.8;24.1;;;;;;;;;;;;
TIT;01.01.2005 00:00;-4.8;13;-27;;;;70.2;3.5;;;;;;5.8;43.7;157.3;20.9;;;;;;;;;;;6121.1;
TIT;01.01.2006 00:00;;13.9;-23.4;;;;;;;;;;;6.3;51.7;186.1;22.7;;;;;;;;;;;;
TIT;01.01.2007 00:00;-3.6;10.5;-23.1;;;;66.6;3.3;;;;;;6.7;51.4;185;24.1;;;;;;;;;;;;
TIT;01.01.2008 00:00;-4;11.5;-23.5;;;;70.5;3.6;;;;;;7.1;46.4;167;25.2;;;;;;;;;;;5833.1;
TIT;01.01.2009 00:00;-4.2;12.5;-26.8;;;;72.1;3.6;;;;;;6.8;43.6;157;24.5;;;;;;;;;;;;
TIT;01.01.2010 00:00;;13.3;-24.9;;;;;;;;;;;6.7;42.2;151.9;24.1;;;;;;;;;;;;
TIT;01.01.2011 00:00;-2.8;13.8;-21.5;;;;67.4;3.6;;;;;;6.2;41.1;148;22.3;;;;;;;;;;;5399.8;
TIT;01.01.2013 00:00;;;;;;;;;695.2;;;;1017.1;6.7;50;180;24.1;;175;;;;;;;;;;
TIT;01.01.2014 00:00;-3.5;12;-22;;;;75;3.8;696;;;3053.6;1018.2;6.4;51.9;186.8;23;;164;;;;;;500.4;0;8579;5659;
TIT;01.01.2015 00:00;-2.9;15;-21;;;;68.6;3.7;698.9;;;3086.4;1022.1;6.9;41.3;148.7;24.8;;174;;;;;;;0;8336.3;5416.3;
TIT;01.01.2016 00:00;-3.7;14.9;-23.7;;;;71.1;3.6;697;;;3065.8;1019.6;;;;;;171;;;;;;;0;8662.2;5734.2;
TIT;01.01.2017 00:00;-3.7;12.2;-25;;;;72.5;3.8;697.6;;;3072.3;1020.4;;45.5;163.8;;;;;;;;;;0;8638.1;5718.1;
TIT;01.01.2018 00:00;-2.9;13.4;-28.2;;;;75.2;4.1;696.5;;;3060.3;1018.7;6.5;50.1;180.4;23.4;;173;;;;;;;0;8305.6;5401.6;
TIT;01.01.2019 00:00;;15.5;-21.8;;;;;;696.6;;;;1018.9;;43.1;155.2;;;175;;;;;;;;;;
TIT;01.01.2020 00:00;-2.7;12.5;-19.7;;;;70.7;3.8;697.9;;;3074.8;1020.7;;;;;;172;;;;;;;0;8249;5337;
TIT;01.01.2021 00:00;-4.2;12.9;-22.6;;;;73.5;3.7;696.6;;;;1018.9;6.5;;;23.4;;172;;;;;;;;;;
TIT;01.01.2022 00:00;-2.5;13.8;-21;;;;69.5;3.9;698.9;;;3086.8;1022.1;6.4;45.9;165.2;23;;172;;;;;;593.1;0;8186.4;5266.4;
TIT;01.01.2023 00:00;-2.7;15.1;-22.8;;;;72.4;4;697.4;;;;;6.8;44.1;158.8;24.5;;166;;;;;;;;;;
TIT;01.01.2024 00:00;-2.4;13.2;-20.7;;;;74.6;4.1;697.7;;;;1020.3;6.5;44.3;159.5;23.4;;160;;;;101038;41;531.4;0;8192.8;5264.8;
