station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ULR;01.01.1981 00:00;2.9;26.9;-26.6;3.1;33.3;-27.3;74.6;5.9;;;;;;1.8;21.6;77.8;8.3;1631.6;140;;;;84999;43;;0;5867.6;3411.6;938
ULR;01.01.1982 00:00;3.7;27.2;-25.1;3.6;34.1;-25;77.8;6.6;;;;;;1.7;21.8;78.5;7.6;1031;148;;;;92465;47;;0;5541.9;3189.9;614.5
ULR;01.01.1983 00:00;3.4;32.2;-23.4;3.3;37.4;-25.5;76.1;6.2;;;;;;1.7;21.9;78.8;7.2;1194.8;142;;;;91179;47;;14.8;5653.2;3341.2;676.7
ULR;01.01.1984 00:00;2.6;27;-27.2;2.5;33.4;-28.2;74.5;5.7;;;;;;1.9;23.3;83.9;7.9;1088.5;147;;;;96960;49;;0.3;6089.5;3537.5;598.2
ULR;01.01.1985 00:00;3;28.4;-33;3.1;44.3;-33.8;72.8;5.8;;;;;;1.7;24.3;87.5;7.6;1019.2;149;;;;103863;53;;0.3;5836.6;3428.6;440.9
ULR;01.01.1986 00:00;3.3;28.2;-30.7;3.2;35.2;-29.6;75.4;6.3;;;;;;1.7;21.8;78.5;7.2;1472.4;145;;;;100869;51;;0;5740.7;3340.7;958.6
ULR;01.01.1987 00:00;3.2;29.1;-26.7;2.9;34;-29.8;76.5;6.5;;;;;;1.5;22.6;81.4;6.1;1318.7;140;;;;93830;48;;0.5;5710.1;3350.1;925
ULR;01.01.1988 00:00;4.1;28.1;-22.3;4;36.4;-25.7;75.8;6.7;865;;;;;1.8;21.8;78.5;7.6;1356.7;139;;;;90247;46;640.6;1.3;5396.2;3036.2;905.3
ULR;01.01.1989 00:00;4;27.3;-18.9;3.6;33.6;-24.2;74.8;6.4;867;;;;;1.8;22.5;81;7.9;902.9;148;;;;114345;58;682;0;5413;3077;400.3
ULR;01.01.1990 00:00;3.9;28.5;-25.3;3.8;35.8;-26.2;75.4;6.5;866.9;;;;;1.7;31.1;112;7.9;1109.1;143;;;;105708;54;676.5;0.9;5535.1;3135.1;585.1
ULR;01.01.1991 00:00;3.3;29.4;-26.2;3.4;39.3;-29.4;75.4;6.4;866.2;;;;;1.8;27;97.2;8.3;1098.2;148;;;;111958;57;675.4;0.6;5634.3;3410.3;574.7
ULR;01.01.1992 00:00;3.5;28.6;-26.7;3.6;34.4;-29.7;78.2;6.7;866.7;;;;;1.5;20.7;74.5;7.2;1328.8;138;;;;96612;49;626.4;2.8;5684.3;3324.3;912.7
ULR;01.01.1993 00:00;3.7;26.8;-24.7;3.8;34.4;-25.9;77.4;6.7;866.3;;;;;1.7;25.7;92.5;7.9;1437.1;138;;;;96553;49;615.5;0;5537.3;3145.3;1034.6
ULR;01.01.1994 00:00;4.8;29.5;-26.3;5;35.2;-27.7;77.9;7.1;866.2;;;;;1.5;30.2;108.7;6.8;1277.4;135;;;;93992;48;635.6;1.9;5122;2842;845.1
ULR;01.01.1995 00:00;3.4;30;-30.9;3.8;37.3;-32.9;75.8;6.4;865.4;;;;;1.7;23.9;86;7.9;1468.2;141;;;;101522;52;627.7;4.4;5748.3;3324.3;1014
ULR;01.01.1996 00:00;3.8;26;-24.3;4;33;-27.9;73.8;6.3;863.7;;1478.2;;;1.7;21.7;78.1;6.1;1136.8;142;;;;100412;51;645.7;0;5567.9;3159.9;661.4
ULR;01.01.1997 00:00;4.2;26.5;-21.9;4.2;33.9;-24.5;74.7;6.7;866.4;;;;;1.6;22.4;80.6;6.8;1026.1;150;;;;109427;56;655.1;0;5339.9;2995.9;602.5
ULR;01.01.1998 00:00;3.5;29.8;-24.3;3.5;36.2;-28.1;74.7;6.5;866;;;;;1.6;23.7;85.3;7.6;1060.7;150;;;;103030;52;666.4;5.9;5631.3;3335.3;607.9
ULR;01.01.1999 00:00;3.5;27;-28.5;3.6;33.7;-29.2;77.1;6.7;865.1;;1483.6;;;1.7;19.9;71.6;7.6;1594.6;140;;;;92060;47;629.5;0;5515;3243;1182.6
ULR;01.01.2000 00:00;4.1;28.6;-26.6;3.8;34.3;-30;76.8;6.8;866;;;;;1.5;21.9;78.8;6.8;1485.3;139;;;;93925;48;634.1;0;5406.3;3078.3;1045
ULR;01.01.2001 00:00;4.2;27.8;-24.3;3.9;33.5;-32.8;74.7;6.7;865.4;;;;;1.7;22.9;82.4;7.2;1180.8;147;;;;100526;51;658.7;0.7;5377.5;3009.5;719.9
ULR;01.01.2002 00:00;4.4;28.2;-27.8;3.9;35.9;-29;76.5;6.9;865.6;;1496.2;;;1.5;20.4;73.4;6.8;1698.4;142;;;;93561;48;642.6;2.9;5278.2;2958.2;1292.3
ULR;01.01.2003 00:00;4.1;30.5;-28.8;3.8;38.5;-30.8;71.3;6.5;866.8;;1507;;;1.7;23.5;84.6;7.6;756.2;160;;;;124262;63;747.7;16.3;5353.3;3233.3;167.4
ULR;01.01.2004 00:00;3.7;28;-27.8;3.5;34.2;-30.9;74.3;6.5;865.6;;1496.2;;;1.8;21.1;76;6.5;1023.9;148;;;;100944;51;665.6;0.1;5523.9;3195.9;571.9
ULR;01.01.2005 00:00;3.2;28.6;-30.1;2.9;34.7;-32.9;72.5;6.4;866.1;;1500.8;;;1.7;20.6;74.2;6.1;858;154;;;;111019;56;682.8;1.7;5732.3;3412.3;390.4
ULR;01.01.2006 00:00;3.8;28.9;-27.6;3.5;35.7;-29.4;75;6.7;866.6;;1505.3;;1019.1;1.5;21.4;77;5.4;1069.5;149;;;;101716;52;672;5;5537.6;3233.6;608.7
ULR;01.01.2007 00:00;4.3;26;-21.9;;;;76.6;6.8;866.3;;;;;1.6;21.4;77;5.8;1215.6;147;;;;103530;53;;0;5350;2982;
ULR;01.01.2008 00:00;4;27.4;-23.1;;;;80.1;7;865.2;;1490.8;;1017.4;1.5;20.8;74.9;5.4;1391.2;149;;;;94083;48;653.2;0.5;5446.7;3094.7;
ULR;01.01.2009 00:00;4.1;28.6;-24.1;4.3;37.3;-27.5;78;6.9;864.2;;1482.4;;1016.3;1.7;24.6;88.6;6.1;1105.5;163;281;;;104706;54;710.9;0.2;5366;3126;
ULR;01.01.2010 00:00;3.5;29.9;-22.9;3.6;;;77.2;6.7;862.2;;;;1014;1.8;20.8;74.9;6.5;1025.9;154;281;;;94529;48;667.3;4;5717.6;3317.6;
ULR;01.01.2011 00:00;5;30.2;-22.6;5;38.1;-25.6;74.3;6.9;867;;1508.9;;1019.5;1.6;22;79.2;5.8;988.7;162;279;;;113343;58;731.1;2.8;5039.9;2775.9;540.6
ULR;01.01.2012 00:00;4.2;31.9;-33.8;;;;76.6;7;865.5;;;;;1.7;25.2;90.7;6.1;1081;159;;;;101541;52;707.5;2.5;5319.4;3103.4;
ULR;01.01.2013 00:00;3.8;28.9;-28.4;3.7;37.1;-30.2;77;6.8;864.4;;1484.2;;1016.6;1.6;22.1;79.6;5.8;1191.6;156;283;;;93730;48;678.2;2.6;5525.3;3213.3;732.8
ULR;01.01.2014 00:00;5.2;27.2;-21.8;5.2;38.1;-26.6;78;7.2;864.7;;1487.2;;1016.8;1.7;22.3;80.3;6.1;1210.3;154;289;;;90073;46;676.9;0;4968.4;2624.4;837.5
ULR;01.01.2015 00:00;4.9;30.7;-20;5;40.9;-24.1;75.9;7;867.8;;1515.8;;1020.4;1.8;25;90;6.5;997.9;162;294;;;107957;55;740.3;23.5;5100.5;2876.5;
ULR;01.01.2016 00:00;4.7;31.6;-24.6;4.9;38.9;-30.4;77.2;6.9;866.2;;1500.6;;1018.5;1.7;21.8;78.5;6.1;967.2;156;299;;;93720;48;697.2;1.9;5200.1;2920.1;511.9
ULR;01.01.2017 00:00;4.7;30.3;-22;4.6;40.3;-24.4;76.1;6.9;866.9;;1507.8;;1019.4;1.8;26.7;96.1;6.5;1024.9;156;279;;;106083;54;730.6;12.4;5212.8;3004.8;567
ULR;01.01.2018 00:00;5.3;29.7;-25;5.3;39.9;-27.6;76.2;7.1;865.2;;1492;;1017.4;1.8;25.1;90.4;6.5;1412.8;155;279;;;103233;53;748.3;10.7;4807.9;2775.9;866.2
ULR;01.01.2019 00:00;4.7;31.3;-24;4.7;40.2;-26.9;77.2;7.1;865.5;;1494.6;;1017.8;1.7;22.3;80.3;6.1;1411;156;276;;;103444;53;716.4;24.2;5152.9;2976.9;915.8
