station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VAB;01.01.1994 00:00;;;;;;;;;;;;;;;26.5;95.4;;;;;;;;;;;;;
VAB;01.01.1995 00:00;;;;;;;;;;;;;;3.2;24.8;89.3;11.5;;;;;;;;;;;;
VAB;01.01.1996 00:00;;;;;;;;;;;;;;3.2;23.1;83.2;11.5;;;;;;;;;;;;
VAB;01.01.1997 00:00;;;;;;;;;;;;;;3;22.7;81.7;10.8;;;;;;;;;;;;
VAB;01.01.1998 00:00;;;;;;;;;;;;;;3;24.8;89.3;10.8;;;;;;;;;;;;
VAB;01.01.1999 00:00;;;;;;;;;;;;;;3.1;26.8;96.5;11.2;;;;;;;;;;;;
VAB;01.01.2000 00:00;;;;;;;;;;;;;;3.1;23.7;85.3;11.2;;;;;;;;;;;;
VAB;01.01.2001 00:00;;;;;;;;;;;;;;3.1;20.5;73.8;11.2;;;;;;;;;;;;
VAB;01.01.2002 00:00;;;;;;;;;;;;;;2.9;22.6;81.4;10.4;;;;;;;;;;;;
VAB;01.01.2003 00:00;;;;;;;;;;;;;;3.1;23.8;85.7;11.2;;;;;;;;;;;;
VAB;01.01.2004 00:00;;;;;;;;;;;;;;3;23.2;83.5;10.8;;;;;;;;;;;;
VAB;01.01.2005 00:00;;;;;;;;;;;;;;2.9;20.5;73.8;10.4;;;;;;;;;;;;
VAB;01.01.2006 00:00;;;;;;;;;;;;;;2.9;21.3;76.7;10.4;;;;;;;;;;;;
VAB;01.01.2007 00:00;;;;;;;;;;;;;;3;22.8;82.1;10.8;;;;;;;;;;;;
VAB;01.01.2008 00:00;;;;;;;;;;;;;;3;22.1;79.6;10.8;;;;;;;;;;;;
VAB;01.01.2009 00:00;;;;;;;;;;;;;;3.1;25.6;92.2;11.2;;;;;;;;;;;;
VAB;01.01.2010 00:00;;;;;;;;;;;;;;3.1;20.3;73.1;11.2;;;;;;;;;;;;
VAB;01.01.2012 00:00;4.1;25.2;-24.3;;;;80.1;7.1;842.4;;1496.2;;1017.9;3.5;29.7;106.9;12.6;899.1;155;;;;;;650.4;5.1;5466.2;3034.2;
VAB;01.01.2013 00:00;;26.4;-18.7;;;;;;841.2;;;;1016.5;;;;;731.2;153;;;;;;;;;;
VAB;01.01.2015 00:00;5.3;28.4;-13.5;;;;75.6;7.1;844.6;;1517.8;;1020.5;3.4;23.4;84.2;12.2;;161;;;;;;702.7;23.2;5067.9;2691.9;
VAB;01.01.2016 00:00;4.7;25.6;-18.4;;;;78;7.1;843;;1502.3;;1018.6;3.3;18.9;68;11.9;797.3;154;;;;;;;;;;
VAB;01.01.2017 00:00;4.6;26.1;-18.5;;;;77.1;7;843.7;;1508.9;;1019.4;3.4;28.5;102.6;12.2;;160;;;;;;;;;;
VAB;01.01.2018 00:00;5.3;24.6;-22.3;;;;77.1;7.4;842.1;;1493.8;;1017.6;3.3;20.6;74.2;11.9;819.1;161;;;;;;;2.9;4878.2;2622.2;
VAB;01.01.2019 00:00;5;27;-14.4;;;;77.4;7.2;842.4;;1495.8;;1017.9;3.4;25.7;92.5;12.2;931.9;156;;;;;;;18.1;5066.2;2746.2;
VAB;01.01.2020 00:00;;26.2;-13.8;;;;74.9;;843.5;;;;1019.2;3.3;26.6;95.8;11.9;886.8;161;;;;;;;;;;
VAB;01.01.2021 00:00;4.2;27.2;-17.6;;;;77.2;6.8;842.7;;1500.1;;1018.3;3.3;18.7;67.3;11.9;827.3;161;;;;95150;51;658.6;3;5508.7;3004.7;490
VAB;01.01.2022 00:00;5.7;26.5;-16.1;;;;74.3;7.3;844.5;;1516.3;;1020.3;3.3;22.7;81.7;11.9;685.3;169;;;;108982;58;743;6.2;4751;2543;191.4
VAB;01.01.2023 00:00;5.4;28.8;-13.8;;;;78.7;7.5;842.9;;1500.5;;1018.4;3.5;26.5;95.4;12.6;991.4;159;;;;92828;50;700.7;16.7;4902.5;2662.5;
VAB;01.01.2024 00:00;5.8;26.2;-16.5;;;;78.9;7.7;843.1;;1502.4;;1018.7;3.4;23.3;83.9;12.2;876.7;151;;;;83802;45;662.1;5.3;4831.7;2535.7;
