station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VAD;01.01.1971 00:00;8.8;32.2;-19;;;;76.4;9.3;963;;;;;1;;;;785.6;;;;;;;;;3623.9;;
VAD;01.01.1972 00:00;9.2;35;-9.6;;;;77.3;9.5;962;;;;;;;;;900;;;;;;;;;3531.2;;
VAD;01.01.1973 00:00;8.8;30.7;-18.2;;;;77.1;9.3;964;;;;;2.8;;;;947.4;;;;;;;;;3725.7;;
VAD;01.01.1974 00:00;10.8;33.5;-6;;;;76.7;10.4;961.8;;;;;3.1;;;;1193.2;;;;;;;;;3009.8;;
VAD;01.01.1975 00:00;10.2;33;-12;;;;78.4;10.5;963.9;;;;;3;;;;1113.5;;;;;94554;;;;3216.9;;
VAD;01.01.1976 00:00;9.4;33.3;-18.7;;;;75.4;9.5;962.6;;;;;3.1;;;;1029.6;;;;;95886;;;;3511.4;;
VAD;01.01.1977 00:00;10.1;34.5;-13;;;;77.5;10.1;962.4;;;;;3.1;;;;1283.5;;;;;79236;;;;3025;;
VAD;01.01.1978 00:00;9.8;32.1;-12;;;;78.7;10.1;962;;;;;2.9;;;;1061.6;;;;;83130;;;;3253.7;;
VAD;01.01.1979 00:00;9.2;29;-15.8;;;;75.9;9.4;961.3;;;;;2.3;;;8.3;1063.5;;;;;81984;39;;;3480.8;;
VAD;01.01.1980 00:00;8.5;32.7;-13.6;;;;76.5;9.1;962.3;;;;;1.8;;;7.6;803.9;;;;;76986;38;;;3727.5;;
VAD;01.01.1981 00:00;9.2;29.1;-15.7;8.8;37.9;-20.9;73.5;9.2;962.6;;;;;2;31.5;113.4;8.3;1145.9;122;;;;83381;42;726.3;109;3382.9;1718.9;744.8
VAD;01.01.1982 00:00;9.7;30.4;-11.4;9.2;36.3;-14;75.2;9.6;963.9;;;;;2.1;34.9;125.6;8.3;889.5;128;;;;87556;44;746.8;115.3;3305.9;1609.9;485.8
