station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
VEV;01.01.1961 00:00;;;;;;;;;;;;;;;;;;1012.7;;;;;;;;;;;
VEV;01.01.1962 00:00;;;;;;;;;;;;;;;;;;768.3;;;;;;;;;;;
VEV;01.01.1963 00:00;;;;;;;;;;;;;;;;;;1172.3;;;;;;;;;;;
VEV;01.01.1964 00:00;;;;;;;;;;;;;;;;;;928.1;;;;;;;;;;;
VEV;01.01.1965 00:00;;;;;;;;;;;;;;;;;;1450.6;;;;;;;;;;;
VEV;01.01.1966 00:00;;;;;;;;;;;;;;;;;;1194.5;;;;;;;;;;;
VEV;01.01.1967 00:00;;;;;;;;;;;;;;;;;;957.8;;;;;;;;;;;
VEV;01.01.1968 00:00;;;;;;;;;;;;;;;;;;1425;;;;;;;;;;;
VEV;01.01.1969 00:00;;;;;;;;;;;;;;;;;;1012;;;;;;;;;;;
VEV;01.01.1970 00:00;;;;;;;;;;;;;;;;;;1481.2;;;;;;;;;;;
VEV;01.01.1971 00:00;;;;;;;;;;;;;;;;;;1029.8;;;;;;;;;;;
VEV;01.01.1972 00:00;;;;;;;;;;;;;;;;;;975.8;;;;;;;;;;;
VEV;01.01.1973 00:00;;;;;;;;;;;;;;;;;;1071.2;;;;;;;;;;;
VEV;01.01.1974 00:00;;;;;;;;;;;;;;;;;;1293.2;;;;;;;;;;;
VEV;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1035.9;;;;;;;;;;;
VEV;01.01.1976 00:00;;;;;;;;;;;;;;;;;;866;;;;;;;;;;;
VEV;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1499.4;;;;;;;;;;;
VEV;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1201.2;;;;;;;;;;;
VEV;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1368.7;;;;;;;;;;;
VEV;01.01.1980 00:00;;;;;;;;;;;;;;;;;;1539.8;;;;;;;;;;;
VEV;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1445.3;;;;;;;;;;;
VEV;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1433.4;;;;;;;;;;;
VEV;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1211.3;;;;;;;;;;;
VEV;01.01.1984 00:00;;;;;;;;;;;;;;;;;;1225.7;;;;;;;;;;;
VEV;01.01.1985 00:00;;;;;;;;;;;;;;;;;;1284;;;;;;;;;;;
VEV;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1253.6;;;;;;;;;;;
VEV;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1297.5;;;;;;;;;;;
VEV;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1255.7;;;;;;;;;;;
VEV;01.01.1989 00:00;;;;;;;;;;;;;;;;;;1004;;;;;;;;;;;
VEV;01.01.1990 00:00;;;;;;;;;;;;;;;;;;1369.9;;;;;;;;;;;
VEV;01.01.1991 00:00;;;;;;;;;;;;;;;;;;1095.8;;;;;;;;;;;
VEV;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1204.2;;;;;;;;;;;
VEV;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1067.3;;;;;;;;;;;
VEV;01.01.1994 00:00;;;;;;;;;;;;;;;;;;1426.9;;;;;;;;;;;
VEV;01.01.1995 00:00;;;;;;;;;;;;;;;;;;1608.7;;;;;;;;;;;
VEV;01.01.1996 00:00;;;;;;;;;;;;;;;;;;1175.1;;;;;;;;;;;
VEV;01.01.1997 00:00;;;;;;;;;;;;;;;;;;1397.1;;;;;;;;;;;
VEV;01.01.1998 00:00;;;;;;;;;;;;;;;;;;1193;;;;;;;;;;;
VEV;01.01.1999 00:00;;;;;;;;;;;;;;;;;;1663.2;;;;;;;;;;;
VEV;01.01.2000 00:00;;;;;;;;;;;;;;;;;;1271.8;;;;;;;;;;;
VEV;01.01.2001 00:00;;;;;;;;;;;;;;;;;;1764;;;;;;;;;;;
VEV;01.01.2002 00:00;;;;;;;;;;;;;;;;;;1552.7;;;;;;;;;;;
VEV;01.01.2003 00:00;;;;;;;;;;;;;;;;;;1061.9;;;;;;;;;;;
VEV;01.01.2004 00:00;;;;;;;;;;;;;;;;;;1109.8;;;;;;;;;;;
VEV;01.01.2005 00:00;;;;;;;;;;;;;;;;;;1173.1;;;;;;;;;;;
VEV;01.01.2006 00:00;;;;;;;;;;;;;;;;;;1558.9;;;;;;;;;;;
VEV;01.01.2007 00:00;;;;;;;;;;;;;;;;;;1319.3;;;;;;;;;;;
VEV;01.01.2008 00:00;;;;;;;;;;;;;;;;;;967.6;;;;;;;;;;;
VEV;01.01.2009 00:00;;;;;;;;;;;;;;;;;;868.5;;;;;;;;;;;
VEV;01.01.2010 00:00;;;;;;;;;;;;;;;;;;847.9;;;;;;;;;;;
