station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ZER;01.01.1893 00:00;;;;;;;;;;;;;;;;;;406.1;;;;;;;;;;;
ZER;01.01.1894 00:00;;;;;;;;;;;;;;;;;;441.6;;;;;;;;;;;
ZER;01.01.1895 00:00;;;;;;;;;;;;;;;;;;628.9;;;;;;;;;;;
ZER;01.01.1896 00:00;;;;;;;;;;;;;;;;;;966.4;;;;;;;;;;;
ZER;01.01.1897 00:00;;;;;;;;;;;;;;;;;;691.3;;;;;;;;;;;
ZER;01.01.1898 00:00;;;;;;;;;;;;;;;;;;824;;;;;;;;;;;
ZER;01.01.1899 00:00;;;;;;;;;;;;;;;;;;491.2;;;;;;;;;;;
ZER;01.01.1900 00:00;;;;;;;;;;;;;;;;;;683.1;;;;;;;;;;;
ZER;01.01.1901 00:00;;;;;;;;;;;;;;;;;;781;;;;;;;;;;;
ZER;01.01.1902 00:00;;;;;;;;;;;;;;;;;;708.5;;;;;;;;;;;
ZER;01.01.1903 00:00;;;;;;;;;;;;;;;;;;600.4;;;;;;;;;;;
ZER;01.01.1904 00:00;;;;;;;;;;;;;;;;;;508.3;;;;;;;;;;;
ZER;01.01.1905 00:00;;;;;;;;;;;;;;;;;;717.9;;;;;;;;;;;
ZER;01.01.1906 00:00;;;;;;;;;;;;;;;;;;511.7;;;;;;;;;;;
ZER;01.01.1907 00:00;;;;;;;;;;;;;;;;;;668.9;;;;;;;;;;;
ZER;01.01.1908 00:00;;;;;;;;;;;;;;;;;;669.4;;;;;;;;;;;
ZER;01.01.1909 00:00;;;;;;;;;;;;;;;;;;686.2;;;;;;;;;;;
ZER;01.01.1910 00:00;;;;;;;;;;;;;;;;;;825.4;;;;;;;;;;;
ZER;01.01.1911 00:00;;;;;;;;;;;;;;;;;;672;;;;;;;;;;;
ZER;01.01.1912 00:00;;;;;;;;;;;;;;;;;;637.5;;;;;;;;;;;
